"","place"
"1","Nikolara / Nikopoli / Nicopolis"
"2","Ravenna"
"3","?"
"4","Arilje"
"5","Asseria"
"6","Babin Potok / Babispotok / Municipium Splonistarum"
"7","Bajina Basta"
"8","Bakarac"
"9","Baljci"
"10","Banja Luka / Castra"
"11","Baska Voda"
"12","Bastasi / Municipium Salvium"
"13","Beli / Caisole / Crexa"
"14","Benkovac / Asseria"
"15","Berkovina"
"16","Bicine / Bicina"
"17","Bigeste"
"18","Bihac / Raetinium"
"19","Bijaca / Biaca"
"20","Bijelo Polje"
"21","Biograd na Moru / Zaravecchia / Nedinum"
"22","Bioska"
"23","Biskupija"
"24","Bjelovac / Domavium"
"25","Blagaj"
"26","Blazuj"
"27","Borcani / Delminium"
"28","Borci"
"29","Bosansko Grahovo / Municipium Salvium"
"30","Brac, Otok / Brattia"
"31","Bratiskovci"
"32","Bratunac / Domavium"
"33","Bravski Vaganac"
"34","Bravsko"
"35","Brca"
"36","Brda / Acruvium"
"37","Brdo"
"38","Brekovica"
"39","Brestovsko"
"40","Breza"
"41","Bribir / Bribirska Glavica / Varvaria"
"42","Brodarevo"
"43","Budna / Butua"
"44","Budva / Buthoe"
"45","Bugojno / Bistua Nova"
"46","Buinjski Rijecani"
"47","Bukovaca"
"48","Bukovic"
"49","Bukovica / Domavium"
"50","Burnum"
"51","Bushat"
"52","Cacak / Malvesiatium"
"53","Capljina / Ad Turres"
"54","Carevo"
"55","Carevo Polje"
"56","Caska / Cissa"
"57","Cavkici / Raetinium"
"58","Cavtat / Epidaurum"
"59","Celija / Municipium Splonistarum"
"60","Cerin"
"61","Cicje Polje"
"62","Ciovo, Otok / Boa"
"63","Citluk / Aequum"
"64","Cres / Crexa"
"65","Crikvenica / Ad Turres"
"66","Crnici-Greda / Crnici"
"67","Crvenice / Delminium"
"68","Crvica"
"69","Crvljivica"
"70","Cvitina / Cetina"
"71","Dabravine / Dabravina / Breza"
"72","Dabrica"
"73","Danilo / Rider"
"74","Danilo Gornje / Rider"
"75","Dautovac"
"76","Divic"
"77","Doboj"
"78","Dobricevo"
"79","Dobropoljci"
"80","Doci"
"81","Dol / Pharia"
"82","Dolac"
"83","Doljani / Raetinium"
"84","Donja Bijenja"
"85","Donja Pecka / Sarnade"
"86","Donja Trebimlja / Trebimlja"
"87","Donje Biljane / Iader"
"88","Donje Selo / Solentia"
"89","Donji Brisnik / Delminium"
"90","Donji Prolozac / Novae"
"91","Donji Rujani"
"92","Donji Vinjani"
"93","Dracevica"
"94","Draga"
"95","Dragovic"
"96","Drazinovici"
"97","Drenova"
"98","Dretelj"
"99","Drisht"
"100","Drvar"
"101","Drvenik Veli / Drvenik"
"102","Dubrava / Diluntum"
"103","Dubravice / Scardona"
"104","Dugi Otok"
"105","Dugopolje / Salona"
"106","Duklja / Duklje / Rusevine / Doclea"
"107","Dzamija / Domavium"
"108","Dzurovo"
"109","Ervenik"
"110","Fakovici / Domavi"
"111","Fatnica"
"112","Gabela"
"113","Gacko"
"114","Galovac / Iader"
"115","Gardun / Tilurium"
"116","Glamoc / Municipium Salvium"
"117","Glavaticevo"
"118","Glavica / Municipium Salvium"
"119","Golubic / Raetinium"
"120","Gorazde"
"121","Gorincani"
"122","Gornja Bijela"
"123","Gornja Brela"
"124","Gornja Bukovica"
"125","Gornja Ploca"
"126","Gornje Primislje / Primislje"
"127","Gornji Agici / Agici Gornji"
"128","Gornji Kosinj / Kosinj / Kossin"
"129","Gornji Muc / Andetrium"
"130","Gornji Ribnik"
"131","Gornji Vakuf-Uskoplje"
"132","Gorobilje"
"133","Gracac"
"134","Gradin / Sidrona"
"135","Gradina / Domavium"
"136","Gradina / Salona"
"137","Gradina di Perusic"
"138","Gromile"
"139","Grudine / Salona"
"140","Grusine, Sibenik"
"141","Hadzici"
"142","Halapic / Municipium Salvium"
"143","Han-Pijesak"
"144","Hardomilje / Bigeste"
"145","Hodilje"
"146","Hodovo"
"147","Hramina"
"148","Hrvace"
"149","Humac / Bigeste"
"150","Hvar / Lesina / Pharia"
"151","Ilidza / Aquae S[]"
"152","Ilijino Brdo / Municipium Splonistarum"
"153","Imotski"
"154","Ivosevci / Burnum"
"155","Jablanac / Iapydia"
"156","Jajce"
"157","Jakir"
"158","Janjina / Peljesac / Sabbioncello / Narona"
"159","Jesenice / Assling / Nareste"
"160","Jezerine, Golubic"
"161","Jezevica / Municipium Malvesatium"
"162","Josipdol / Metulum"
"163","Jurandvor"
"164","Kakanj"
"165","Kalldrun"
"166","Kamen / Municipium Salvium"
"167","Kamenica / Delminium"
"168","Kamenjace, Bratunac / Domavium"
"169","Kapitul, Klokot - Bihac"
"170","Kapljuc / Salona"
"171","Karan"
"172","Karin Gornji / Corinium"
"173","Karlobag"
"174","Karlovac / Karlstadt / Burnum"
"175","Kastel Gomilica"
"176","Kastel Kambelovac / Castel Cambio"
"177","Kastel Novi"
"178","Kastel Stafilic / Castel Stafileo / Tragurium"
"179","Kastel Sucurac / Salona"
"180","Kastelina, Otok / Arba"
"181","Kijevo"
"182","Kiseljak"
"183","Kistanje / Burnum"
"184","Klapavice / Klapavica / Clissa"
"185","Klek"
"186","Klepci"
"187","Klis / Clissa"
"188","Kljake / Municipium Magnum"
"189","Knin / Burnum"
"190","Kokani"
"191","Kolesjan"
"192","Kolovrat / Municipium Splonistarum"
"193","Komic / Iapydia"
"194","Konjic"
"195","Konjsko / Clissa"
"196","Koplik / Cinna"
"197","Korcula / Nigra Corcyra"
"198","Kornat, Otok"
"199","Kosijerevo"
"200","Kotlusa"
"201","Kotor / Acruvium"
"202","Krehin Dvor / Krehundvor"
"203","Krehin Gradac"
"204","Kresevo"
"205","Krk, Otok / Curictae"
"206","Krklic, Pakostane"
"207","Krnjeusa"
"208","Krsan / Chersano / Flanona"
"209","Krug, Jesenice"
"210","Krupanj / Domavium"
"211","Krusevo / Clambetae"
"212","Krushevo"
"213","Kuside"
"214","Kutac"
"215","Kuti / Sokolac"
"216","Labin / Alvona"
"217","Laniste"
"218","Lastovo / Lagosta / Ladesta"
"219","Lastve, Bribir"
"220","Lecevica / Salona"
"221","Ledenice"
"222","Letka / Delminium"
"223","Lezhe / Lest / Lissus"
"224","Lib / Delminium"
"225","Licko Lesce"
"226","Lijesce / Municipium Malvesatium"
"227","Lipa / Delminium"
"228","Lisicici"
"229","Listani / Lastani"
"230","Livno / Bariduum / Delminium"
"231","Ljubija"
"232","Ljubovija"
"233","Ljubuski / Mlade / Bigeste"
"234","Ljusina"
"235","Lopud"
"236","Lovorno / Epidaurum"
"237","Lucin Brijeg"
"238","Lukavac"
"239","Luzac"
"240","Luzani"
"241","Mackat"
"242","Majdan"
"243","Makarska"
"244","Makljenovac"
"245","Mali Kablici / Delminium"
"246","Mali Losinj / Apsorus"
"247","Mali Mosunj / Stanecli"
"248","Malo Polje / Domavium"
"249","Manastirine / Salona"
"250","Margegaj"
"251","Martincev, Vrgorac"
"252","Maslovare"
"253","Medak / Avendo"
"254","Medvida / Medvigge / Hadra / Sidrona"
"255","Melgushe e Madhe / Melgushe"
"256","Metkovic / Narona"
"257","Mljet / Meleda / Melite"
"258","Mogorjelo"
"259","Mokro Polje / Burnum"
"260","Mokronoge / Delminium"
"261","Mramorje, Cokori"
"262","Mratovo / Burnum"
"263","Mrduja"
"264","Mrkonjic Grad / Varcar Vakuf / Leusaba"
"265","Munjava / Metulum"
"266","Murter"
"267","Nadin / Nedinum"
"268","Nange"
"269","Negrisori / Municipium Malvesatium"
"270","Neum, Vranjevo Selo / Narona"
"271","Niksic / Mons Nigia / Anderva"
"272","Nin / Aenona"
"273","Nova Varos"
"274","Novalja"
"275","Novi Grad"
"276","Novi Vinodolski"
"277","Obadi / Domavium"
"278","Obrovac / Clambetae"
"279","Ocrkavlje / Municipium Splonistarum"
"280","Oklaj"
"281","Omis / Almissa / Oneum / Onaeum"
"282","Omisalj / Fulfinum"
"283","Omsica"
"284","Orepak, Crnici"
"285","Orlic"
"286","Osor / Opsorus"
"287","Ostrovica / Alveria"
"288","Ostrozac"
"289","Otavice / Municipium Magnum"
"290","Otilovici"
"291","Otinovci / Ad Matricem / Delminium"
"292","Otisic"
"293","Otocac / Ottoschatz / Avendo"
"294","Ozrinici"
"295","Pag"
"296","Pag, Otok"
"297","Panik / Leusinium"
"298","Pankovic"
"299","Pazaric"
"300","Pazdigrad / Pazdigrada / Salona"
"301","Peci"
"302","Pecina"
"303","Perast / Risinium"
