"","place"
"1","?"
"2","Arilje"
"3","Asseria"
"4","Babin Potok / Babispotok / Municipium Splonistarum"
"5","Bajina Basta"
"6","Bakarac"
"7","Baljci"
"8","Banja Luka / Castra"
"9","Baska Voda"
"10","Bastasi / Municipium Salvium"
"11","Beli / Caisole / Crexa"
"12","Benkovac / Asseria"
"13","Berkovina"
"14","Bicine / Bicina"
"15","Bigeste"
"16","Bihac / Raetinium"
"17","Bijaca / Biaca"
"18","Bijelo Polje"
"19","Biograd na Moru / Zaravecchia / Nedinum"
"20","Bioska"
"21","Biskupija"
"22","Bjelovac / Domavium"
"23","Blagaj"
"24","Blazuj"
"25","Borcani / Delminium"
"26","Borci"
"27","Bosansko Grahovo / Municipium Salvium"
"28","Brac, Otok / Brattia"
"29","Bratiskovci"
"30","Bratunac / Domavium"
"31","Bravski Vaganac"
"32","Bravsko"
"33","Brca"
"34","Brda / Acruvium"
"35","Brdo"
"36","Brekovica"
"37","Brestovsko"
"38","Breza"
"39","Bribir / Bribirska Glavica / Varvaria"
"40","Brodarevo"
"41","Budna / Butua"
"42","Budva / Buthoe"
"43","Bugojno / Bistua Nova"
"44","Buinjski Rijecani"
"45","Bukovaca"
"46","Bukovic"
"47","Bukovica / Domavium"
"48","Burnum"
"49","Bushat"
"50","Cacak / Malvesiatium"
"51","Capljina / Ad Turres"
"52","Carevo"
"53","Carevo Polje"
"54","Caska / Cissa"
"55","Cavkici / Raetinium"
"56","Cavtat / Epidaurum"
"57","Celija / Municipium Splonistarum"
"58","Cerin"
"59","Cicje Polje"
"60","Ciovo, Otok / Boa"
"61","Citluk / Aequum"
"62","Cres / Crexa"
"63","Crikvenica / Ad Turres"
"64","Crnici-Greda / Crnici"
"65","Crvenice / Delminium"
"66","Crvica"
"67","Crvljivica"
"68","Cvitina / Cetina"
"69","Dabravine / Dabravina / Breza"
"70","Dabrica"
"71","Danilo / Rider"
"72","Danilo Gornje / Rider"
"73","Dautovac"
"74","Divic"
"75","Doboj"
"76","Dobricevo"
"77","Dobropoljci"
"78","Doci"
"79","Dol / Pharia"
