"","attribute_name","dataset_source","attribute_source","created_by_script","data_type","description"
"1","clean_text_conservative","EDCS/EDH/SDAM","EDH_attrs_cleaned_[timestamp].json","https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_5_r_TEXT_INSCRIPTION_CLEANING.Rmd, https://github.com/sdam-au/LI_ETL/blob/master/scripts","character","Result of cleaning function, producing a conservative version of the text of an inscription. The text is as close to the preserved state of the text, without restorations and expansions. If the text was available in EDH and EDCS, we kept the version provided by EDH."
"2","clean_text_interpretive_sentence","EDCS/EDH/SDAM","EDH_attrs_cleaned_[timestamp].json","https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_5_r_TEXT_INSCRIPTION_CLEANING.Rmd, https://github.com/sdam-au/LI_ETL/blob/master/scripts","character","Result of cleaning function, producing an interpretative version of the text of an inscription. The text contains all restorations and expansions in order to otain as rich version of the text as possible. Interpunction between sentences is reserved. If the text was available in EDH and EDCS, we kept the version provided by EDH."
"3","clean_text_interpretive_word","EDCS/EDH/SDAM","EDH_attrs_cleaned_[timestamp].json","https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_5_r_TEXT_INSCRIPTION_CLEANING.Rmd, https://github.com/sdam-au/LI_ETL/blob/master/scripts","character","Result of cleaning function, producing an interpretative version of the text of an inscription. The text contains all restorations and expansions in order to otain as rich version of the text as possible. Interpunction between sentences is not reserved. If the text was available in EDH and EDCS, we kept the version provided by EDH."
"4","clean_text_interpretive_word_EDCS","EDCS","inscription attribute","https://github.com/sdam-au/EDCS_ETL/blob/master/scripts/1_2_r_EDCS_cleaning_text.Rmd","character","Result of text cleaning function, producing an interpretative version of the text of an inscription. The text contains all restorations and expansions in order to otain as rich version of the text as possible. Interpunction between sentences is not recorded."
"5","country_certainty","EDH","EDH_merged_[timestamp].json","https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_4_r_DATASET_ATTRIBUTES_CLEANING.Rmd","bool","Certainty measure for modern country, extracted from ? present in the original attribute"
"6","country_clean","EDH","EDH_merged_[timestamp].json","https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_4_r_DATASET_ATTRIBUTES_CLEANING.Rmd","character","Cleaned modern country, without additional symbols, such as ?"
"7","depth_cm","EDH","EDH_merged_[timestamp].json","https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_4_r_DATASET_ATTRIBUTES_CLEANING.Rmd","numeric","Cleaned maximum depth in cm, saved as numeric without units"
"8","diplomatic_text","EDH","https://edh-www.adw.uni-heidelberg.de/data/api","https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_1_py_EXTRACTION_edh-inscriptions-from-web-api.ipynb","character","Text of an inscription in majuscule without modern restorations and expansions."
"9","EDCS-ID","EDCS","http://db.edcs.eu/epigr/epikl_ergebnis.php","https://github.com/mqAncientHistory/EpigraphyScraperNotebook","character","Unique identifier, as provided by the EDCS; http://db.edcs.eu/epigr/epikl_ergebnis.php"
"10","EDH-ID","EDH/SDAM","Links attribute, Trismegistos TexRelation API https://www.trismegistos.org/dataservices/texrelations/?source=edh; https://edh-www.adw.uni-heidelberg.de/data/api","https://github.com/sdam-au/LI_ETL/blob/master/scripts","character","EDH ID as listed in the Links attribute or as extracted from Trismegistos TexRelation API.  Six digit ID number of any given record in the EDH dataset."
"11","findspot_ancient_certainty","EDH","EDH_merged_[timestamp].json","https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_4_r_DATASET_ATTRIBUTES_CLEANING.Rmd","bool","Certainty measure for ancient findspot, extracted from ? present in the original attribute"
"12","findspot_ancient_clean","EDH","EDH_merged_[timestamp].json","https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_4_r_DATASET_ATTRIBUTES_CLEANING.Rmd","character","Cleaned ancient findspot, without additional symbols, such as ?"
"13","findspot_certainty","EDH","EDH_merged_[timestamp].json","https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_4_r_DATASET_ATTRIBUTES_CLEANING.Rmd","bool","Certainty measure for findspot, extracted from ? present in the original attribute"
"14","findspot_clean","EDH","EDH_merged_[timestamp].json","https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_4_r_DATASET_ATTRIBUTES_CLEANING.Rmd","character","Cleaned findspot, without additional symbols, such as ?"
"15","findspot_modern_certainty","EDH","EDH_merged_[timestamp].json","https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_4_r_DATASET_ATTRIBUTES_CLEANING.Rmd","bool","Certainty measure for modern findspot, extracted from ? present in the original attribute"
"16","findspot_modern_clean","EDH","EDH_merged_[timestamp].json","https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_4_r_DATASET_ATTRIBUTES_CLEANING.Rmd","character","Cleaned modern findspot, without additional symbols, such as ?"
"17","geometry","SDAM","coordinates (EDH), Latitude and Longitude (EDCS)","https://github.com/sdam-au/LI_ETL/blob/master/scripts","coordinates","Latitude and Longitude, all inscriptions located within the boarder of the Roman Empire in AD 117, represented by the Pelagios shapefile https://github.com/pelagios/magis-pleiades-regions/blob/main/pleiades-regions-magis-pelagios.geojson"
"18","height_cm","EDH","EDH_merged_[timestamp].json","https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_4_r_DATASET_ATTRIBUTES_CLEANING.Rmd","numeric","Cleaned maximum height in cm, saved as numeric without units"
"19","inscr_process","EDCS","status attribute","https://github.com/sdam-au/EDCS_ETL/blob/master/scripts/1_1_r_EDCS_merge_clean_attrs.Rmd","list","Execution or writing technique of an inscription as extracted from status keywords. In Latin."
"20","inscr_type","EDCS","status attribute","https://github.com/sdam-au/EDCS_ETL/blob/master/scripts/1_1_r_EDCS_merge_clean_attrs.Rmd","list","Inscription type as extracted from status keywords. In Latin."
"21","inscription","EDCS","http://db.edcs.eu/epigr/epikl_ergebnis.php","https://github.com/mqAncientHistory/EpigraphyScraperNotebook","character","Text of an inscription including the Leiden Mark up and special EDCS markup, as published by the EDCS."
"22","is_geotemporal","SDAM","geotemporal filtering","https://github.com/sdam-au/LI_ETL/blob/master/scripts","bool","Whether the inscription has BOTH valid geocoordinates AND at least one numiral date variable (i.e. either *not_before* or *not_after*)"
"23","is_within_RE","SDAM","latitude, longitude; https://github.com/pelagios/magis-pleiades-regions/blob/main/pleiades-regions-magis-pelagios.geojson","https://github.com/sdam-au/LI_ETL/blob/master/scripts","bool","Whether the geocoordinates locate the inscription within the borders of the Roman Empire in its highest extent, located within the boarder of the Roman Empire in AD 117, represented by the Pelagios shapefile https://github.com/pelagios/magis-pleiades-regions/blob/main/pleiades-regions-magis-pelagios.geojson"
"24","keywords_term","EDH","https://edh-www.adw.uni-heidelberg.de/data/export","https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_2_py_EXTRACTION_edh-xml_files.ipynb","numeric","XML tag, using standardized Eagle vocabulary for type of an inscription"
"25","language_EDCS","EDCS","http://db.edcs.eu/epigr/epikl_ergebnis.php","https://github.com/mqAncientHistory/EpigraphyScraperNotebook","character","Information about inscription's language as in EDCS. Abbreviation for languages other than Latin, e.g. ""GR"" for Greek, extracted from the inscription attribute. Latin is default value (empty means Latin)"
