MonumentID,Monument_Reference,MonumentType,Mention_Legio_VII,Inscription,Translation,Source_of_Translation,"Tončinić_2011_Style_Type",Lower_Field_Decoration,Portrait,Frieze,Creation_Date,DateNote,Current_Location,Roman_Province,Ancient_Site,Specific_Provenience,Modern_Find_Site,Modern_Provenience,General_Location_Note,Unique_Monument_Provenience_Note,LAT,LONG,Pleiades,Trismegistos,MonumentNote,DBInclusionReason,Media
1,"CIL 03, 02908","construction dedication",yes,"Ti(iberius) Caesar Divi Aug(usti) f(ilius) / Augustus Imp(erator) Pontif(ex) Max(imus) / trib(unicia) potest(ate) XX co(n)s(ul) III / leg(io) VII leg(io) XI / P(ublio) Cornelio Dolabella / leg(ato) pro pr(aetore)[-","Tiberius Caesar, son of the divine Augustus, Emperor, pontifex maximus, wielder of tribunician powers 20 times, consul 3 times, the 7th and 11th legions, for the propraetor legate Publius Cornelius Dolabella [-]",Coopey,,,,,"18 to 19",,,Dalmatia,Iadera,,Zadar,uncertain,,,44.120336,15.237922,https://pleiades.stoa.org/places/197312,https://www.trismegistos.org/place/28796,,,http://lupa.at/21501/photos/1
2,"CIL 03, 02733","funerary inscription",yes,"Sex(tus) Iu[lius Sex(ti) f(ilius)] / Ani(ensi) Silva[nus Foro Iulii] / summus c[urat(or) c(ivium) R(omanorum) prov(inciae) Dalm(atiae)] / suffragio [eorum factus vet(eranus?)] / leg(ionis) VII C(laudiae) P(iae) F(idelis) aed[ilis col(oniae) Claudiae Aequi ab] / ordine primus [post col(oniam) ded(uctam) creatus] / IIIIvir i(ure) d(icundo) pont(ifex) [in col(onia?) Salona(?) ---] / in ag[ro] p(edes) [---] / h(oc) s(epulcrum) h(eredem) [n(on) s(equetur)]","Sextus Julius Silvanus, son of Sextus, of the Aniensis tribe, from the city of Forum Iuli, a centurion? former centurion, with the help of a veteran of the 7th legion Claudia pia fidelis became the supreme curator? of Roman citizens of the province of Dalmatia, the first aedile after the colony of Claudia Aequum was established, a quatrovir with judicial authority and pontifex of the colony of Salona?, who lived [-] years. In length of [-] feet, in width of [-] feet. This monument shall not be inherited by his heir.","Demicheli, Tončinić 2012",,,,,"42 to 70",,lost,Dalmatia,Aequum,,Sinj,,,,43.739278,16.655704,https://pleiades.stoa.org/places/197095,https://www.trismegistos.org/place/19893,"framentary inscription. Does not commemorate a Legio VII soldier, but a group? one? is mentioned. It commemorates S Julius Silvanus becoming first Aedile of the colony at Aequum, a position which he seems to have been voted into with the support of Legio VII veterans/a veteran",,
3,"CIL 03, 03198a","construction dedication",yes,"V//[Ti(berius) C]aesar divi Augusti f(ilius) / [Aug]ustus Imp(erator) pont(ifex) max(imus) / [trib(unicia)] potest(ate) XIIX co(n)s(ul) II / [viam] a colonia Salonitan(a) / [ad f]in[e]s provinciae Illyrici // [--- ---] / cuius viai millia passus sunt / CLXVII munit per vexillarios / leg(ionum) VII et XI / item viam Gabinianam / ab Salonis Andetrium aperuit / et munit per leg(ionem) VII / [","Tiberius Caesar, son of the divine Augustus, Emperor, pontifex maximus, wielder of tribunician powers 18 times, consul twice, constructs the road from Salona to the border with the province of Illyricum [-] from which the road is 168 miles distant, with the assistance of vexillations of the 11th and 7th legions, and also the Via Gabinia from Salona to Andetrium is opened a constructed with the assistance of the 7th legion","Tončinić 2011",,,,,"16 to 17",,,Dalmatia,Spalatum,,Split,"Mausoleum of Diocletian",,,43.507814,16.4388951,https://pleiades.stoa.org/places/834862588,https://www.trismegistos.org/place/29361,"records Legio VII vexilio working on roads",,http://lupa.at/21500/photos/1
4,"Tončinić 066",stela,yes,"L(ucius) Vettius M(arci) [f(ilius)] / Maec(ia) Secun[dus] / Libarn[a] vet(eranus) le[g(ionis)] / VII vivus [f]ecit si[bi] / et Vettiae L(uci) f(iliae) Ver[ae)] / et Vettiae L(uci) l(ibertae) S[---]","Lucius Vettius Secundus, son of Marcus, of the Maecia tribe, from the city of Libarna, a veteran of the 7th Legion, erected this for himself, Vettia Vera, daughter of Lucius, and Vettia S[], a freedwoman of Lucius.","Coopey, edit of Tončinić 2011",A3c,,"dual bust",,"7 to 42",,"Muzej Cetinske krajina/Museum of Cetina region, Inv. No. MCK-AZ-228",Dalmatia,Aequum,,Hrvace,"built into modern structure","near Sinj",,43.755188,16.621101,https://pleiades.stoa.org/places/197095,https://www.trismegistos.org/place/19893,,,http://lupa.at/21485/photos/1
5,"AE 1999, 1230",stela,yes,"L(ucius) Ancharenus Q(uinti) f(ilius)/ Ser(gia triba) (domo) Laranda mil(es)/ leg(ionis) VII(septima) ann(orum) XL(quadraginta) stip(endiorum) XXI(vigintiunorum)/ h(ic) s(itus) e(st) Q(uintus) Ancharenus haec tan[dem]/ posuit tibi dona frater quia longe a patria te cecidisse dolet optaram vivo potius dare vi[na] [me tibi] non obito care ferenda/ tuo si quicquam sentire potes/ [pro le]pore nostro damus haec/ […] sit tibi terra levis frater/ fratri posuit","Here lies Lucius Ancharenus, son of Quintus, of the Sergia tribe, from the city of Laranda, a soldier of the 7th legion who lived for 40 years and served for 21. Quintus Ancharenus has dedicated this gift to you at last, brother, because he is grieved that you had died far from your homeland. I had hoped rather that I would give you wine when you were alive, which cannot be given to you now dead, my beloved. If you are able to perceive anything, I offer this on behalf of my good character[?] […] may the earth be light upon you. A brother erected this for his brother","Samuel Wessels",Rc,undecorated,"no portrait",floral,"7 to 42",,"Muzej Triljskog kraja/Trilj Regional Museum, Inv. No. MTK 2",Dalmatia,Tilurium,,"Vojnić",,,,43.615035,16.700356,https://pleiades.stoa.org/places/197552,https://www.trismegistos.org/place/29459,,,http://lupa.at/21432/photos/1
6,"CIL 03, 02709",stela,yes,"T(itus) Ancharenus / T(iti) f(ilius) Ser(gia) / dom(o) Laranda / mil(es) leg(ionis) VII an(norum) / XLV stip(endiorum) XXIII / h(ic) s(itus) e(st)","Here lies Titus Ancharenus, son of Titius, of the Sergia tribe, from the city of Laranda, soldier of the 7th legion, who lived for 45 years and served for 23.",Coopey,A1a,"quad-panelled door, handles and knockers","no portrait",military,"7 to 42",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 2588",Dalmatia,Tilurium,,Gardun,,,,43.612006,16.714766,https://pleiades.stoa.org/places/197552,https://www.trismegistos.org/place/29459,,,http://lupa.at/21433/photos/1
7,"CIL 03, 03162a",stela,yes,"M(arco) Antonio Celeri / eq(uiti) leg(ionis) VII C(laudiae) P(iae) F(idelis) Iulia / Maxsima heres fecit / sibi et coniugi caro suo st(ipendiorum) XXX / [in] f(ronte) p(edes) XII in ag(ro) (!) XVII","Marcus Antonius Celerus, cavalryman of the 7th legion Claudia pia fidelis. Erected by Julia Maxima and, his heiress for herself and her dear spouse who served for 30 years. In a length of 12 feet, and a width of 17 feet,","Tončinić 2011",A3b,,"bust and rider",,"42 to 59",,lost,Dalmatia,,,,,,,,,https://pleiades.stoa.org/places/981522,https://www.trismegistos.org/place/11624,"reconstructed in a sketch by Hofmann 1905, 49-50 fig. 33 - based off a stelae of Alae Claudiae Novae from Tilurium for Marcus Elvadius. Tončinić 2011, 25-26 argues it is likely a good reconstruction",,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$CIL_03_03162a.jpg
8,"ILJug 3, 2091",stela,yes,"L(ucius) Arruntius / domo Pasimoae / anno(rum) LV / [vet(eranus) leg(ionis)] VII h(ic) s(itus) e(st) / [testament]o fieri iussit / [","Here lies Lucius Arruntius, from the city of Phazimon, who lived 55 years, a veteran of the 7th legion. Done in accordance with his will.","Coopey, edit of Tončinić 2011",,,bust,,"7 to 42",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 4657",Dalmatia,Salona,"North Necropolis",Solin,,"Matinčevo-Porta Suburbia I",,43.53869,16.476543,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043,"as Tončinić 2011 notes, MonumentID 24, 62, 95 were found in the same region. It is thought to commemorate a veteran on account of the individual's old age",,http://lupa.at/21435/photos/1
9,"CIL 03, 08723",stela,yes,"C(aius) Asurius mil(es) / leg(ionis) VII ∙>∙(centuria) Trini / ann(orum) XXXV stip(endiorum) XIV / domo Florentia / Severa lib(erta) / pos(u)it","Gaius Asurius, soldier of the 7th legion, in the century of Trinus, who lived for 35 years and served for 14. From the city of Florence. Erected by Severa, his freedwoman.",Coopey,Rc,,"no portrait","no frieze","7 to 42",,"Arheološki muzej u Splitu/Archaeological Museum in Split, Inv. No. A 1425",Dalmatia,Salona,"East Necropolis",Solin,,"near Porta Andetria",,43.541733,16.491405,https://pleiades.stoa.org/places/197488,https://www.trismegistos.org/place/7043,,,http://lupa.at/21436/photos/1
10,"AE 1995, 1231",stela,yes,"L(ucius) Attius <L=I>(uci) <f=E>(ilius) Sergi(a) / Augusta / an(norum) XXX st(ipendiorum) VIII / mil(es) leg(ionis) VII / h(ic) s(itus) es(t)","Here lies Lucius Attius, son of Lucius, of the Sergia tribe, from the city of Augusta, who lived for 30 years and served for 8, a soldier of the 7th legion.",Coopey,Rc,undecorated,,"no frieze","7 to 42",,"Muzej Cetinske krajina/Museum of Cetina region",Dalmatia,Tilurium,,"Vojnić",,"found between Vojnić and Gardun",,43.615035,16.700356,https://pleiades.stoa.org/places/197552,https://www.trismegistos.org/place/29459,,,http://lupa.at/21437/photos/1
