"EDCS-ID","publication","province","place","cleaned_place","dating_from","dating_to","status","inscription","inscription_interpretive_cleaning","latitude","longitude"
"EDCS-28600118","CIL 03, 03158 (p 1038) = CIL 05, *00336 = D 03320 = Liburnia 00209","Dalmatia","?","?","14","37","Augusti/Augustae;  ordo decurionum;  tituli sacri;  tria nomina;  viri","Iano Patri / Aug(usto) sacrum / C(aius) Iulius C(ai) f(ilius) Ser(gia) / Aetor aed(ilis) / donatus ab(!) Ti(berio) Caes(are) / Aug(usti) f(ilio) Augusto torq(ue) / maiore bello D<a=E>lma/tico ob honorem / IIviratus cum liberis / suis posuit","Iano Patri Augusto sacrum Caius Iulius Cai filius Sergia Aetor aedilis donatus ab Tiberio Caesare Augusti filio Augusto tor que maiore bello Dalmatico ob honorem II viratus cum liberis suis posuit",NA,NA
"EDCS-28600121","CIL 03, 03159 (p 2275) = IGLFriuli 00027 = Liburnia 00208","Dalmatia","?","?","1","150","tituli sacri;  tria nomina;  viri","Trivi(i)s / C(aius) Aristius / Clemens / ex vot[o l(ibens) s(olvit)] m(erito)","Triviis Caius Aristius Clemens ex voto libens solvit merito",NA,NA
"EDCS-28600122","CIL 03, 03160","Dalmatia","?","?","1","150","tituli sacri;  tria nomina;  viri","Q(uintus) Coelius / Q(uinti) f(ilius) Balbus / Vener(i) Vict(rici)","Quintus Coelius Quinti filius Balbus Veneri Victrici",NA,NA
"EDCS-28600124","CIL 03, 03162","Dalmatia","?","?","1","150","liberti/libertae;  tituli sacri;  tria nomina;  viri","[P(ublius)] Cordius P(ubli) l(ibertus) / Tharsus vot(um) / solvit lib[e]ns mer(ito)","Publius Cordius Publi libertus Tharsus votum solvit libens merito",NA,NA
"EDCS-28600125","CIL 03, 03162a (p 1650) = CIL 05, *00333 = CIL 11, *00123a4 = Legio-VII 00003","Dalmatia","?","?","42","100","milites;  mulieres;  tituli sepulcrales;  tria nomina;  viri","M(arco) Antonio Celeri / eq(uiti) leg(ionis) VII C(laudiae) P(iae) F(idelis) Iulia / Maxsima(!) heres fecit / sibi et coniugi caro suo st(ipendiorum) XXX / [in] f(ronte) p(edes) XII in ag(ro) (!) XVII","Marco Antonio Celeri equiti legionis VII Claudiae Piae Fidelis Iulia Maxsima heres fecit sibi et coniugi caro suo stipendiorum XXX in fronte pedes XII in agro XVII",NA,NA
"EDCS-28600128","CIL 03, 03164 (p 1038, 1650) = CIL 03, 09816 = D 02505","Dalmatia","?","?","51","150","milites;  nomen singulare;  tituli sepulcrales;  viri","Surus Sparuci f(ilius) / dom(o) Tribocus / eques alae Claud/iae Novae ann(orum) XXX / stip(endiorum) XIII h(ic) s(itus) e(st) t(estamento) f(ieri) i(ussit) / arbitratu Celati ses/quiplicari(i) heredis","Surus Sparuci filius domo Tribocus eques alae Claudiae Novae annorum XXX stipendiorum XIII hic situs est testamento fieri iussit arbitratu Celati sesquiplicarii heredis",NA,NA
"EDCS-28600131","CIL 03, 03166a = CIL 05, *00333","Dalmatia","?","?","14","150","mulieres;  seviri Augustales;  tituli sepulcrales;  tria nomina;  viri","L(ucius) Crepereius / Heracla VIvir / v(ivus) f(ecit) sibi et / Crepereiae Aplidi / uxori et / Crepereiae Panterae / filiae et / L(ucio) Crepereio Celeri / nepoti exfuncto(!)","Lucius Crepereius Heracla VI vir vivus fecit sibi et Crepereiae Aplidi uxori et Crepereiae Panterae filiae et Lucio Crepereio Celeri nepoti exfuncto",NA,NA
"EDCS-28600134","CIL 03, 03169 = CIL 11, *00827a1","Dalmatia","?","?","14","150","liberti/libertae;  seviri Augustales;  tituli sepulcrales;  tria nomina;  viri","D(ecimus) Nerfinius D(ecimi) l(ibertus) / Urbanus VIvir / fecit sibi et suis / in fronte p(edes) XV / in agro p(edes) XX","Decimus Nerfinius Decimi libertus Urbanus VI vir fecit sibi et suis in fronte pedes XV in agro pedes XX",NA,NA
"EDCS-28600146","CIL 03, 03176","Dalmatia","?","?","14","150","liberti/libertae;  tituli honorarii;  tria nomina;  viri","L(ucio) Cornelio L(uci) l(iberto) / Serapioni / IITII[3] viro / [","Lucio Cornelio Luci liberto Serapioni IITII viro",NA,NA
"EDCS-28600163","CIL 03, 03184a = CIL 05, *00333","Dalmatia","?","?","1","150","liberti/libertae;  tituli sepulcrales;  tria nomina;  viri","T(itus) Lucilius / T(iti) l(ibertus) Aptus / h(ic) s(itus) e(st)","Titus Lucilius Titi libertus Aptus hic situs est",NA,NA
"EDCS-28600168","CIL 03, 03186 (p 1650)","Dalmatia","?","?","1","150","tituli sepulcrales;  tria nomina;  viri","M(arcus) Poblicius / M(arci) f(ilius) Aquila an(norum) II","Marcus Poblicius Marci filius Aquila annorum II",NA,NA
"EDCS-28600172","CIL 03, 03189 = CIL 11, *00827a3","Dalmatia","?","?","1","150","liberti/libertae;  mulieres;  tituli sepulcrales;  tria nomina;  viri","C(aius) Sempronius C(ai) f(ilius) Deius / et C(aius) Sempronius Florus l(iberti) / v(ivi) f(ecerunt) sibi et Semproniae Am/miae matri Semproniae / Florae sorori Sempro/niae Pietati Semproniae / Ionicae l(ibertae) / in f(ronte) p(edes) XXIV in a(gro) p(edes) XII","Caius Sempronius Cai filius Deius et Caius Sempronius Florus liberti vivi fecerunt sibi et Semproniae Ammiae matri Semproniae Florae sorori Semproniae Pietati Semproniae Ionicae libertae in fronte pedes XXIV in agro pedes XII",NA,NA
"EDCS-28600173","CIL 03, 03190 (p 1650, 2275) = IGLFriuli 00031","Dalmatia","?","?","1","150","tituli sepulcrales;  tria nomina;  viri","M(arco) Servenio / Punico posuit / M(arcus) Servenius / Doctus fil(ius)","Marco Servenio Punico posuit Marcus Servenius Doctus filius",NA,NA
"EDCS-28600185","CIL 03, 03195b = CIL 03, 08807","Dalmatia","?","?","1","150","liberti/libertae;  seviri Augustales;  tituli sepulcrales;  tria nomina;  viri","C(aius) Volusius Primi/genius VIvir / viv<u=O>s fecit sibi et / C(aio) Volusio Euhemero / conlibert(o) VIvir(o) Aug(ustali) et / C(aio) Volusio Primigenio defunc(to) / annor(um) VIII libertis libertabusq(ue) / suis ossibus inferendis extranior(um) / nequis ossa inferre velit et tu et tibi / in fr(onte) p(edes) XXX in / agr(o) p(edes) XXX","Caius Volusius Primigenius VI vir vivus fecit sibi et Caio Volusio Euhemero conliberto VI viro Augustali et Caio Volusio Primigenio defuncto annorum VIII libertis libertabus que suis ossibus inferendis extraniorum nequis ossa inferre velit et tu et tibi in fronte pedes XXX in agro pedes XXX",NA,NA
