"EDCS-ID","publication","province","place","cleaned_place","dating_from","dating_to","status","inscription","inscription_interpretive_cleaning","latitude","longitude"
"EDCS-20601178","AE 2000, 01178","Dalmatia","Bigeste","Bigeste","1","100","milites;  nomen singulare;  tituli sepulcrales;  viri","Tures Alburi / f(ilius) eq(ues) coh(ortis) I / Bracaraugus(tanorum) / ann(orum) XXV stip(endiorum) VII / h(ic) s(itus) e(st) h(eres) p(osuit)","Tures Alburi filius eques cohortis I Bracaraugustanorum annorum XXV stipendiorum VII hic situs est heres posuit","43.182222","17.528889"
"EDCS-20601179","AE 2000, 01179","Dalmatia","Bigeste","Bigeste","1","100","milites;  nomen singulare;  tituli sepulcrales;  viri","Veranus Caturonis / f(ilius) eq(ues) coh(ortis) I Bracaraug(ustanorum) / turma Tironis ann(orum) / XXXIIX stipendiorum / XVIII h(ic) s(itus) e(st) t(estamento) f(ieri) i(ussit) / h(eredes) p(osuerunt) Tiro dec(urio) et Crispus / Caturonis","Veranus Caturonis filius eques cohortis I Bracaraugustanorum turma Tironis annorum XXXIIX stipendiorum XVIII hic situs est testamento fieri iussit heredes posuerunt Tiro decurio et Crispus Caturonis","43.182222","17.528889"
"EDCS-20601180","AE 2000, 01180a","Dalmatia","Bigeste","Bigeste","70","86","milites;  sigilla impressa;  tituli fabricationis","Leg(ionis) IIII F(laviae) [F(elicis)]","Legionis IIII Flaviae Felicis","43.182222","17.528889"
"EDCS-20601181","AE 2000, 01180b","Dalmatia","Bigeste","Bigeste","1","70","milites;  sigilla impressa;  tituli fabricationis","Leg(ionis) VIII Aug(ustae)","Legionis VIII Augustae","43.182222","17.528889"
"EDCS-20601183","AE 2000, 01180d","Dalmatia","Bigeste","Bigeste","70","86","milites;  sigilla impressa;  tituli fabricationis","[L]eg(ionis) IIII F(laviae) F(elicis)","Legionis IIII Flaviae Felicis","43.182222","17.528889"
"EDCS-20601184","AE 2000, 01180e","Dalmatia","Bigeste","Bigeste","1","70","milites;  sigilla impressa;  tituli fabricationis","[Leg(ionis)] VIII Aug(ustae)","Legionis VIII Augustae","43.182222","17.528889"
"EDCS-20601174","Legio-VII 00031 = AE 2000, 01174","Dalmatia","Bigeste","Bigeste","1","100","milites;  praenomen et nomen;  tituli sepulcrales;  viri","C(aius) Licinius C(ai) f(ilius) / Fab(ia) dom(o) Sinope / vete(ranus) leg(ionis) VII an(norum) L / stip(endiorum) XXVII / h(ic) s(itus) e(st) / heredes posuer(unt)","Caius Licinius Cai filius Fabia domo Sinope veteranus legionis VII annorum L stipendiorum XXVII hic situs est heredes posuerunt","43.182222","17.528889"
"EDCS-20601175","Legio-XV-Apo 00183 = AE 1979, 00445 = AE 2000, 01175","Dalmatia","Bigeste","Bigeste","14","37","milites;  tituli sepulcrales;  tria nomina;  viri","L(ucius) Luc[3] / C(ai) f(ilius) Prim[us] / vete(ranus) leg(ionis) / XV Apolli/naris / h(ic) s(itus) e(st) / t(estamento) f(ieri) i(ussit)","Lucius Luc Cai filius Primus veteranus legionis XV Apollinaris hic situs est testamento fieri iussit","43.182222","17.528889"
"EDCS-30200433","CIL 03, 14985 = ILJug-02, 00851 = Liburnia 00137","Dalmatia","Burnum","Burnum","1","150","nomen singulare;  tituli sacri;  viri","Tytulius / Panentis / Sil/vano Do/mestico pos(uit)","Tytulius Panentis Silvano Domestico posuit","44.0183606","16.0181762"
"EDCS-30200434","CIL 03, 14997,2 = ILJug-03, 02813 = AE 1903, 00304","Dalmatia","Burnum","Burnum","1","42","milites;  tituli sepulcrales;  tria nomina;  viri","M(arcus) Domitius / M(arci) f(ilius) Fabia Sev/erus Brix{s}ia / miles leg(ionis) XI / ann(orum) XXX / stip(endiorum) VIII h(ic) s(itus) e(st) / heres posuit","Marcus Domitius Marci filius Fabia Severus Brixia miles legionis XI annorum XXX stipendiorum VIII hic situs est heres posuit","44.0183606","16.0181762"
