"","fo_antik","koordinaten1","n","latitude","longitude"
"1","Salonae","43.544525465,16.494163513",1482,"43.544525465","16.494163513"
"2","Salonae, bei","43.509695611,16.434962153",126,"43.509695611","16.434962153"
"3","Narona","43.081301545,17.624645233",110,"43.081301545","17.624645233"
"4","Salonae?","43.538842679,16.484727859",105,"43.538842679","16.484727859"
"5","Salonae, bei","43.539404872,16.477573258",85,"43.539404872","16.477573258"
"6","Burnum","44.018002707,16.025812625",70,"44.018002707","16.025812625"
"7","Salonae, bei","43.508177614,16.440884470",67,"43.508177614","16.440884470"
"8","Salonae, bei","43.542264644,16.482780575",62,"43.542264644","16.482780575"
"9","Salonae, bei","43.531198105,16.463470190",59,"43.531198105","16.463470190"
"10","Salonae","43.539323580,16.482557058",50,"43.539323580","16.482557058"
"11","Tilurium","43.6075817,16.714340200",43,"43.6075817","16.714340200"
"12","Iader","44.114990454,15.228889243",42,"44.114990454","15.228889243"
"13","Asseria","44.010285,15.668049",41,"44.010285","15.668049"
"14","Rider","43.701885100,16.046075847",41,"43.701885100","16.046075847"
"15","Aenona","44.243529,15.184150",40,"44.243529","15.184150"
"16","Salonae, bei","43.538206038,16.470564263",38,"43.538206038","16.470564263"
"17","Aequum","43.741956527,16.653900146",36,"43.741956527","16.653900146"
"18","Salonae, bei","43.542049110,16.482093930",34,"43.542049110","16.482093930"
"19","Salonae, bei","43.558822877,16.524059772",34,"43.558822877","16.524059772"
"20","Iader?","44.114878,15.228951",30,"44.114878","15.228951"
"21","Salonae, bei","43.541860240,16.480994224",30,"43.541860240","16.480994224"
"22","Salonae","43.538506953,16.476162671",29,"43.538506953","16.476162671"
"23","Municipium Malvesiatium","43.978899206,19.544076919",27,"43.978899206","19.544076919"
"24","Salonae, bei","43.542014189,16.482412233",26,"43.542014189","16.482412233"
"25","Ninia, bei","44.034877613,16.205915074",25,"44.034877613","16.205915074"
"26","Salonae, bei","43.542026,16.483235",25,"43.542026","16.483235"
"27","Varvaria","43.9214921,15.8398106",25,"43.9214921","15.8398106"
"28","Municipium Salvium","44.0151776,16.898185499",24,"44.0151776","16.898185499"
"29","Raetinium, bei?","44.801178928,15.882803329",24,"44.801178928","15.882803329"
"30","Bigeste, bei","43.1591014,17.544791400",23,"43.1591014","17.544791400"
"31","Salonae, bei","43.545561990,16.415033340",23,"43.545561990","16.415033340"
"32","Epidaurum","42.584775729,18.213720989",21,"42.584775729","18.213720989"
"33","Salonae, bei","43.539060446,16.473526954",21,"43.539060446","16.473526954"
"34","Albona","45.0207972,14.0567828",20,"45.0207972","14.0567828"
"35","Asseria","44.0111791,15.6668821",20,"44.0111791","15.6668821"
"36","Doclea","42.467212864,19.265850603",20,"42.467212864","19.265850603"
"37","Municipium S[---]","43.342533343,19.320487976",20,"43.342533343","19.320487976"
"38","Salonae","43.539113591,16.482975482",20,"43.539113591","16.482975482"
"39","Salonae, bei","43.542008003,16.482759118",20,"43.542008003","16.482759118"
"40","Tilurium, bei","43.613931699,16.688994800",20,"43.613931699","16.688994800"
"41","Corinium","44.107736811,15.629713195",19,"44.107736811","15.629713195"
"42","Salonae","43.539633748,16.486024516",19,"43.539633748","16.486024516"
"43","Salonae, bei","43.532684874,16.493540832",19,"43.532684874","16.493540832"
"44","Epetium","43.503943104,16.519403457",18,"43.503943104","16.519403457"
"45","Risinium","42.514995318,18.695182800",18,"42.514995318","18.695182800"
"46","Salonae","43.538204927,16.468119621",18,"43.538204927","16.468119621"
"47","Salonae","43.538397128,16.474293708",18,"43.538397128","16.474293708"
"48","Salonae, bei","43.531375899,16.462440452",18,"43.531375899","16.462440452"
"49","Asseria","44.009671,15.668327",17,"44.009671","15.668327"
"50","Municipium S[---]","43.342242042,19.319887161",17,"43.342242042","19.319887161"
"51","Narona","43.080102598,17.625035047",17,"43.080102598","17.625035047"
"52","Pituntium","43.474103765,16.567748359",17,"43.474103765","16.567748359"
"53","Salonae, bei","43.541685257,16.481992006",17,"43.541685257","16.481992006"
"54","Salonae, bei","43.541953564,16.482715004",17,"43.541953564","16.482715004"
"55","Salonae, bei","43.543989811,16.484137773",17,"43.543989811","16.484137773"
"56","Salviae","44.0726166,16.789406800",17,"44.0726166","16.789406800"
"57","Doclea","42.469100199,19.261658191",16,"42.469100199","19.261658191"
"58","Salonae","43.537722721,16.473290920",16,"43.537722721","16.473290920"
"59","Salonae, bei","43.539401354,16.477745175",16,"43.539401354","16.477745175"
"60","Scardona","43.822702888,15.920788316",16,"43.822702888","15.920788316"
"61","Municipium S[---], bei","43.358719,19.363159",15,"43.358719","19.363159"
"62","Salonae, bei","43.561292,16.523368",15,"43.561292","16.523368"
"63","Nedinum","44.071227277,15.496541216",14,"44.071227277","15.496541216"
"64","Salonae, bei","43.521392081,16.429506540",14,"43.521392081","16.429506540"
"65","Tragurium","43.5125,16.25167",14,"43.5125","16.25167"
"66","Andetrium","43.69071,16.48378",13,"43.69071","16.48378"
"67","Narona","43.080107822,17.624988555",13,"43.080107822","17.624988555"
"68","Pituntium","43.484462,16.552744",13,"43.484462","16.552744"
"69","Promona","43.894104106,16.209855079",13,"43.894104106","16.209855079"
"70","Salonae, bei","43.539432648,16.477590884",13,"43.539432648","16.477590884"
"71","Salonae, bei","43.541996338,16.482989788",13,"43.541996338","16.482989788"
"72","Salonae, bei","43.542077996,16.482932438",13,"43.542077996","16.482932438"
"73","Aequum, bei","43.70361,16.63944",12,"43.70361","16.63944"
"74","Apsorus","44.6935722,14.3927571",12,"44.6935722","14.3927571"
"75","Buthoe","42.278880526,18.835131525",12,"42.278880526","18.835131525"
"76","Domavium","44.142084376,19.359419345",12,"44.142084376","19.359419345"
"77","Salonae","43.538547136,16.472303867",12,"43.538547136","16.472303867"
"78","Salonae, bei","43.533849372,16.493160724",12,"43.533849372","16.493160724"
"79","Salonae, bei","43.538450474,16.470193351",12,"43.538450474","16.470193351"
"80","Salonae, bei","43.5492998,16.396319700",12,"43.5492998","16.396319700"
"81","Salonae, bei","43.549356826,16.496272087",12,"43.549356826","16.496272087"
"82","Solentia, insula","43.392216133,16.287517548",12,"43.392216133","16.287517548"
"83","Narona","43.077179574,17.624258995",11,"43.077179574","17.624258995"
"84","Oneum","43.444195157,16.695492267",11,"43.444195157","16.695492267"
"85","Raetinium, bei?","44.789880553,15.927085876",11,"44.789880553","15.927085876"
"86","Raetinium?","44.7860068,15.9241214",11,"44.7860068","15.9241214"
"87","Salonae, bei","43.543543942,16.483139991",11,"43.543543942","16.483139991"
"88","Iader","44.114839700,15.228703022",10,"44.114839700","15.228703022"
"89","Municipium Salvium, bei","44.109898196,16.784963607",10,"44.109898196","16.784963607"
"90","Narona, bei","43.064545495,17.688417434",10,"43.064545495","17.688417434"
"91","Nedinum?","44.0737376,15.497817",10,"44.0737376","15.497817"
"92","Pelva","43.870972300,16.777918339",10,"43.870972300","16.777918339"
"93","Promona","43.895464823,16.211357116",10,"43.895464823","16.211357116"
"94","Raetinium, bei?","44.844482259,15.903557538",10,"44.844482259","15.903557538"
"95","Salonae","43.538373810,16.484651225",10,"43.538373810","16.484651225"
"96","Salonae","43.538740276,16.475477814",10,"43.538740276","16.475477814"
"97","Salonae","43.539628192,16.484030485",10,"43.539628192","16.484030485"
"98","Salonae, bei","43.507658854,16.439811587",10,"43.507658854","16.439811587"
"99","Salonae, bei","43.530403594,16.476455926",10,"43.530403594","16.476455926"
"100","Salonae, bei","43.538090858,16.473104953",10,"43.538090858","16.473104953"
"101","Acruvium","42.424364649,18.771343231",9,"42.424364649","18.771343231"
"102","Bigeste","43.1847497,17.533972100",9,"43.1847497","17.533972100"
"103","Municipium S[---], bei","43.324591192,19.356215000",9,"43.324591192","19.356215000"
"104","Municipium S[---], bei","43.324594538,19.356172850",9,"43.324594538","19.356172850"
"105","Nedinum","44.072055942,15.509470532",9,"44.072055942","15.509470532"
"106","Novae, bei","43.412342841,17.210941314",9,"43.412342841","17.210941314"
"107","Rider","43.701974298,16.037743091",9,"43.701974298","16.037743091"
"108","Salonae","43.537564947,16.484166894",9,"43.537564947","16.484166894"
"109","Salonae","43.540678121,16.486659049",9,"43.540678121","16.486659049"
"110","Salonae","43.540683305,16.486823557",9,"43.540683305","16.486823557"
"111","Salonae, bei","43.508117957,16.440321207",9,"43.508117957","16.440321207"
"112","Salonae, bei","43.518169881,16.556962964",9,"43.518169881","16.556962964"
"113","Salonae, bei","43.538259370,16.470823287",9,"43.538259370","16.470823287"
"114","Salonae, bei","43.541945787,16.485339403",9,"43.541945787","16.485339403"
"115","Salonae, bei","43.542015780,16.482827533",9,"43.542015780","16.482827533"
"116","Salonae, bei","43.542175209,16.482844948",9,"43.542175209","16.482844948"
"117","Salonae, bei","43.542273,16.483323",9,"43.542273","16.483323"
"118","Burnum, bei","44.0160408,16.0072244",8,"44.0160408","16.0072244"
"119","Issa, insula","43.06194,16.18306",8,"43.06194","16.18306"
"120","Municipium Magnum","43.804376203,16.297678272",8,"43.804376203","16.297678272"
"121","Municipium Magnum, bei","43.801973589,16.290278437",8,"43.801973589","16.290278437"
"122","Novae, bei","43.41083,17.20556",8,"43.41083","17.20556"
"123","Rider","43.700462000,16.055703999",8,"43.700462000","16.055703999"
"124","Rider, bei","43.726452188,15.993862152",8,"43.726452188","15.993862152"
"125","Salonae","43.537333841,16.473172903",8,"43.537333841","16.473172903"
"126","Salonae","43.538522137,16.483489445",8,"43.538522137","16.483489445"
"127","Salonae","43.539952617,16.483094011",8,"43.539952617","16.483094011"
"128","Salonae","43.540039,16.483774",8,"43.540039","16.483774"
"129","Salonae, bei","43.507814000,16.4388951",8,"43.507814000","16.4388951"
"130","Salonae, bei","43.538854345,16.481294631",8,"43.538854345","16.481294631"
"131","Salonae, bei","43.539077297,16.477448344",8,"43.539077297","16.477448344"
"132","Salonae, bei","43.540958098,16.512966156",8,"43.540958098","16.512966156"
"133","Salonae, bei","43.541392506,16.482617344",8,"43.541392506","16.482617344"
"134","Salonae, bei","43.549932251,16.502315997",8,"43.549932251","16.502315997"
"135","Siculi, bei","43.548361482,16.292810440",8,"43.548361482","16.292810440"
"136","Sidrona","44.099420685,15.791584253",8,"44.099420685","15.791584253"
"137","Burnum, bei","44.086247,16.029016",7,"44.086247","16.029016"
"138","Curicum","45.02583,14.57306",7,"45.02583","14.57306"
"139","Delminium, bei","43.6430357,17.310967800",7,"43.6430357","17.310967800"
"140","Delminium, bei","43.720941392,17.229430805",7,"43.720941392","17.229430805"
"141","Epidaurum","42.581009999,18.218868000",7,"42.581009999","18.218868000"
"142","Iader","44.11972,15.24222",7,"44.11972","15.24222"
"143","Iader, bei","43.94333,15.45194",7,"43.94333","15.45194"
"144","Municipium Magnum","43.804015042,16.297059058",7,"43.804015042","16.297059058"
"145","Narona","43.080765789,17.625617979",7,"43.080765789","17.625617979"
"146","Nedinum","44.073315685,15.497294833",7,"44.073315685","15.497294833"
"147","Novae","43.388624531,17.235946658",7,"43.388624531","17.235946658"
"148","Raetinium, bei?","44.781036,15.938378",7,"44.781036","15.938378"
"149","Rider","43.699645689,16.064416510",7,"43.699645689","16.064416510"
"150","Salonae, bei","43.537369396,16.490803446",7,"43.537369396","16.490803446"
"151","Salonae, bei","43.538561025,16.469247681",7,"43.538561025","16.469247681"
"152","Salonae, bei","43.541459722,16.482791304",7,"43.541459722","16.482791304"
"153","Salonae, bei","43.541536196,16.500957012",7,"43.541536196","16.500957012"
"154","Salonae, bei","43.541634706,16.483429670",7,"43.541634706","16.483429670"
"155","Salonae, bei","43.542005,16.483214",7,"43.542005","16.483214"
"156","Salonae, bei","43.545814838,16.425506983",7,"43.545814838","16.425506983"
"157","Salonae, bei","43.5518736,16.337411699",7,"43.5518736","16.337411699"
"158","Salonae, bei","43.557942278,16.519026160",7,"43.557942278","16.519026160"
"159","Salonae, bei","43.579774269,16.552530527",7,"43.579774269","16.552530527"
"160","Tilurium, bei","43.61833,16.72417",7,"43.61833","16.72417"
"161","Tragurium","43.518995897,16.250796318",7,"43.518995897","16.250796318"
"162","Varvaria","43.925410933,15.842955974",7,"43.925410933","15.842955974"
"163","Aenona","44.240894858,15.177440643",6,"44.240894858","15.177440643"
"164","Aequum, bei","43.7844394,16.561500600",6,"43.7844394","16.561500600"
"165","Ansium, bei","44.178812371,15.645453929",6,"44.178812371","15.645453929"
"166","Ansium, bei","44.178953947,15.666023251",6,"44.178953947","15.666023251"
"167","Argyruntum, bei","44.292347328,15.440855026",6,"44.292347328","15.440855026"
"168","Asseria","44.011040,15.666445",6,"44.011040","15.666445"
"169","Asseria","44.011300,15.667207",6,"44.011300","15.667207"
"170","Bigeste","43.182277601,17.528983191",6,"43.182277601","17.528983191"
"171","Burnum, bei","44.015379434,16.020512580",6,"44.015379434","16.020512580"
"172","Cissa","44.549866865,14.920120239",6,"44.549866865","14.920120239"
"173","Diluntum","43.079776737,17.955863621",6,"43.079776737","17.955863621"
"174","Doclea","42.466066977,19.268425532",6,"42.466066977","19.268425532"
"175","Domavium","44.141914994,19.360284805",6,"44.141914994","19.360284805"
"176","Narona?","43.080800028,17.625961301",6,"43.080800028","17.625961301"
"177","Pharus","43.1845583,16.6011191",6,"43.1845583","16.6011191"
"178","Raetinium?","44.784561243,15.918582344",6,"44.784561243","15.918582344"
"179","Raetinium?","44.786911663,15.921063422",6,"44.786911663","15.921063422"
"180","Raetinium?","44.786952274,15.920977593",6,"44.786952274","15.920977593"
"181","Salonae","43.535202740,16.483640671",6,"43.535202740","16.483640671"
"182","Salonae","43.538314368,16.482608914",6,"43.538314368","16.482608914"
"183","Salonae","43.538543248,16.476315685",6,"43.538543248","16.476315685"
"184","Salonae","43.538948785,16.473501665",6,"43.538948785","16.473501665"
"185","Salonae","43.541572202,16.491395784",6,"43.541572202","16.491395784"
"186","Salonae, bei","43.539017670,16.479077594",6,"43.539017670","16.479077594"
"187","Salonae, bei","43.539764851,16.465602942",6,"43.539764851","16.465602942"
"188","Salonae, bei","43.542106,16.483135",6,"43.542106","16.483135"
"189","Salonae, bei","43.549706192,16.498244659",6,"43.549706192","16.498244659"
"190","Salonae, bei","43.55,16.5",6,"43.55","16.5"
"191","Salonae, bei","43.554969216,16.498911380",6,"43.554969216","16.498911380"
"192","Salonae, bei","43.558780671,16.524065904",6,"43.558780671","16.524065904"
"193","Tilurium, bei","43.6267644,16.699729100",6,"43.6267644","16.699729100"
"194","Aequum, bei","43.755065632,16.620229989",5,"43.755065632","16.620229989"
"195","Alveria, bei","43.95889,15.79361",5,"43.95889","15.79361"
"196","Andetrium, bei","43.689225397,16.484298706",5,"43.689225397","16.484298706"
"197","Apsorus","44.692972777,14.391915116",5,"44.692972777","14.391915116"
"198","Arba","44.75694,14.76083",5,"44.75694","14.76083"
"199","Baloie","44.290619404,17.106628419",5,"44.290619404","17.106628419"
"200","Burnum, bei","44.007286678,15.992025378",5,"44.007286678","15.992025378"
"201","Burnum, bei","44.015919529,16.009483337",5,"44.015919529","16.009483337"
"202","Capedunum?, bei","43.9238227,19.917762100",5,"43.9238227","19.917762100"
"203","Delminium, bei","43.6241646,17.009028700",5,"43.6241646","17.009028700"
"204","Delminium, bei","43.721034090,17.229348421",5,"43.721034090","17.229348421"
"205","Doclea","42.468722962,19.268985986",5,"42.468722962","19.268985986"
"206","Doclea, bei","42.442575,19.268646",5,"42.442575","19.268646"
"207","Epetium","43.498656358,16.523580552",5,"43.498656358","16.523580552"
"208","Flanona","45.137993061,14.179440021",5,"45.137993061","14.179440021"
"209","Hedum Castellum Daesitiatium, bei","44.017575789,18.266279698",5,"44.017575789","18.266279698"
"210","Iader","44.115821790,15.224417171",5,"44.115821790","15.224417171"
"211","Municipium Malvesiatium, bei?","43.829874391,20.310502052",5,"43.829874391","20.310502052"
"212","Narona","43.0795721,17.625765099",5,"43.0795721","17.625765099"
"213","Nedinum, bei","44.0737376,15.497817",5,"44.0737376","15.497817"
"214","Rider","43.703095079,16.039926409",5,"43.703095079","16.039926409"
"215","Ris---","43.79894,19.00363",5,"43.79894","19.00363"
"216","Salonae","43.538438252,16.474342346",5,"43.538438252","16.474342346"
"217","Salonae","43.538562136,16.482834219",5,"43.538562136","16.482834219"
"218","Salonae","43.538610467,16.482110023",5,"43.538610467","16.482110023"
"219","Salonae","43.539432759,16.483205897",5,"43.539432759","16.483205897"
"220","Salonae","43.539534865,16.483612060",5,"43.539534865","16.483612060"
