"","type_of_monument_clean","type_of_inscription_clean","n"
"1","altar","epitaph",53
"2","altar","votive inscription",175
"3","altar",NA,1
"4","base","epitaph",5
"5","base","votive inscription",1
"6","block","epitaph",1
"7","block",NA,1
"8","cippus","epitaph",3
"9","cliff","epitaph",9
"10","cliff","votive inscription",1
"11","grave monument","epitaph",2
"12","honorific/grave/votive column","epitaph",2
"13","honorific/grave/votive column","votive inscription",5
"14","relief","votive inscription",6
"15","sarcophagus","epitaph",11
"16","slab","epitaph",1
"17","statue base","epitaph",4
"18","statue base","votive inscription",13
"19","stele","epitaph",286
"20","stele","votive inscription",2
"21","stele",NA,1
"22","tabula","epitaph",150
"23","tabula","votive inscription",18
"24","tabula",NA,11
"25","urn","epitaph",47
"26",NA,"epitaph",676
"27",NA,"votive inscription",72
"28",NA,NA,165
