"","type_of_monument_clean","type_of_inscription_clean","n"
"1","NULL","NULL",273
"2","NULL","epitaph",1029
"3","NULL","votive inscription",134
"4","altar","NULL",4
"5","altar","epitaph",65
"6","altar","votive inscription",492
"7","base","epitaph",2
"8","base","votive inscription",2
"9","block","epitaph",2
"10","block","votive inscription",2
"11","cippus","epitaph",3
"12","cippus","votive inscription",1
"13","cliff","NULL",3
"14","cliff","epitaph",9
"15","cliff","votive inscription",2
"16","grave monument","epitaph",1
"17","honorific/grave/votive column","epitaph",2
"18","honorific/grave/votive column","votive inscription",6
"19","relief","NULL",1
"20","relief","epitaph",3
"21","relief","votive inscription",17
"22","sarcophagus","epitaph",51
"23","slab","epitaph",3
"24","statue","votive inscription",2
"25","statue base","NULL",1
"26","statue base","epitaph",5
"27","statue base","votive inscription",21
"28","stele","NULL",2
"29","stele","epitaph",480
"30","stele","votive inscription",3
"31","tabula","NULL",42
"32","tabula","epitaph",275
"33","tabula","votive inscription",36
"34","urn","epitaph",123
"35","urn","votive inscription",1
"36",NA,NA,153
