"","type_of_monument_clean","type_of_inscription_clean","n"
"1","NULL","NULL",470
"2","NULL","epitaph",2534
"3","NULL","votive inscription",177
"4","altar","NULL",4
"5","altar","epitaph",89
"6","altar","votive inscription",584
"7","base","epitaph",6
"8","base","votive inscription",3
"9","block","NULL",1
"10","block","epitaph",2
"11","block","votive inscription",2
"12","cippus","epitaph",4
"13","cippus","votive inscription",1
"14","cliff","NULL",4
"15","cliff","epitaph",11
"16","cliff","votive inscription",3
"17","grave monument","epitaph",3
"18","honorific/grave/votive column","epitaph",2
"19","honorific/grave/votive column","votive inscription",7
"20","relief","NULL",1
"21","relief","epitaph",3
"22","relief","votive inscription",24
"23","sarcophagus","epitaph",684
"24","slab","epitaph",10
"25","statue","votive inscription",4
"26","statue base","NULL",1
"27","statue base","epitaph",8
"28","statue base","votive inscription",27
"29","stele","NULL",3
"30","stele","epitaph",883
"31","stele","votive inscription",4
"32","tabula","NULL",60
"33","tabula","epitaph",497
"34","tabula","votive inscription",47
"35","urn","epitaph",184
"36","urn","votive inscription",1
"37",NA,NA,170
