"","X","LIST.ID","EDCS.ID","EDH.ID","not_before","not_after","inscription","transcription","clean_text_interpretive_word","type_of_inscription_clean","type_of_inscription_auto","type_of_monument_clean","province","province_label_clean","place","findspot_ancient_clean","findspot_modern_clean","status_notation","Latitude","Longitude","count"
"1",1175,469141,"EDCS-28300165","HD061408",-20,9,"Sal(vius) Frebranus T(iti) f(ilius) / Quir(ina) Baculus has(tatus) / pri(or) leg(ionis) XX","Sal(vius) Frebranus T(iti) f(ilius) / Quir(ina) Baculus has(tatus) / pri(or) leg(ionis) XX","Salvius Frebranus Titi filius Quirina Baculus hastatus prior legionis XX","epitaph","epitaph",NA,"Dalmatia","Dalmatia","Ivosevci / Burnum","Burnum","Kistanje","milites, tria nomina, viri",44.0317,15.9936,1
"2",1855,469846,"EDCS-08900515","HD005973",-30,14,"Mar[c(us)] Octa[v]/ius [Mar]c(i) f(ilius) V/[3]NV[","Marc(us) Octa[v]/ius [Mar]c(i) f(ilius) V/[---]nus","Marcus Octavius Marci filius V nus","epitaph","epitaph","stele","Dalmatia","Dalmatia","Nadin / Nedinum","Nedinum","Benkovac","viri",44.0721,15.5095,1
"3",6339,474800,"EDCS-26600652","HD050268",1,14,"Aug(usto) sacr(um) / C(aius) Iulius Macrini lib(ertus) / Martialis IIIIIIvir m(agister) M(ercurialis) ob / honor(em) idem ludos scaenic(os) / per trid(uum) d(edit) et canthar(um) ar<g=C>(enteum) p(ondo) |(unciarum septem)","Aug(usto) sacr(um) / C(aius) Iulius Macrini lib(ertus) / Martialis IIIIIIvir m(agister) M(ercurialis) ob / honor(em) idem ludos scaenic(os) / per trid(uum) d(edit) et canthar(um) arg(enteum) p(ondo) |S(unciarum septem)","Augusto sacrum Caius Iulius Macrini libertus Martialis IIIIII vir magister Mercurialis ob honorem idem ludos scaenicos per triduum dedit et cantharum argenteum pondo Sunciarum septem","votive inscription","votive inscription","tabula","Dalmatia","Dalmatia","Vid / Narona","Narona","Metković","liberti/libertae, nomen singulare, sacerdotes pagani, seviri Augustales, tria nomina, viri",43.0801,17.625,1
"4",1915,469906,"EDCS-28400228","HD060342",17,17,"Ti(berius) Caesar divi / Augusti f(ilius) Augustus / pont(ifex) max(imus) imp(erator) trib(unicia) / potest(ate) XVIII co(n)s(ul) desig(natus) tert(ius)","Ti(berius) Caesar divi / Augusti f(ilius) Augustus / pont(ifex) max(imus) imp(erator) trib(unicia) / potest(ate) XVIII co(n)s(ul) desig(natus) tert(ius)","Tiberius Caesar divi Augusti filius Augustus pontifex maximus imperator tribunicia potestate XVIII consul designatus tertius",NA,NA,NA,"Dalmatia","Dalmatia","Nin / Aenona","Aenona","Nin","Augusti/Augustae, viri",44.2435,15.1842,1
"5",2377,470383,"EDCS-10100662","HD033986",9,19,"I(ovi) O(ptimo) M(aximo) / s(acrum)","I(ovi) O(ptimo) M(aximo) / s(acrum)","Iovi Optimo Maximo sacrum","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Prijepolje / Municipium Splonistarum",NA,"Prijepolje",NA,43.3891969,19.6496772,1
"6",1153,469119,"EDCS-31400673","HD058399",26,27,"Imp(eratori) Caesari divi / Aug(usti) f(ilio) August(o) pont(ifici) / max(imo) tr(ibunicia) pot(estate) XXVIII / [","Imp(eratore) Caesare divi / Aug(usti) f(ilio) August(o) pont(ifici) / max(imo) tr(ibunicia) pot(estate) XXVIII / [------","Imperatore Caesare divi Augusti filio Augusto pontifici maximo tribunicia potestate XXVIII",NA,NA,"tabula","Dalmatia","Dalmatia","Imotski",NA,"Lokvičići","Augusti/Augustae, viri",43.4471115,17.2179703,1
"7",870,468825,"EDCS-67300052","HD056132",-30,30,"[3] C(ai) f(ilius) / [3] Arne(nsi) / [3 a]n(norum) L et [ // Satu[rnin 3] / Sen[3 A]/rne(nsi?) [3] / S[","[---] C(ai) f(ilius) / [---] Arne(nsis) / [--- a]n(norum) L et [------ // Satu[rnin-? ---] / Sen[eca? --- A?]/rne(nsis?) [---] / S[---] / [------","Cai filius Arnensis annorum L et Saturnin Seneca Arnensis S","epitaph","epitaph",NA,"Dalmatia","Dalmatia","Glamoc / Municipium Salvium","Municipium Salvium","Glamoč","viri",44.1301,16.8281,1
"8",6342,474803,"EDCS-24900088","HD056758",-30,30,"Q(uintus) Vibius L(uci) f(ilius) / Dianae v(otum) s(olvit) / eisdem aram / d(e) s(uo) f(aciendam) c(uravit)","Q(uintus) Vibius L(uci) f(ilius) / Dianae v(otum) s(olvit) / eisdem aram / d(e) s(uo) f(aciendum) c(uravit)","Quintus Vibius Luci filius Dianae votum solvit eisdem aram de suo faciendum curavit","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Vid / Narona","Narona","Metković","praenomen et nomen, viri",43.0801,17.625,1
"9",6548,475014,"EDCS-12000832","HD042300",1,30,"Annaea D(ecimi) f(ilia) Maxima / L(uci) Saeni Luculli / Iunon(i) ob honore(m)","Annaea D(ecimi) f(ilia) Maxima / L(uci) Saeni Luculli / Iunon(i) ob honore(m)","Annaea Decimi filia Maxima Luci Saeni Luculli Iunoni ob honorem","votive inscription","votive inscription","statue base","Dalmatia","Dalmatia","Vid / Narona","Narona","Metković","mulieres, tria nomina, viri",43.0801,17.625,1
"10",6547,475013,"EDCS-14800165","HD039847",14,30,"Divo Augusto / sacrum / P(ublius) Dolabella co(n)s(ul) / Caesaris August[i] / leg(atus) pro pr(aetore)","Divo Augusto / sacrum / P(ublius) Dolabella co(n)s(ul) / Caesaris August(i) / leg(atus) pro pr(aetore)","Divo Augusto sacrum Publius Dolabella consul Caesaris Augusti legatus pro praetore","votive inscription","votive inscription","statue base","Dalmatia","Dalmatia","Vid / Narona","Narona","Metković","Augusti/Augustae, ordo senatorius, tria nomina, viri",43.0801,17.625,1
