"","X","LIST.ID","EDCS.ID","EDH.ID","not_before","not_after","inscription","transcription","clean_text_interpretive_word","type_of_inscription_clean","type_of_inscription_auto","type_of_monument_clean","province","province_label_clean","place","findspot_ancient_clean","findspot_modern_clean","status_notation","Latitude","Longitude","count"
"1",1,446319,"EDCS-28600115","HD056763",101,300,"Dianae Celce/itidi / Flavius Si[lva]/nus pos(uit)","Dianae Celce/itidi / Flavius Si[lva]/nus pos(uit)","Dianae Celceitidi Flavius Silvanus posuit","votive inscription","votive inscription","statue","Achaia","Dalmatia","Nikolara / Nikopoli / Nicopolis",NA,NA,"tria nomina, viri",39.0090835,20.7343319,1
"2",4,467864,"EDCS-28600116","HD062164",151,300,"Maximianus <v=B>ot/um sol<v=B>it","Maximianus bot/um(!) solbit(!)","Maximianus botum solbit","votive inscription","votive inscription","relief","Dalmatia","Dalmatia","?","Burnum","Kistanje","nomen singulare, viri",44.0317,15.9936,1
"3",6,467866,"EDCS-28600118","HD062306",14,37,"Iano Patri / Aug(usto) sacrum / C(aius) Iulius C(ai) f(ilius) Ser(gia) / Aetor aed(ilis) / donatus ab(!) Ti(berio) Caes(are) / Aug(usti) f(ilio) Augusto torq(ue) / maiore bello D<a=E>lma/tico ob honorem / IIviratus cum liberis / suis posuit","Iano Patri / Aug(usto) sacrum / C(aius) Iulius C(ai) f(ilius) Ser(gia) / Aetor aed(ilis) / donatus ab Ti(berio) Caes(are) / Aug(usti) f(ilio) Augusto torq(ue) / maiore bello Delma/tico ob honorem / IIviratus cum liberis / suis posuit","Iano Patri Augusto sacrum Caius Iulius Cai filius Sergia Aetor aedilis donatus ab Tiberio Caesare Augusti filio Augusto tor que maiore bello Delmatico ob honorem II viratus cum liberis suis posuit","votive inscription","votive inscription",NA,"Dalmatia","Dalmatia","?","Aenona","Nin","Augusti/Augustae, ordo decurionum, tria nomina, viri",44.2435,15.1842,1
"4",7,467868,"EDCS-28600120","HD062304",151,300,"D(eo?) S(oli?) I(nvicto) O(mnipotenti?) M(ithrae) / Aeterno / sacrum / Atilius Tert/[i]us ex voto / lib{i}ens posuit","D(eo) S(oli) I(nvicto) o(mnipotenti) M(ithrae) / aeterno / sacrum / [A]tilius Tert/[iu]s ex voto / lib{i}ens / posuit","Deo Soli Invicto omnipotenti Mithrae aeterno sacrum Atilius Tertius ex voto libiens posuit","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","?","Narona","Metković","tria nomina, viri",43.0801,17.625,1
"5",8,467869,"EDCS-28600121","HD060162",1,150,"Trivi(i)s / C(aius) Aristius / Clemens / ex vot[o l(ibens) s(olvit)] m(erito)","Trivis / C(aius) Aristius / Clemens // ex vot[o l(ibens) s(olvit)] m(erito)","Trivis Caius Aristius Clemens ex voto libens solvit merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","?","Iader","Zadar","tria nomina, viri",43.9393,15.4483,1
"6",9,467876,"EDCS-28600128","HD062295",51,150,"Surus Sparuci f(ilius) / dom(o) Tribocus / eques alae Claud/iae Novae ann(orum) XXX / stip(endiorum) XIII h(ic) s(itus) e(st) t(estamento) f(ieri) i(ussit) / arbitratu Celati ses/quiplicari(i) heredis","Surus Sparuci f(ilius) / dom(o) Tribocus / eques alae Claud/iae novae ann(orum) XXX / stip(endiorum) XIII h(ic) s(itus) e(st) t(estamento) f(ieri) i(ussit) / arbitratu Celati ses/quiplicari(i) heredis","Surus Sparuci filius domo Tribocus eques alae Claudiae novae annorum XXX stipendiorum XIII hic situs est testamento fieri iussit arbitratu Celati sesquiplicarii heredis","epitaph","epitaph",NA,"Dalmatia","Dalmatia","?","Municipium Magnum","Drniš","milites, nomen singulare, viri",43.8047,16.2988,1
"7",11,467895,"EDCS-28600148","HD060173",101,200,"] / [ux]ori pientissimae / L(ucius) Lepidus Rufi/nianus maritus","[------] / [---]I(?)I(?) pientissimae / L(ucius) Epidius Rufi/nianus maritus","II pientissimae Lucius Epidius Rufinianus maritus","epitaph","epitaph","tabula","Dalmatia","Dalmatia","?","Iader","Zadar","mulieres, tria nomina, viri",43.9393,15.4483,1
"8",13,467901,"EDCS-28600156","HD060175",151,300,"D(is) M(anibus) / Iulio Claudia/no fil(io) an(norum) V[","D(is) M(anibus) / Iulio Claudia/no fil(io) an(norum) V[--] / [------] / [------","Dis Manibus Iulio Claudiano filio annorum V","epitaph","epitaph","stele","Dalmatia","Dalmatia","?","Iader","Zadar","tria nomina, viri",43.9393,15.4483,1
"9",14,467911,"EDCS-28600168","HD062148",1,150,"M(arcus) Poblicius / M(arci) f(ilius) Aquila an(norum) II","M(arcus) Poblicius / M(arci) f(ilius) Aquila an(norum) II","Marcus Poblicius Marci filius Aquila annorum II","epitaph","epitaph",NA,"Dalmatia","Dalmatia","?","Scardona","Skradin","tria nomina, viri",43.8227,15.9208,1
"10",15,467916,"EDCS-28600173","HD060187",1,150,"M(arco) Servenio / Punico posuit / M(arcus) Servenius / Doctus fil(ius)","M(arco) Servenio / Punico posuit / M(arcus) Servenius / Doctus fil(ius)","Marco Servenio Punico posuit Marcus Servenius Doctus filius","epitaph","epitaph","stele","Dalmatia","Dalmatia","?","Iader","Zadar","tria nomina, viri",43.9393,15.4483,1
