"","X","LIST.ID","EDCS.ID","EDH.ID","not_before","not_after","transcription","clean_text_interpretive_word","type_of_inscription_clean","type_of_inscription_auto","type_of_monument_clean","province","province_label_clean","place","findspot_ancient_clean","findspot_modern_clean","status_notation","Latitude","Longitude","count"
"1",1178,469141,"EDCS-28300165","HD061408",-20,9,"Sal(vius) Frebranus T(iti) f(ilius) / Quir(ina) Baculus has(tatus) / pri(or) leg(ionis) XX","Salvius Frebranus Titi filius Quirina Baculus hastatus prior legionis XX","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Ivosevci / Burnum","Burnum","Kistanje","milites, tria nomina, viri",44.0317,15.9936,1
"2",6728,475187,"EDCS-28400159","HD032704",18,19,"Ti(berius) Caesar divi Aug(usti) f(ilius) / Augustus imp(erator) pontif(ex) max(imus) / trib(unicia) potest(ate) XX co(n)s(ul) III / leg(io) VII leg(io) XI / P(ublio) Cornelio Dolabella / leg(ato) pr(o) pr(aetore)","Tiberius Caesar divi Augusti filius Augustus imperator pontifex maximus tribunicia potestate XX consul III legio VII legio XI Publio Cornelio Dolabella legato pro praetore","building/dedicatory inscription","building/dedicatory inscription","tabula","Dalmatia","Dalmatia","Zadar / Iader","Iader","Zadar","Augusti/Augustae, milites, ordo senatorius, tria nomina, viri",44.115501,15.223778,1
"3",394,468335,"EDCS-10000652","HD016150",14,20,"------?] / [P(ublio)] Dolabella / leg(ato) pro pr(aetore) / coh(ors) VI vol(untariorum) / trib(uno) L(ucio) Purtisio Atinate / [---]ilio C(aio) Saenio IIvir(is) / [------?","Publio Dolabella legato pro praetore cohors VI voluntariorum tribuno Lucio Purtisio Atinate ilio Caio Saenio II viris","building/dedicatory inscription","building/dedicatory inscription","block","Dalmatia","Dalmatia","Cavtat / Epidaurum","Epidaurum","Konavle","milites, ordo decurionum, ordo equester, ordo senatorius, tria nomina, viri",42.5848,18.2137,1
"4",2318,470316,"EDCS-30101162","HD045056",14,20,"Ex [dec(reto) P(ubli) Corn(eli)] / Dol(abellae) leg(ati) pr(o) [pr(aetore)] / det(erminavit) C(aius) Titius / Geminus |(centurio) [---?] / leg(ionis) VII inte[r] / Asser(iates) et C[or(nienses)]","Ex decreto Publi Corneli Dolabellae legati pro praetore determinavit Caius Titius Geminus centurio legionis VII inter Asseriates et Cornienses","boundary inscription","boundary inscription","cippus","Dalmatia","Dalmatia","Podgrade / Asseria","Asseria - Corinium","Obrovac","milites, ordo senatorius, tria nomina, viri",44.0103,15.6844,1
"5",1105,469063,"EDCS-30101161","HD045055",21,30,"Q(uintus) Valerius / Q(uinti) f(ilius) Qui(rina) dom(o) / Icon(io) vet(eranus) leg(ionis) / VII an(norum) LV stip(endiorum) / XXVIII h(ic) s(itus) e(st) / Q(uintus) Portorius et Q(uintus) Va/lerius Anteros posuer(unt)","Quintus Valerius Quinti filius Quirina domo Iconio veteranus legionis VII annorum LV stipendiorum XXVIII hic situs est Quintus Portorius et Quintus Valerius Anteros posuerunt","epitaph","epitaph","stele","Dalmatia","Dalmatia","Hardomilje / Bigeste","Bigeste","Ljubuški","milites, praenomen et nomen, tria nomina, viri",43.1818,17.5271,1
"6",78,468002,"EDCS-20601175","HD004491",14,37,"------](?) / L(ucius) Luc[---](?) / C(ai) f(ilius) Prim[us] / vete(ranus) leg(ionis) / XV Apolli/naris / h(ic) s(itus) e(st) // t(estamento) f(ieri) i(ussit)","Lucius Luc Cai filius Primus veteranus legionis XV Apollinaris hic situs est testamento fieri iussit","epitaph","epitaph","stele","Dalmatia","Dalmatia","Bigeste","Bigeste","Ljubuški","milites, tria nomina, viri",43.1818,17.5271,1
"7",1747,469725,"EDCS-10000216","HD021619",14,37,"[Divo] Augusto et / [T]i(berio) Caes[a]ri Aug(usti) f(ilio) Aug(usto) / sa[cr]um / veterani pagi Scunastic(i) / quibus colonia Naronit(ana) / agros dedit // Divo Augusto et / Ti(berio) Caesari Aug(usti) f(ilio) Aug(usto) / sacrum / veterani pagi Scunast(ici) / quibus colon(ia) Naroni(tana) / agros dedit","Divo Augusto et Tiberio Caesari Augusti filio Augusto sacrum veterani pagi Scunastici quibus colonia Naronitana agros dedit Divo Augusto et Tiberio Caesari Augusti filio Augusto sacrum veterani pagi Scunastici quibus colonia Naronitana agros dedit","votive inscription","votive inscription","tabula","Dalmatia","Dalmatia","Ljubuski / Mlade / Bigeste","Bigeste","Ljubuški","Augusti/Augustae, milites, viri",43.1818,17.5271,1
"8",1750,469728,"EDCS-08901077","HD004479",14,37,"L(ucius) Gavius L(uci) f(ilius) Pub(lilia) Ve/rona vet(eranus) leg(ionis) XV se / vivo fecit / et M(arco) Gavio fratri / et liberto Hilaro","Lucius Gavius Luci filius Publilia Verona veteranus legionis XV se vivo fecit et Marco Gavio fratri et liberto Hilaro","epitaph","epitaph","tabula","Dalmatia","Dalmatia","Ljubuski / Mlade / Bigeste","Bigeste","Ljubuški","liberti/libertae, milites, nomen singulare, praenomen et nomen, viri",43.1818,17.5271,1
"9",799,468751,"EDCS-28300036","HD058819",1,41,"Cn(aeus) Domiti/us Cn(aei) f(ilius) Vel(ina) / Pessinunte / an(norum) XLIV stip(endiorum) / XXV veteran(us) / [ex leg(ione) VII h(ic) s(itus) e(st)] / [testam]en[to] / [fieri] iussit","Cnaeus Domitius Cnaei filius Velina Pessinunte annorum XLIV stipendiorum XXV veteranus ex legione VII hic situs est testamento fieri iussit","epitaph","epitaph","stele","Dalmatia","Dalmatia","Gardun / Tilurium","Tilurium","Trilj","milites, tria nomina, viri",43.6139,16.689,1
"10",1734,469712,"EDCS-30600566","HD058381",1,41,"L(ucius) Herenni/us L(uci) f(ilius) Pap(iria) / Muliade(!) / vet(eranus) leg(ionis) VII / an(norum) LX sti(pendiorum) / XXX h(ic) s(itus) e(st)","Lucius Herennius Luci filius Papiria Muliade veteranus legionis VII annorum LX stipendiorum XXX hic situs est","epitaph","epitaph","cliff","Dalmatia","Dalmatia","Ljubuski / Mlade / Bigeste","Bigeste","Ljubuški, bei","milites, praenomen et nomen, viri",43.1818,17.5271,1
