"","type_of_monument_clean","type_of_inscription_clean","n"
"1","NULL","NULL",9
"2","NULL","boundary inscription",2
"3","NULL","building/dedicatory inscription",2
"4","NULL","epitaph",95
"5","NULL","honorific inscription",5
"6","NULL","votive inscription",5
"7","altar","epitaph",4
"8","altar","votive inscription",27
"9","architectural member","building/dedicatory inscription",1
"10","architectural member","honorific inscription",1
"11","architectural member","owner/artist inscription",1
"12","base","epitaph",1
"13","block","building/dedicatory inscription",1
"14","cippus","boundary inscription",6
"15","cliff","boundary inscription",2
"16","cliff","epitaph",6
"17","honorific/grave/votive column","epitaph",1
"18","honorific/grave/votive column","votive inscription",1
"19","instrumentum militare","owner/artist inscription",1
"20","statue base","honorific inscription",5
"21","statue base","votive inscription",3
"22","stele","NULL",1
"23","stele","epitaph",91
"24","table","identification inscription",1
"25","tabula","boundary inscription",3
"26","tabula","building/dedicatory inscription",6
"27","tabula","epitaph",20
"28","tabula","honorific inscription",1
"29","tabula","military diploma",1
"30","tabula","votive inscription",3
"31","tile","owner/artist inscription",8
"32","urn","epitaph",2
"33",NA,NA,13
