"","type_of_monument_clean","type_of_inscription_clean","n"
"1","altar","epitaph",4
"2","altar","votive inscription",27
"3","base","epitaph",1
"4","cliff","epitaph",6
"5","honorific/grave/votive column","epitaph",1
"6","honorific/grave/votive column","votive inscription",1
"7","statue base","votive inscription",3
"8","stele","epitaph",91
"9","stele",NA,1
"10","tabula","epitaph",20
"11","tabula","votive inscription",3
"12","urn","epitaph",2
"13",NA,"epitaph",95
"14",NA,"votive inscription",5
"15",NA,NA,22
