"","type_of_monument_clean","type_of_inscription_clean","n"
"1","NULL","NULL",47
"2","NULL","epitaph",273
"3","NULL","votive inscription",31
"4","altar","epitaph",16
"5","altar","votive inscription",124
"6","base","epitaph",3
"7","cliff","epitaph",6
"8","grave monument","epitaph",1
"9","honorific/grave/votive column","epitaph",1
"10","honorific/grave/votive column","votive inscription",2
"11","relief","votive inscription",5
"12","sarcophagus","epitaph",34
"13","statue base","epitaph",2
"14","statue base","votive inscription",5
"15","stele","NULL",1
"16","stele","epitaph",200
"17","tabula","NULL",8
"18","tabula","epitaph",70
"19","tabula","votive inscription",12
"20","urn","epitaph",11
"21",NA,NA,19
