"","X","LIST.ID","EDCS.ID","EDH.ID","not_before","not_after","transcription","clean_text_interpretive_word","type_of_inscription_clean","type_of_inscription_auto","type_of_monument_clean","province","province_label_clean","place","findspot_ancient_clean","findspot_modern_clean","status_notation","Latitude","Longitude","count"
"1",7034,107646,"EDCS-71400190",NA,3,3,NA,"Marco Servilio Cai filio consuli VII viro epulonum legato pro praetore Caesaris Augusti",NA,"honorific inscription",NA,"Dalmatia",NA,"Posusje",NA,NA,"ordo senatorius, praenomen et nomen, sacerdotes pagani, viri",43.4711599,17.3271561,1
"2",1178,469141,"EDCS-28300165","HD061408",-20,9,"Sal(vius) Frebranus T(iti) f(ilius) / Quir(ina) Baculus has(tatus) / pri(or) leg(ionis) XX","Salvius Frebranus Titi filius Quirina Baculus hastatus prior legionis XX","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Ivosevci / Burnum","Burnum","Kistanje","milites, tria nomina, viri",44.0317,15.9936,1
"3",1658,469635,"EDCS-15900354","HD023211",-30,14,"Pa(n)siana","Pansiana","owner/artist inscription","owner/artist inscription","tile","Dalmatia","Dalmatia","Lastovo / Lagosta / Ladesta","NULL","Lastovo",NA,42.7675928,16.8945925,1
"4",1659,469636,"EDCS-15900355","HD023214",-30,14,"Pansiana","Pansiana","owner/artist inscription","owner/artist inscription","tile","Dalmatia","Dalmatia","Lastovo / Lagosta / Ladesta","NULL","Lastovo",NA,42.7675928,16.8945925,1
"5",1860,469846,"EDCS-08900515","HD005973",-30,14,"Marc(us) Octa[v]/ius [Mar]c(i) f(ilius) V/[---]nus","Marcus Octavius Marci filius V nus","epitaph","epitaph","stele","Dalmatia","Dalmatia","Nadin / Nedinum","Nedinum","Benkovac","viri",44.0721,15.5095,1
"6",6821,475281,"EDCS-31400336","HD060134",-27,14,"Imp(erator) Caesar Divi f(ilius) / Augustus parens / coloniae murum turris / dedit","Imperator Caesar Divi filius Augustus parens coloniae murum turris dedit","building/dedicatory inscription","building/dedicatory inscription","NULL","Dalmatia","Dalmatia","Zadar / Iader","Iader","Zadar",NA,44.115501,15.223778,1
"7",7104,108927,"EDCS-78400014",NA,-27,14,NA,"Aninia Marci filia Saturnina",NA,"epitaph",NA,"Dalmatia",NA,"Vid / Narona",NA,NA,"mulieres, tria nomina",43.0804139,17.6258524,1
"8",7128,108952,"EDCS-78400039",NA,-27,14,NA,"CVR MA",NA,"identification inscription",NA,"Dalmatia",NA,"Vid / Narona",NA,NA,NA,43.0804139,17.6258524,1
"9",7131,108959,"EDCS-78400046",NA,-27,14,NA,"AIC ETE",NA,"identification inscription",NA,"Dalmatia",NA,"Vid / Narona",NA,NA,NA,43.0804139,17.6258524,1
"10",6348,474800,"EDCS-26600652","HD050268",1,14,"Aug(usto) sacr(um) / C(aius) Iulius Macrini lib(ertus) / Martialis IIIIIIvir m(agister) M(ercurialis) ob / honor(em) idem ludos scaenic(os) / per trid(uum) d(edit) et canthar(um) arg(enteum) p(ondo) |S(unciarum septem)","Augusto sacrum Caius Iulius Macrini libertus Martialis IIIIII vir magister Mercurialis ob honorem idem ludos scaenicos per triduum dedit et cantharum argenteum pondo Sunciarum septem","votive inscription","votive inscription","tabula","Dalmatia","Dalmatia","Vid / Narona","Narona","Metković","liberti/libertae, nomen singulare, sacerdotes pagani, seviri Augustales, tria nomina, viri",43.0801,17.625,1
