"","X","LIST.ID","EDCS.ID","EDH.ID","not_before","not_after","transcription","clean_text_interpretive_word","type_of_inscription_clean","type_of_inscription_auto","type_of_monument_clean","province","province_label_clean","place","findspot_ancient_clean","findspot_modern_clean","status_notation","Latitude","Longitude","count"
"1",6348,474800,"EDCS-26600652","HD050268",1,14,"Aug(usto) sacr(um) / C(aius) Iulius Macrini lib(ertus) / Martialis IIIIIIvir m(agister) M(ercurialis) ob / honor(em) idem ludos scaenic(os) / per trid(uum) d(edit) et canthar(um) arg(enteum) p(ondo) |S(unciarum septem)","Augusto sacrum Caius Iulius Macrini libertus Martialis IIIIII vir magister Mercurialis ob honorem idem ludos scaenicos per triduum dedit et cantharum argenteum pondo Sunciarum septem","votive inscription","votive inscription","tabula","Dalmatia","Dalmatia","Vid / Narona","Narona","Metković","liberti/libertae, nomen singulare, sacerdotes pagani, seviri Augustales, tria nomina, viri",43.0801,17.625,1
"2",1467,469440,"EDCS-32300042","HD058128",10,17,"------ P(ubli--)] Corn[eli-- P(ubli)? f(ili--)?] / [Dola]be[ll--? ------","Publi Corneli Publi fili Dolabell","honorific inscription","honorific inscription","tabula","Dalmatia","Dalmatia","Knin / Burnum","Burnum","Kistanje",NA,44.0317,15.9936,1
"3",3558,471597,"EDCS-54900234","HD018010",16,17,"[Ti(berius) C]aesar divi Augusti f(ilius) / [Aug]ustus Imp(erator) pont(ifex) max(imus) / [trib(unicia)] potest(ate) XIIX co(n)s(ul) II / [viam] a colonia Salonitan(a) / [ad f]in[e]s provinciae Illyrici // [------ ------] / cuius viai(!) millia passus(!) sunt / CLXVII munit per vexillarios / leg(ionum) VII et XI / item viam Gabinianam / ab Salonis Andetrium aperuit / et munit per leg(ionem) VII","Tiberius Caesar divi Augusti filius Augustus Imperator pontifex maximus tribunicia potestate XIIX consul II viam a colonia Salonitana ad fines provinciae Illyrici cuius viai millia passus sunt CLXVII munit per vexillarios legionum VII et XI item viam Gabinianam ab Salonis Andetrium aperuit et munit per legionem VII","building/dedicatory inscription","building/dedicatory inscription","tabula","Dalmatia","Dalmatia","Solin / Salona","Salonae","Split","Augusti/Augustae, milites, viri",43.5384,16.4743,1
"4",6728,475187,"EDCS-28400159","HD032704",18,19,"Ti(berius) Caesar divi Aug(usti) f(ilius) / Augustus imp(erator) pontif(ex) max(imus) / trib(unicia) potest(ate) XX co(n)s(ul) III / leg(io) VII leg(io) XI / P(ublio) Cornelio Dolabella / leg(ato) pr(o) pr(aetore)","Tiberius Caesar divi Augusti filius Augustus imperator pontifex maximus tribunicia potestate XX consul III legio VII legio XI Publio Cornelio Dolabella legato pro praetore","building/dedicatory inscription","building/dedicatory inscription","tabula","Dalmatia","Dalmatia","Zadar / Iader","Iader","Zadar","Augusti/Augustae, milites, ordo senatorius, tria nomina, viri",44.115501,15.223778,1
"5",6349,474801,"EDCS-26600654","HD050266",14,20,"Divo Aug(usto) sacr(um) / Q(uintus) Sextilius Corinthus C(aius) Stertinius Synegdemus / L(ucius) Vibius Amaranthus L(ucius) Aquillius Aptus / L(ucius) Titusidius Chryseros C(aius) Valerius Herma / IIIIIIvir(i) m(agistri) M(ercuriales) ob h(onorem)","Divo Augusto sacrum Quintus Sextilius Corinthus Caius Stertinius Synegdemus Lucius Vibius Amaranthus Lucius Aquillius Aptus Lucius Titusidius Chryseros Caius Valerius Herma IIIIII viri magistri Mercuriales ob honorem","honorific inscription","honorific inscription","tabula","Dalmatia","Dalmatia","Vid / Narona","Narona","Metković","sacerdotes pagani, seviri Augustales, tria nomina, viri",43.0801,17.625,1
"6",3559,471598,"EDCS-54900235","HD018013",19,20,"[Ti(berius) C]aesar divi Augusti f(ilius) / [A]ugustus imp(erator) pontif(ex) max(imus) / trib(unicia) potest(ate) XXI co(n)s(ul) III / viam a Salonis ad Hedum castel(lum) / Daesitiatium per mill[i]a(!) passuum / CLVI munit / et idem viam ad Batinum flumen / quod dividit Breuc[o]s Oseriatibus / a Salonis munit per mi[lli]a(!) passuum / CLVIII / [et idem viam ---] / munit ad imum montem Ditionum / Ulcirum per millia(!) passuum / a Salonis LXXVIID / P(ublio) Dolabella leg(ato) pro / pr(aetore)","Tiberius Caesar divi Augusti filius Augustus imperator pontifex maximus tribunicia potestate XXI consul III viam a Salonis ad Hedum castellum Daesitiatium per millia passuum CLVI munit et idem viam ad Batinum flumen quod dividit Breucos Oseriatibus a Salonis munit per millia passuum CLVIII et idem viam munit ad imum montem Ditionum Ulcirum per millia passuum a Salonis LXXVIID Publio Dolabella legato pro praetore","building/dedicatory inscription","building/dedicatory inscription","tabula","Dalmatia","Dalmatia","Solin / Salona","Salonae","Split","Augusti/Augustae, ordo senatorius, tria nomina, viri",43.5384,16.4743,1
"7",6585,475043,"EDCS-10000335","HD016153",20,20,"Drusus Caesar T[i(beri) Aug(usti) f(ilius) divi] / Augusti nepos co(n)s(ul) de[sign(atus) iterum] / pontifex augur camp[um dedit] / Publio Dolabella leg(ato) pro [praetore]","Drusus Caesar Tiberi Augusti filius divi Augusti nepos consul designatus iterum pontifex augur campum dedit Publio Dolabella legato pro praetore","assignation inscription","assignation inscription","tabula","Dalmatia","Dalmatia","Vis / Issa","Issa, insula","Vis","Augusti/Augustae, ordo senatorius, sacerdotes pagani, tria nomina, viri",43.0655,16.1865,1
"8",228,468157,"EDCS-08900523","HD004093",23,24,"Ti(berio) Caesari divi Aug(usti) f(ilio) / divi Iuli n(epoti) Augusto / [p]ontifici maximo co(n)s(uli) III[I] / imp(eratori) VIII tr(ibunicia) pot(estate) XXV L(ucio) Volu[s]/io Saturnino leg(ato) pro [pr(aetore)]","Tiberio Caesari divi Augusti filio divi Iuli nepoti Augusto pontifici maximo consuli IIII imperatori VIII tribunicia potestate XXV Lucio Volusio Saturnino legato pro praetore","honorific inscription","honorific inscription","tabula","Dalmatia","Dalmatia","Bribir / Bribirska Glavica / Varvaria","Varvaria","Skradin","Augusti/Augustae, ordo senatorius, tria nomina, viri",43.8892,15.9051,1
"9",1156,469119,"EDCS-31400673","HD058399",26,27,"Imp(eratore) Caesare divi / Aug(usti) f(ilio) August(o) pont(ifici) / max(imo) tr(ibunicia) pot(estate) XXVIII / [------","Imperatore Caesare divi Augusti filio Augusto pontifici maximo tribunicia potestate XXVIII","NULL",NA,"tabula","Dalmatia","Dalmatia","Imotski","NULL","Lokvičići","Augusti/Augustae, viri",43.4471115,17.2179703,1
"10",2018,470010,"EDCS-10100940","HD025111",33,33,"[Imperatori Ti(berio) Cae]sari div[i] / [Aug(usti)] f(ilio) Divi Iuli [nep(oti)] / [Augu]sto ponti[fici] / [max(imo)] co(n)s(uli) V imp(eratori) VI[II] / [trib(unicia)] pot(estate) XXXV au[guri] / [XVvir]o sacris fa[ciundis] / [VIIviro] epu[lonum] / [------","Imperatori Tiberio Caesari divi Augusti filio Divi Iuli nepoti Augusto pontifici maximo consuli V imperatori VIII tribunicia potestate XXXV auguri XV viro sacris faciundis VII viro epulonum","building/dedicatory inscription","building/dedicatory inscription","tabula","Dalmatia","Dalmatia","Omis / Almissa / Oneum / Onaeum","Oneum","Omiš","Augusti/Augustae, sacerdotes pagani, viri",43.4422,16.7019,1
