"","X","LIST.ID","EDCS.ID","EDH.ID","not_before","not_after","transcription","clean_text_interpretive_word","type_of_inscription_clean","type_of_inscription_auto","type_of_monument_clean","province","province_label_clean","place","findspot_ancient_clean","findspot_modern_clean","status_notation","Latitude","Longitude","count"
"1",6348,474800,"EDCS-26600652","HD050268",1,14,"Aug(usto) sacr(um) / C(aius) Iulius Macrini lib(ertus) / Martialis IIIIIIvir m(agister) M(ercurialis) ob / honor(em) idem ludos scaenic(os) / per trid(uum) d(edit) et canthar(um) arg(enteum) p(ondo) |S(unciarum septem)","Augusto sacrum Caius Iulius Macrini libertus Martialis IIIIII vir magister Mercurialis ob honorem idem ludos scaenicos per triduum dedit et cantharum argenteum pondo Sunciarum septem","votive inscription","votive inscription","tabula","Dalmatia","Dalmatia","Vid / Narona","Narona","Metković","liberti/libertae, nomen singulare, sacerdotes pagani, seviri Augustales, tria nomina, viri",43.0801,17.625,1
"2",2382,470383,"EDCS-10100662","HD033986",9,19,"I(ovi) O(ptimo) M(aximo) / s(acrum)","Iovi Optimo Maximo sacrum","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Prijepolje / Municipium Splonistarum","NULL","Prijepolje",NA,43.3891969,19.6496772,1
"3",6351,474803,"EDCS-24900088","HD056758",-30,30,"Q(uintus) Vibius L(uci) f(ilius) / Dianae v(otum) s(olvit) / eisdem aram / d(e) s(uo) f(aciendum) c(uravit)","Quintus Vibius Luci filius Dianae votum solvit eisdem aram de suo faciendum curavit","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Vid / Narona","Narona","Metković","praenomen et nomen, viri",43.0801,17.625,1
"4",6557,475014,"EDCS-12000832","HD042300",1,30,"Annaea D(ecimi) f(ilia) Maxima / L(uci) Saeni Luculli / Iunon(i) ob honore(m)","Annaea Decimi filia Maxima Luci Saeni Luculli Iunoni ob honorem","votive inscription","votive inscription","statue base","Dalmatia","Dalmatia","Vid / Narona","Narona","Metković","mulieres, tria nomina, viri",43.0801,17.625,1
"5",6556,475013,"EDCS-14800165","HD039847",14,30,"Divo Augusto / sacrum / P(ublius) Dolabella co(n)s(ul) / Caesaris August(i) / leg(atus) pro pr(aetore)","Divo Augusto sacrum Publius Dolabella consul Caesaris Augusti legatus pro praetore","votive inscription","votive inscription","statue base","Dalmatia","Dalmatia","Vid / Narona","Narona","Metković","Augusti/Augustae, ordo senatorius, tria nomina, viri",43.0801,17.625,1
"6",6,467866,"EDCS-28600118","HD062306",14,37,"Iano Patri / Aug(usto) sacrum / C(aius) Iulius C(ai) f(ilius) Ser(gia) / Aetor aed(ilis) / donatus ab Ti(berio) Caes(are) / Aug(usti) f(ilio) Augusto torq(ue) / maiore bello Delma/tico ob honorem / IIviratus cum liberis / suis posuit","Iano Patri Augusto sacrum Caius Iulius Cai filius Sergia Aetor aedilis donatus ab Tiberio Caesare Augusti filio Augusto tor que maiore bello Delmatico ob honorem II viratus cum liberis suis posuit","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","?","Aenona","Nin","Augusti/Augustae, ordo decurionum, tria nomina, viri",44.2435,15.1842,1
"7",1747,469725,"EDCS-10000216","HD021619",14,37,"[Divo] Augusto et / [T]i(berio) Caes[a]ri Aug(usti) f(ilio) Aug(usto) / sa[cr]um / veterani pagi Scunastic(i) / quibus colonia Naronit(ana) / agros dedit // Divo Augusto et / Ti(berio) Caesari Aug(usti) f(ilio) Aug(usto) / sacrum / veterani pagi Scunast(ici) / quibus colon(ia) Naroni(tana) / agros dedit","Divo Augusto et Tiberio Caesari Augusti filio Augusto sacrum veterani pagi Scunastici quibus colonia Naronitana agros dedit Divo Augusto et Tiberio Caesari Augusti filio Augusto sacrum veterani pagi Scunastici quibus colonia Naronitana agros dedit","votive inscription","votive inscription","tabula","Dalmatia","Dalmatia","Ljubuski / Mlade / Bigeste","Bigeste","Ljubuški","Augusti/Augustae, milites, viri",43.1818,17.5271,1
"8",2073,470067,"EDCS-28400367","HD062325",14,37,"Divo Aug(usto) / sacr(um) / L(ucius) Quinc[t]ius C(ai) f(ilius) / Ga[l]lus testamento / poni iussit","Divo Augusto sacrum Lucius Quinctius Cai filius Gallus testamento poni iussit","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Pag","Cissa, insula","Pag","Augusti/Augustae, tria nomina, viri",44.3262,15.207,1
"9",359,468300,"EDCS-15100101","HD052803",1,50,"[------] / [------] / [---] conservatrici(?) / [---] potenti / [------] / Calpurnia L(uci) Pisonis auguris / filia Cn(aei) Pisonis neptis do(num) d(edit)","conservatrici potenti Calpurnia Luci Pisonis auguris filia Cnaei Pisonis neptis donum dedit","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Caska / Cissa","Cissa","Novalja","mulieres, nomen singulare, ordo senatorius, sacerdotes pagani, viri",44.546,14.914,1
"10",360,468301,"EDCS-67500106","HD029124",1,50,"[------] / [------] / [---] conservatrici(?) / [---] potenti / [------] / Calpurnia L(uci) Pisonis auguris / filia Cn(aei) Pisonis neptis do(num) d(edit)","conservatrici potenti Calpurnia Luci Pisonis auguris filia Cnaei Pisonis neptis donum dedit","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Caska / Cissa","Cissa","Novalja","mulieres, praenomen et nomen, sacerdotes pagani, viri",44.546,14.914,1
"11",1185,469149,"EDCS-30301398","HD004225",1,50,"Coran/us Iovi/le v(otum) s(olvit)","Coranus Iovile votum solvit","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Ivosevci / Burnum","Burnum","Kistanje","nomen singulare, viri",44.0317,15.9936,1
"12",1356,469323,"EDCS-10101883","HD035649",1,50,"Iovi / Kalpurn/ia Peculi/aris / v(otum) s(olvit) l(ibens) m(erito)","Iovi Kalpurnia Peculiaris votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Karin Gornji / Corinium","Corinium","Benkovac","mulieres, tria nomina",44.1075,15.6256,1
"13",1907,469893,"EDCS-10000881","HD034505",1,50,"L(ucius) Sen(tius) / P(atri) Iano / [v(otum) s(olvit)](?) l(ibens) m(erito)","Lucius Sentius Patri Iano votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Nadin / Nedinum","Nedinum","Benkovac","praenomen et nomen, viri",44.0721,15.5095,1
"14",1982,469969,"EDCS-10000337","HD016279",1,50,"B(onae) D(eae) dom(inae) Heiae A[ug(ustae)] / triumphali terrae / marisq(ue) dominatric[i] / conservatrici / mentiumque bo[n]arum / ac remediorum potenti / deae bene iudicanti / [C]alpurnia L(uci) Pisonis aug(uris) f(ilia) / Cn(aei) Pisonis neptis / d(onum) d(edit)","Bonae Deae dominae Heiae Augustae triumphali terrae maris que dominatrici conservatrici mentium que bonarum ac remediorum potenti deae bene iudicanti Calpurnia Luci Pisonis auguris filia Cnaei Pisonis neptis donum dedit","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Novalja","Cissa","Novalja","mulieres, nomen singulare, praenomen et nomen, viri",44.546,14.914,1
"15",6558,475015,"EDCS-12000833","HD042301",1,50,"Catena Ter/tulla / Veneri / munus","Catena Tertulla Veneri munus","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Vid / Narona","Narona","Metković","mulieres, tria nomina",43.0801,17.625,1
