"","X","LIST.ID","EDCS.ID","EDH.ID","not_before","not_after","transcription","clean_text_interpretive_word","type_of_inscription_clean","type_of_inscription_auto","type_of_monument_clean","province","province_label_clean","place","findspot_ancient_clean","findspot_modern_clean","status_notation","Latitude","Longitude","count"
"1",6735,475194,"EDCS-28400166","HD060146",-31,9,"L(ucius) Fadienus L(uci) f(ilius) Pomp(tina) / Fuscus dom(o) Dert(ona) / vet(eranus) speculator v(ivus) f(ecit) sibi / et Camuriae Pollae uxori / L(ucio) Fadieno patri Vibiae Primae matri / Fadienae Pollae sorori Fadieno / Tertio fratri signifero leg(ionis) X&lt;I=V&gt;III g(eminae) / suisque omnibus ossibus infer(re) / in fr(onte) p(edes) XV in agr(o) p(edes) XXXI ","Lucius Fadienus Luci filius Pomptina Fuscus domo Dertona veteranus speculator vivus fecit sibi et Camuriae Pollae uxori Lucio Fadieno patri Vibiae Primae matri Fadienae Pollae sorori Fadieno Tertio fratri signifero legionis X lt I gt III geminae suis que omnibus ossibus inferre in fronte pedes XV in agro pedes XXXI","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Zadar / Iader","Iader","Zadar","milites, mulieres, tria nomina, viri",44.115501,15.223778,1
"2",1178,469141,"EDCS-28300165","HD061408",-20,9,"Sal(vius) Frebranus T(iti) f(ilius) / Quir(ina) Baculus has(tatus) / pri(or) leg(ionis) XX","Salvius Frebranus Titi filius Quirina Baculus hastatus prior legionis XX","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Ivosevci / Burnum","Burnum","Kistanje","milites, tria nomina, viri",44.0317,15.9936,1
"3",1396,469365,"EDCS-28800885","HD050401",1,30,"[Ti(berius)?] Iul(ius) Max[i]m[us] / C(ai) Iul(i) Thiridatis f(ilius) / dec(urio) ala(e) P{h}artho(rum) / an(norum) XXVI dom(o) / Roma h(ic) s(itus) e(st) / Sex(tus) Coelius / [---]NAVIB(?)","Tiberius Iulius Maximus Cai Iuli Thiridatis filius decurio alae Pharthorum annorum XXVI domo Roma hic situs est Sextus Coelius NAVIB","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Klis / Clissa","Salonae","Klis","milites, nomen singulare, praenomen et nomen, viri",43.5384,16.4743,1
"4",1105,469063,"EDCS-30101161","HD045055",21,30,"Q(uintus) Valerius / Q(uinti) f(ilius) Qui(rina) dom(o) / Icon(io) vet(eranus) leg(ionis) / VII an(norum) LV stip(endiorum) / XXVIII h(ic) s(itus) e(st) / Q(uintus) Portorius et Q(uintus) Va/lerius Anteros posuer(unt)","Quintus Valerius Quinti filius Quirina domo Iconio veteranus legionis VII annorum LV stipendiorum XXVIII hic situs est Quintus Portorius et Quintus Valerius Anteros posuerunt","epitaph","epitaph","stele","Dalmatia","Dalmatia","Hardomilje / Bigeste","Bigeste","Ljubuški","milites, praenomen et nomen, tria nomina, viri",43.1818,17.5271,1
"5",78,468002,"EDCS-20601175","HD004491",14,37,"------](?) / L(ucius) Luc[---](?) / C(ai) f(ilius) Prim[us] / vete(ranus) leg(ionis) / XV Apolli/naris / h(ic) s(itus) e(st) // t(estamento) f(ieri) i(ussit)","Lucius Luc Cai filius Primus veteranus legionis XV Apollinaris hic situs est testamento fieri iussit","epitaph","epitaph","stele","Dalmatia","Dalmatia","Bigeste","Bigeste","Ljubuški","milites, tria nomina, viri",43.1818,17.5271,1
"6",807,468759,"EDCS-28300043","HD058891",14,37,"M(arcus) Vireius T(iti) [f(ilius)] Celer Leo domo / Augusta Ba[g]ie[n(norum)] donatus a / Tib(erio) C(a)esare tor(quibus) armillis fale[ris](!)","Marcus Vireius Titi filius Celer Leo domo Augusta Bagiennorum donatus a Tiberio Caesare torquibus armillis faleris","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Gardun / Tilurium","Tilurium","Trilj","Augusti/Augustae, tria nomina, viri",43.6139,16.689,1
"7",1747,469725,"EDCS-10000216","HD021619",14,37,"[Divo] Augusto et / [T]i(berio) Caes[a]ri Aug(usti) f(ilio) Aug(usto) / sa[cr]um / veterani pagi Scunastic(i) / quibus colonia Naronit(ana) / agros dedit // Divo Augusto et / Ti(berio) Caesari Aug(usti) f(ilio) Aug(usto) / sacrum / veterani pagi Scunast(ici) / quibus colon(ia) Naroni(tana) / agros dedit","Divo Augusto et Tiberio Caesari Augusti filio Augusto sacrum veterani pagi Scunastici quibus colonia Naronitana agros dedit Divo Augusto et Tiberio Caesari Augusti filio Augusto sacrum veterani pagi Scunastici quibus colonia Naronitana agros dedit","votive inscription","votive inscription","tabula","Dalmatia","Dalmatia","Ljubuski / Mlade / Bigeste","Bigeste","Ljubuški","Augusti/Augustae, milites, viri",43.1818,17.5271,1
"8",1750,469728,"EDCS-08901077","HD004479",14,37,"L(ucius) Gavius L(uci) f(ilius) Pub(lilia) Ve/rona vet(eranus) leg(ionis) XV se / vivo fecit / et M(arco) Gavio fratri / et liberto Hilaro","Lucius Gavius Luci filius Publilia Verona veteranus legionis XV se vivo fecit et Marco Gavio fratri et liberto Hilaro","epitaph","epitaph","tabula","Dalmatia","Dalmatia","Ljubuski / Mlade / Bigeste","Bigeste","Ljubuški","liberti/libertae, milites, nomen singulare, praenomen et nomen, viri",43.1818,17.5271,1
"9",799,468751,"EDCS-28300036","HD058819",1,41,"Cn(aeus) Domiti/us Cn(aei) f(ilius) Vel(ina) / Pessinunte / an(norum) XLIV stip(endiorum) / XXV veteran(us) / [ex leg(ione) VII h(ic) s(itus) e(st)] / [testam]en[to] / [fieri] iussit","Cnaeus Domitius Cnaei filius Velina Pessinunte annorum XLIV stipendiorum XXV veteranus ex legione VII hic situs est testamento fieri iussit","epitaph","epitaph","stele","Dalmatia","Dalmatia","Gardun / Tilurium","Tilurium","Trilj","milites, tria nomina, viri",43.6139,16.689,1
"10",1734,469712,"EDCS-30600566","HD058381",1,41,"L(ucius) Herenni/us L(uci) f(ilius) Pap(iria) / Muliade(!) / vet(eranus) leg(ionis) VII / an(norum) LX sti(pendiorum) / XXX h(ic) s(itus) e(st)","Lucius Herennius Luci filius Papiria Muliade veteranus legionis VII annorum LX stipendiorum XXX hic situs est","epitaph","epitaph","cliff","Dalmatia","Dalmatia","Ljubuski / Mlade / Bigeste","Bigeste","Ljubuški, bei","milites, praenomen et nomen, viri",43.1818,17.5271,1
"11",1741,469719,"EDCS-31900305","HD058380",1,41,"L(ucius) Domitius L(uci) f(ilius) Ann(iensi) / Aquila vet(eranus) leg(ionis) VII / domo Myliada(!) / stip(endiorum) XXXIII vi(vus) fe[cit] sib(i) / et C(aio) Domitio [---] An(iensi) / [A]qui[l]ino(?) mil(iti) [l]eg(ionis) V[II] / [s]tip(endiorum) XX h(onesta) m(issione) [---] / [------] / [------] / [---]A[---] / [---]V[---]","Lucius Domitius Luci filius Anniensi Aquila veteranus legionis VII domo Myliada stipendiorum XXXIII vivus fecit sibi et Caio Domitio Aniensi Aquilino militi legionis VII stipendiorum XX honesta missione A V","epitaph","epitaph","cliff","Dalmatia","Dalmatia","Ljubuski / Mlade / Bigeste","Bigeste","Ljubuški","milites, tria nomina, viri",43.1818,17.5271,1
"12",2951,470964,"EDCS-27601590","HD054808",1,41,"Q(uinto) Hortensio / Q(uinti) f(ilio) vet(erano) leg(ionis) / VII h(ic) s(itus) e(st) / Hortensia / Q(uinti) f(ilia) Quarta et / L(ucius) Corellius I[u]c/undus patri / posuere","Quinto Hortensio Quinti filio veterano legionis VII hic situs est Hortensia Quinti filia Quarta et Lucius Corellius Iucundus patri posuere","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Solin / Salona","Salonae","Solin","milites, mulieres, praenomen et nomen, tria nomina, viri",43.5384,16.4743,1
"13",3643,471688,"EDCS-28700941","HD062488",1,41,"C(aius) Asurius mil(es) / leg(ionis) VII |(centuria) Trini / ann(orum) XXXV stip(endiorum) XIV / domo Florentia / Severa lib(erta) / pos(u)it","Caius Asurius miles legionis VII centuria Trini annorum XXXV stipendiorum XIV domo Florentia Severa liberta posuit","epitaph","epitaph","stele","Dalmatia","Dalmatia","Solin / Salona","Salonae","Solin","liberti/libertae, milites, mulieres, praenomen et nomen, viri",43.5384,16.4743,1
"14",5214,473461,"EDCS-10101054","HD034435",1,41,"L(ucius) Arruntius / domo Pasimoae(!) / anno(rum) LV / [vet(eranus)? leg(ionis)] VII h(ic) s(itus) e(st) / [testament]o fieri iussit / [------","Lucius Arruntius domo Pasimoae annorum LV veteranus legionis VII hic situs est testamento fieri iussit","epitaph","epitaph","stele","Dalmatia","Dalmatia","Solin / Salona","Salonae","Solin","milites, praenomen et nomen, viri",43.5384,16.4743,1
"15",6224,474671,"EDCS-10100892","HD034294",1,41,"C(aius) Iulius C(ai) f(ilius) / Fab(ia) Ninica / mil(es) leg(ionis) VII / an(norum) XXXIX stip(endiorum) / XVII h(ic) s(itus) e(st) / hospes resis[te et] tumulum / contempla meum lege et / moraris iam scies quae / debeas vixi qua potui ca/rus sum Opiorum hic su/m sepultus hic ossua(!) re/quiescum(!) mea vale et / bene facito vitae dum fa/tum venit / Faustus l(ibertus) patrono","Caius Iulius Cai filius Fabia Ninica miles legionis VII annorum XXXIX stipendiorum XVII hic situs est hospes resiste et tumulum contempla meum lege et moraris iam scies quae debeas vixi qua potui carus sum Opiorum hic sum sepultus hic ossua requiescum mea vale et bene facito vitae dum fatum venit Faustus libertus patrono","epitaph","epitaph","stele","Dalmatia","Dalmatia","Trilj / Tilurium","Tilurium","Trilj","liberti/libertae, milites, nomen singulare, tria nomina, viri",43.6139,16.689,1
"16",6230,474677,"EDCS-03300743","HD040156",1,41,"L(ucius) Attius L(uci) f(ilius) Sergi(a) / Augusta / an(norum) XXX st(ipendiorum) VIII / mil(es) leg(ionis) VII / h(ic) s(itus) es(t)","Lucius Attius Luci filius Sergia Augusta annorum XXX stipendiorum VIII miles legionis VII hic situs est","epitaph","epitaph","stele","Dalmatia","Dalmatia","Trilj / Tilurium","Tilurium","Trilj","milites, praenomen et nomen, viri",43.6139,16.689,1
"17",6391,474843,"EDCS-26600673","HD051071",1,41,"M(arcus) Heredius M(arci) f(ilius) Pal(atina) / veteranus leg(ionis) VII / h(ic) s(itus) est fecit / Faustus l(ibertus)","Marcus Heredius Marci filius Palatina veteranus legionis VII hic situs est fecit Faustus libertus","epitaph","epitaph","stele","Dalmatia","Dalmatia","Vid / Narona","Narona","Metković","liberti/libertae, milites, nomen singulare, praenomen et nomen, viri",43.0801,17.625,1
"18",6621,475080,"EDCS-14800171","HD039866",1,41,"L(ucius) Ancharenus Q(uinti) f(ilius) / Ser(gia) Laranda mil(es) / leg(ionis) VII ann(orum) XL stip(endiorum) XXI / h(ic) s(itus) e(st) / Q(uintus) Ancharenus haec tan[---?] / posuit tibi dona frater quia / longe a patria te cecidisse dolet / optaram vivo potius dare vi[na] / [---] non obito care ferenda / tuo si quicquam sentire potes / [---]mpore nostro damus haec / o[---] sit tibi terra levis frater / fratri posuit","Lucius Ancharenus Quinti filius Sergia Laranda miles legionis VII annorum XL stipendiorum XXI hic situs est Quintus Ancharenus haec tan posuit tibi dona frater quia longe a patria te cecidisse dolet optaram vivo potius dare vina non obito care ferenda tuo si quicquam sentire potes mpore nostro damus haec o sit tibi terra levis frater fratri posuit","epitaph","epitaph","stele","Dalmatia","Dalmatia","Vojnic Sinjski / Tilurium","Tilurium","Trilj","milites, praenomen et nomen, tria nomina, viri",43.6139,16.689,1
"19",6734,475193,"EDCS-28400165","HD060145",1,41,"T(ito) (H)elvio Sca(ptia) Marino / IIIIvir(o) Altini / T(itus) (H)elvius T(iti) f(ilius) Salinator / |(centurio) leg(ionis) VII patri / in fronte p(edes) XXX in agro p(edes) XXX / h(oc) m(onumentum) h(eredem) n(on) s(equetur)","Tito Helvio Scaptia Marino IIII viro Altini Titus Helvius Titi filius Salinator centurio legionis VII patri in fronte pedes XXX in agro pedes XXX hoc monumentum heredem non sequetur","epitaph","epitaph","NULL","Dalmatia","Dalmatia","Zadar / Iader","Iader","Zadar","milites, ordo decurionum, tria nomina, viri",44.115501,15.223778,1
"20",7018,107221,"EDCS-69000085",NA,6,41,NA,"us uri filius eques alae Hispanorum Batavus",NA,"epitaph",NA,"Dalmatia",NA,"Ivosevci / Burnum",NA,NA,"milites, viri",44.0160408,16.0072244,1
