"","X","LIST.ID","EDCS.ID","EDH.ID","not_before","not_after","transcription","clean_text_interpretive_word","type_of_inscription_clean","type_of_inscription_auto","type_of_monument_clean","province","province_label_clean","place","findspot_ancient_clean","findspot_modern_clean","status_notation","Latitude","Longitude","count"
"1",1747,469725,"EDCS-10000216","HD021619",14,37,"[Divo] Augusto et / [T]i(berio) Caes[a]ri Aug(usti) f(ilio) Aug(usto) / sa[cr]um / veterani pagi Scunastic(i) / quibus colonia Naronit(ana) / agros dedit // Divo Augusto et / Ti(berio) Caesari Aug(usti) f(ilio) Aug(usto) / sacrum / veterani pagi Scunast(ici) / quibus colon(ia) Naroni(tana) / agros dedit","Divo Augusto et Tiberio Caesari Augusti filio Augusto sacrum veterani pagi Scunastici quibus colonia Naronitana agros dedit Divo Augusto et Tiberio Caesari Augusti filio Augusto sacrum veterani pagi Scunastici quibus colonia Naronitana agros dedit","votive inscription","votive inscription","tabula","Dalmatia","Dalmatia","Ljubuski / Mlade / Bigeste","Bigeste","Ljubuški","Augusti/Augustae, milites, viri",43.1818,17.5271,1
"2",1185,469149,"EDCS-30301398","HD004225",1,50,"Coran/us Iovi/le v(otum) s(olvit)","Coranus Iovile votum solvit","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Ivosevci / Burnum","Burnum","Kistanje","nomen singulare, viri",44.0317,15.9936,1
"3",2003,469992,"EDCS-03000738","HD039963",14,50,"[Div]o Aug(usto) et [Romae] / sacru[m] // [Ara]m Geni[o -]/[--- A]ugustam / [coh(ors)? Ga?]llica vol(untariorum?) / [------](?)","Divo Augusto et Romae sacrum Aram Genio Augustam cohors Gallica voluntariorum","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Omis / Almissa / Oneum / Onaeum","Oneum","Omiš",NA,43.4422,16.7019,1
"4",6352,474804,"EDCS-26600656","HD039236",14,54,"Dianae Nemore(n)s(i) / sacrum / Ti(berius) Claudius Claud[i]/anus praef(ectus) coh(ortis) I / Bracaraugust(anorum) / ex voto su(s)cep(to) de suo","Dianae Nemorensi sacrum Tiberius Claudius Claudianus praefectus cohortis I Bracaraugustanorum ex voto suscepto de suo","votive inscription","votive inscription","statue base","Dalmatia","Dalmatia","Vid / Narona","Narona","Metković","milites, ordo equester, tria nomina, viri",43.0801,17.625,1
"5",3610,471654,"EDCS-28701352","HD057704",9,56,"------] / [--- m]iles leg(ionis) VI[I ---] / Veneri don[um ob] / [magisteriu?]m cognation[is ---] / [--- Cl]odior(um) CVI(?)[---] / [------","miles legionis VII Veneri donum ob magisterium cognationis Clodiorum CVI","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Solin / Salona","Salonae","Solin","milites, viri",43.5384,16.4743,1
"6",2571,470574,"EDCS-08300491","HD003120",42,57,"Herculi / sacrum / P(ublius) Plotius |(centurio) leg(ionis) / VII C(laudiae) p(iae) f(idelis) / v(otum) s(olvit) l(ibens) m(erito)","Herculi sacrum Publius Plotius centurio legionis VII Claudiae piae fidelis votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Seget Donji / Tragurium","Tragurium","Seget","milites, praenomen et nomen, viri",43.5594,16.524,1
"7",352,468293,"EDCS-03000732","HD039932",9,70,"------] / [--]VL[---] / [b(ene)]f(iciarius) co[(n)s(ularis) ex] / [l]eg(ione) XI [Cl(audiae)] / [v(otum)] s(olvit) [l(ibens) m(erito)]","VL beneficiarius consularis ex legione XI Claudiae votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Cacak / Malvesiatium","Municipium Malvesiatium","Lučani","milites, viri",43.9667,19.5333,1
"8",92,468016,"EDCS-32300071","HD052240",69,79,"[T(itus) F]lavius / [---]ditanus / [civ(itate?) d]on(atus) ab / [Imp(eratore)] Vespasiano / Ca[e]sare Aug(usto) / pra[e]positu[s] / et p[rin]cep[s] / Iapo[d]um / [v(otum) s(olvit) l(ibens) m(erito)]","Titus Flavius ditanus civitate donatus ab Imperatore Vespasiano Caesare Augusto praepositus et princeps Iapodum votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bihac / Raetinium","Raetinium","Bihać","Augusti/Augustae, milites, ordo decurionum, tria nomina, viri",44.7885,15.9292,1
"9",791,468743,"EDCS-57200004","HD053934",1,100,"I Mac(edonica) le[g(io)] / [I]ovi o(ptimo) m(aximo) / v(otum) [s(olvit)] l(ibens) m(erito)","I Macedonica legio Iovi optimo maximo votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Galovac / Iader","Iader","Galovac","milites",43.9393,15.4483,1
"10",792,468744,"EDCS-30101159","HD045053",1,100,"Gen[io] / [------","Genio","votive inscription","votive inscription","tabula","Dalmatia","Dalmatia","Gardun / Tilurium","Tilurium","Trilj",NA,43.6139,16.689,1
