"","type_of_monument_clean","type_of_inscription_auto","n"
"1","NULL","boundary inscription",5
"2","NULL","building/dedicatory inscription",34
"3","NULL","epitaph",577
"4","NULL","honorific inscription",46
"5","NULL","list",1
"6","NULL","votive inscription",64
"7","NULL",NA,60
"8","altar","building/dedicatory inscription",2
"9","altar","epitaph",36
"10","altar","votive inscription",123
"11","altar",NA,1
"12","architectural member","building/dedicatory inscription",19
"13","architectural member","epitaph",5
"14","architectural member","honorific inscription",3
"15","architectural member","list",1
"16","architectural member","owner/artist inscription",1
"17","architectural member","votive inscription",5
"18","architectural member",NA,5
"19","base","epitaph",2
"20","block","building/dedicatory inscription",6
"21","block","epitaph",1
"22","cippus","boundary inscription",14
"23","cippus","epitaph",2
"24","cliff","boundary inscription",4
"25","cliff","epitaph",9
"26","cliff","votive inscription",1
"27","grave monument","epitaph",2
"28","honorific/grave/votive column","epitaph",2
"29","honorific/grave/votive column","votive inscription",4
"30","instrumentum domesticum","owner/artist inscription",1
"31","mile-/leaguestone","mile-/leaguestone",11
"32","relief","votive inscription",4
"33","sarcophagus","epitaph",2
"34","slab","epitaph",1
"35","statue base","epitaph",2
"36","statue base","honorific inscription",36
"37","statue base","votive inscription",8
"38","stele","boundary inscription",1
"39","stele","epitaph",215
"40","stele","votive inscription",1
"41","stele",NA,1
"42","table","identification inscription",1
"43","tabula","assignation inscription",1
"44","tabula","boundary inscription",6
"45","tabula","building/dedicatory inscription",21
"46","tabula","epitaph",107
"47","tabula","honorific inscription",12
"48","tabula","military diploma",2
"49","tabula","votive inscription",15
"50","tabula",NA,7
"51","tile","owner/artist inscription",10
"52","urn","epitaph",25
"53",NA,"building/dedicatory inscription",2
"54",NA,"epitaph",23
"55",NA,"honorific inscription",5
"56",NA,"identification inscription",7
"57",NA,"military diploma",2
"58",NA,"owner/artist inscription",6
"59",NA,"votive inscription",3
"60",NA,NA,20
