"","type_of_monument_clean","type_of_inscription_auto","n"
"1","NULL","epitaph",577
"2","NULL","votive inscription",64
"3","NULL",NA,60
"4","altar","epitaph",36
"5","altar","votive inscription",123
"6","altar",NA,1
"7","base","epitaph",2
"8","block","epitaph",1
"9","cippus","epitaph",2
"10","cliff","epitaph",9
"11","cliff","votive inscription",1
"12","grave monument","epitaph",2
"13","honorific/grave/votive column","epitaph",2
"14","honorific/grave/votive column","votive inscription",4
"15","relief","votive inscription",4
"16","sarcophagus","epitaph",2
"17","slab","epitaph",1
"18","statue base","epitaph",2
"19","statue base","votive inscription",8
"20","stele","epitaph",215
"21","stele","votive inscription",1
"22","stele",NA,1
"23","tabula","epitaph",107
"24","tabula","votive inscription",15
"25","tabula",NA,7
"26","urn","epitaph",25
"27",NA,"epitaph",23
"28",NA,"votive inscription",3
"29",NA,NA,20
