"EDCS-ID","publication","province","place","dating_from","dating_to","date_not_before","date_not_after","status","inscription","inscription_conservative_cleaning","inscription_interpretive_cleaning","material","comment","latitude","longitude","language","photo","partner_link","extra_text","extra_html","raw_dating","cleaned_place"
"EDCS-28600125","CIL 03, 03162a (p 1650) = CIL 05, *00333 = CIL 11, *00123a4 = Legio-VII 00003","Dalmatia","?","42","100","42","100","milites;  mulieres;  tituli sepulcrales;  tria nomina;  viri","M(arco) Antonio Celeri / eq(uiti) leg(ionis) VII C(laudiae) P(iae) F(idelis) Iulia / Maxsima(!) heres fecit / sibi et coniugi caro suo st(ipendiorum) XXX / [in] f(ronte) p(edes) XII in ag(ro) (!) XVII","M Antonio Celeri eq leg VII C P F Iulia Maxsima heres fecit sibi et coniugi caro suo st XXX f p XII in ag XVII","Marco Antonio Celeri equiti legionis VII Claudiae Piae Fidelis Iulia Maxsima heres fecit sibi et coniugi caro suo stipendiorum XXX in fronte pedes XII in agro XVII",NA,NA,NA,NA,"","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_03_03162a.jpg","http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_fva_p30;HD062298;bu_CIL%26bibl_volume=5%26bibl_subvolume=%26bibl_insc=333%2A","","","42 to 100","?"
"EDCS-28600128","CIL 03, 03164 (p 1038, 1650) = CIL 03, 09816 = D 02505","Dalmatia","?","51","150","51","150","milites;  nomen singulare;  tituli sepulcrales;  viri","Surus Sparuci f(ilius) / dom(o) Tribocus / eques alae Claud/iae Novae ann(orum) XXX / stip(endiorum) XIII h(ic) s(itus) e(st) t(estamento) f(ieri) i(ussit) / arbitratu Celati ses/quiplicari(i) heredis","Surus Sparuci f dom Tribocus eques alae Claudiae Novae ann XXX stip XIII h s e t f i arbitratu Celati sesquiplicari heredis","Surus Sparuci filius domo Tribocus eques alae Claudiae Novae annorum XXX stipendiorum XIII hic situs est testamento fieri iussit arbitratu Celati sesquiplicarii heredis",NA,NA,NA,NA,"",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD062295;de-a0502","","","51 to 150","?"
"EDCS-04201550","CIL 05, 02498 = MHM-2018-104 = Tozzi-2017, 00051","Dalmatia","Asseria","1","100","1","100","milites;  mulieres;  tituli sepulcrales;  tria nomina;  viri","Appuleia / Aretusa / C(aio) Trosio / Liberali mater / ponit mil(iti) prae/toriae cohortis VI / ann(orum) XVIIII","Appuleia Aretusa C Trosio Liberali mater ponit mil praetoriae cohortis VI ann XVIIII","Appuleia Aretusa Caio Trosio Liberali mater ponit militi praetoriae cohortis VI annorum XVIIII","lapis",NA,"44.0099747","15.6690296","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_05_02498.jpg;$Tozzi-2017_00051.jpg;pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p243;N130558;lu_9633","","","1 to 100","Asseria"
"EDCS-72200021","CIL 03, 02883 (p 1634, 2273) = D 05953a","Dalmatia","Benkovac / Asseria","63","68","63","68","milites;  ordo senatorius;  termini;  tria nomina;  viri","Fin[i]s inter Neditas et Corinienses / derectus mensuris actis iussu / [A(uli) Du]ceni Gemini leg(ati) per A(ulum) Resium / Maximum |(centurionem) leg(ionis) XI principem / posteriorem co(ho)[r(tis)] I et per [Q(uintum)] A[e]butium / Liberalem |(centurionem) eiusdem leg(ionis) (h)astatum / posteriorem c(o)hor(tis) I","Fins inter Neditas et Corinienses derectus mensuris actis iussu ceni Gemini leg per A Resium Maximum leg XI principem posteriorem co I et per Abutium Liberalem eiusdem leg astatum posteriorem chor I","Finis inter Neditas et Corinienses derectus mensuris actis iussu Auli Duceni Gemini legati per Aulum Resium Maximum centurionem legionis XI principem posteriorem cohortis I et per Quintum Aebutium Liberalem centurionem eiusdem legionis hastatum posteriorem cohortis I","lapis",NA,"44.0333509","15.6125528","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD059931;de-b0467","","","63 to 68","Asseria"
"EDCS-20601178","AE 2000, 01178","Dalmatia","Bigeste","1","100","1","100","milites;  nomen singulare;  tituli sepulcrales;  viri","Tures Alburi / f(ilius) eq(ues) coh(ortis) I / Bracaraugus(tanorum) / ann(orum) XXV stip(endiorum) VII / h(ic) s(itus) e(st) h(eres) p(osuit)","Tures Alburi f eq coh I Bracaraugus ann XXV stip VII h s e h p","Tures Alburi filius eques cohortis I Bracaraugustanorum annorum XXV stipendiorum VII hic situs est heres posuit",NA,NA,"43.182222","17.528889","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD039812;lu_30557","","","1 to 100","Bigeste"
"EDCS-20601179","AE 2000, 01179","Dalmatia","Bigeste","1","100","1","100","milites;  nomen singulare;  tituli sepulcrales;  viri","Veranus Caturonis / f(ilius) eq(ues) coh(ortis) I Bracaraug(ustanorum) / turma Tironis ann(orum) / XXXIIX stipendiorum / XVIII h(ic) s(itus) e(st) t(estamento) f(ieri) i(ussit) / h(eredes) p(osuerunt) Tiro dec(urio) et Crispus / Caturonis","Veranus Caturonis f eq coh I Bracaraug turma Tironis ann XXXIIX stipendiorum XVIII h s e t f i h p Tiro dec et Crispus Caturonis","Veranus Caturonis filius eques cohortis I Bracaraugustanorum turma Tironis annorum XXXIIX stipendiorum XVIII hic situs est testamento fieri iussit heredes posuerunt Tiro decurio et Crispus Caturonis",NA,NA,"43.182222","17.528889","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD039821;lu_30601","","","1 to 100","Bigeste"
"EDCS-20601180","AE 2000, 01180a","Dalmatia","Bigeste","70","86","70","86","milites;  sigilla impressa;  tituli fabricationis","Leg(ionis) IIII F(laviae) [F(elicis)]","Leg IIII F","Legionis IIII Flaviae Felicis","opus figlinae",NA,"43.182222","17.528889","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD039826","","","70 to 86","Bigeste"
"EDCS-20601181","AE 2000, 01180b","Dalmatia","Bigeste","1","70","1","70","milites;  sigilla impressa;  tituli fabricationis","Leg(ionis) VIII Aug(ustae)","Leg VIII Aug","Legionis VIII Augustae","opus figlinae",NA,"43.182222","17.528889","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD039829","","","1 to 70","Bigeste"
"EDCS-20601183","AE 2000, 01180d","Dalmatia","Bigeste","70","86","70","86","milites;  sigilla impressa;  tituli fabricationis","[L]eg(ionis) IIII F(laviae) F(elicis)","eg IIII F F","Legionis IIII Flaviae Felicis","opus figlinae",NA,"43.182222","17.528889","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD039842","","","70 to 86","Bigeste"
"EDCS-20601184","AE 2000, 01180e","Dalmatia","Bigeste","1","70","1","70","milites;  sigilla impressa;  tituli fabricationis","[Leg(ionis)] VIII Aug(ustae)","VIII Aug","Legionis VIII Augustae","opus figlinae",NA,"43.182222","17.528889","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD039843","","","1 to 70","Bigeste"
