"cleaned_place","place","longitude","latitude","n"
"Salona","Solin / Salona","16.4919213","43.5441591",103
"Burnum","Ivosevci / Burnum","16.0072244","44.0160408",70
"Tilurium","Gardun / Tilurium","16.7139587","43.6099573",54
"Burnum","Burnum","16.0181762","44.0183606",40
"Iader","Zadar / Iader","15.232136","44.1186078",29
"Burnum","Knin / Burnum","16.199433","44.040850",20
"Bigeste","Hardomilje / Bigeste","17.5493918","43.1575578",18
"Andetrium","Gornji Muc / Andetrium","16.4940794","43.6871481",13
"Bigeste","Ljubuski / Mlade / Bigeste","17.540558","43.1904758",13
"Narona","Vid / Narona","17.6258524","43.0804139",12
"Aequum","Citluk / Aequum","16.6534966","43.7425382",10
"Bigeste","Humac / Bigeste","17.5296549","43.1878539",10
"Tilurium","Trilj / Tilurium","16.7286894","43.617857",10
"Bigeste","Bigeste","17.528889","43.182222",8
"Corinium","Karin Gornji / Corinium","15.6335444","44.1358546",8
"Municipium Malvesatium","Cacak / Malvesiatium","20.3501125","43.8913319",7
"Asseria","Podgrade / Asseria","15.669073","44.0203427",6
"Doclea","Duklja / Duklje / Rusevine / Doclea","19.2654984","42.4686384",6
"Osinium","Sinj / Osinium","16.6365238","43.7015963",6
"Promona","Tepljuh / Promona","16.2085222","43.8933717",5
"Burnum","Kistanje / Burnum","15.9653321","43.9814264",4
"Epidaurum","Cavtat / Epidaurum","18.2177461","42.5814314",4
"Salona","Dugopolje / Salona","16.5954344","43.5825155",4
"Alvona","Labin / Alvona","14.1231931","45.094851",3
"Nedinum","Nadin / Nedinum","15.497817","44.0737376",3
"Raetinium","Bihac / Raetinium","15.8690863","44.8146409",3
"Scardona","Skradin / Scardona","15.923372","43.8178655",3
"Tilurium","Vojnic Sinjski / Tilurium","16.6948645","43.6138233",3
"Aenona","Nin / Aenona","15.1840255","44.2430736",2
"Arba","Rab, Otok / Arba","14.7346385","44.7756866",2
"Burnum","Karlovac / Karlstadt / Burnum","15.5486303","45.4892522",2
"Cliss","Klis / Clissa","16.5237544","43.5587998",2
"Delminium","Tomislavgrad / Duvno / Zupanjac / Delminium","17.2303272","43.7165551",2
"Hrvace","Hrvace","16.6189503","43.7559711",2
"Municipium Magnum","Ruzic / Balijna Glavica / Municipium Magnum","16.2663102","43.8199367",2
"Novae","Runovici / Runovic / Novae","17.2354538","43.388890",2
"Risinium","Risan / Risano / Risinium","18.6955649","42.5149792",2
"Siculi","Veli Bijac / Bijaci / Bijaca / Siculi","16.2982386","43.5555172",2
"Spalatum","Split / Spalatum","16.4399659","43.5116383",2
"Tragurium","Trogir / Tragurium","16.2499724","43.516687",2
"Asseria","Asseria","15.6690296","44.0099747",1
"Asseria","Benkovac / Asseria","15.6125528","44.0333509",1
"Bigeste","Veljaci / Bigeste","17.4433546","43.2362774",1
"Burnum","Mokro Polje / Burnum","16.1106256","44.1009583",1
"Burnum","Puljane / Pugliane / Burnum","16.032173","43.9743322",1
"Burnum","Strmca / Stermizza / Burnum","14.1999864","45.8315229",1
"Curictae","Krk, Otok / Curictae","14.5496681","45.0901955",1
"Diluntum","Dubrava / Diluntum","17.958448","43.078729",1
"Doboj","Doboj","18.0847183","44.7313612",1
"Dobropoljci","Dobropoljci","15.8108052","43.9936545",1
"Domavium","Gradina / Domavium","18.4200399","43.2078027",1
"Fulfinum","Omisalj / Fulfinum","14.5575259","45.2120215",1
"Gracac","Gracac","15.8465272","44.2985234",1
"Gradcina","Gradcina","17.7097222","45.2286111",1
"Gromile","Gromile","17.1008778","44.2850487",1
"Iader","Galovac / Iader","15.3944579","44.0724549",1
"Issa","Vis / Issa","16.1834976","43.0599322",1
"Jesenice","Krug, Jesenice","16.6289431","43.4592662",1
"Kapitul","Kapitul - Knin","16.1984439","44.0312408",1
"Kosijerevo","Kosijerevo","18.4606607","42.7968403",1
"Krinj","Krinj","16.644463","43.7451993",1
"Mratovo / Burnum","Mratovo / Burnum","16.0454253","43.9559481",1
"Murter","Murter","15.6085778","43.799601",1
"Narona","Metkovic / Narona","17.6519631","43.0536158",1
"Oneum","Omis / Almissa / Oneum / Onaeum","16.6913309","43.4447124",1
"Pharia","Hvar / Lesina / Pharia","16.5564721","43.1739813",1
"Punta Kriza","Punta Kriza","14.4929765","44.6382141",1
"Rider","Danilo Gornje / Rider","16.0292749","43.706309",1
"Roski slap","Roski slap","15.9750672","43.903745",1
"Salona","Manastirine / Salona","16.4828374","43.5420376",1
"Tarsatica","Trsat / Tersatto / Tarsatica","14.464428","45.3308704",1
"Tragurium","Seget Donji / Tragurium","16.2272015","43.5179953",1
"Uzdolje","Uzdolje","16.1966494","43.9386349",1
"Vagan","Vagan","17.1746449","44.1539086",1
"Varvaria","Bribir / Bribirska Glavica / Varvaria","15.8398106","43.9214921",1
"Velika Kladusa","Velika Kladusa","15.8070634","45.1854105",1
