"","findspot_ancient_clean","Longitude","Latitude","n"
"1","Salonae",16.4743,43.5384,388
"2","Iader",15.223778,44.115501,103
"3","Burnum",15.9936,44.0317,77
"4","Narona",17.625,43.0801,75
"5","Rider",16.0486,43.7034,74
"6","Asseria",15.6844,44.0103,68
"7","Tilurium",16.689,43.6139,52
"8","Aenona",15.1842,44.2435,43
"9","Bigeste",17.5271,43.1818,42
"10","Nedinum",15.5095,44.0721,33
"11","Aequum",16.6547,43.7423,31
"12","Corinium",15.6256,44.1075,29
"13","Albona",14.1232,45.0949,24
"14","Epidaurum",18.2137,42.5848,21
"15","Risinium",18.6969,42.5098,18
"16","Apsorus",14.3919,44.693,17
"17","Doclea",19.2615,42.469,17
"18","Varvaria",15.9051,43.8892,15
"19","Flanona",14.1801,45.1382,14
"20","Tragurium",16.524,43.5594,14
"21","Issa, insula",16.1865,43.0655,13
"22","Acruvium",18.689,42.4438,12
"23","Ninia",16.1994,44.0408,12
"24","Raetinium",15.9292,44.7885,12
"25","Senia",14.902,44.9931,12
"26","Curicum",14.7407,44.9742,10
"27","Sidrona",15.7481,44.1354,10
"28","Andetrium",16.5206,43.6922,9
"29","Arba",14.7596,44.7565,9
"30","Iader",15.4483,43.9393,9
"31","Scardona",15.9208,43.8227,9
"32","Ansium",15.666,44.179,8
"33","Crexa",14.3542,45.112,8
"34","Siculi",16.3004,43.5306,8
"35","Argyruntum",15.4403,44.2951,7
"36","Municipium Magnum",16.2988,43.8047,7
"37","Buthoe",18.8351,42.2789,6
"38","Municipium Salvium",16.8281,44.1301,6
"39","Solentia, insula",16.2752,43.3972,6
"40","Alveria",15.8139,43.9937,5
"41","Cissa",14.914,44.546,5
"42","Delminium",17.2302,43.7183,5
"43","Epetium",16.5235,43.4987,5
"44","Municipium Malvesiatium",19.5333,43.9667,5
"45","Narona",17.6884,43.0645,5
"46","Tarsatica",14.4444,45.3278,5
"47","Arupium",15.2789,44.8428,4
"48","NULL",15.2452183,45.6142808,4
"49","NULL",15.9208,43.8227,4
"50","NULL",16.9737189,43.3348513,4
"51","Promona",16.2114,43.8955,4
"52","Brattia, insula",16.5444,43.3436,3
"53","Hedum Castellum Daesitiatium",18.2634,44.0184,3
"54","NULL",16.3827291,44.374769,3
"55","NULL",17.0042416,43.8259136,3
"56","NULL",17.2354538,43.38889,3
"57","NULL",17.540558,43.1904758,3
"58","Oneum",16.7019,43.4422,3
"59","Pituntium",16.5681,43.4741,3
"60","Ansium",15.6655,44.1788,2
"61","Castellum Tariona",16.2499724,43.516687,2
"62","Cissa, insula",15.207,44.3262,2
"63","Colentum, insula",15.595,43.8257,2
"64","Domavium",19.3585,44.1375,2
"65","Epidotium - Ancus",15.4557,44.6142,2
"66","Fulfinum",14.5441,45.204,2
"67","Municipium S[---]",19.3204,43.3424,2
"68","NULL",15.0315195,44.0211315,2
"69","NULL",16.0072244,44.0160408,2
"70","NULL",16.3977809,43.9096687,2
"71","NULL",16.654819,43.3239838,2
"72","NULL",16.8945925,42.7675928,2
"73","NULL",17.4288843,42.925148,2
"74","NULL",19.626587,43.3691604,2
"75","NULL",19.7176308,43.2309869,2
"76","NULL",20.0772378,42.3723673,2
"77","Novae",17.1968,43.4057,2
"78","Pharus",16.6434,43.1661,2
"79","Scodra",19.5277,42.0743,2
"80","Ansium - Corinium",15.666,44.179,1
"81","Aquae S(---)",18.3426533,43.9016526,1
"82","Asseria - Corinium",15.6844,44.0103,1
"83","Aufustianis",17.3588,43.3203,1
"84","Baloie",17.1009,44.285,1
"85","Boa, insula",16.3388,43.4995,1
"86","Diluntum",17.8414,43.1138,1
"87","Hedum Castellum Daesitiatium",18.2782592,43.9902346,1
"88","Lissus",19.6468,41.7797,1
"89","Lopsica",14.9201,44.9283,1
"90","Muccurum",17.0178,43.2969,1
"91","NULL",14.1801746,45.1380212,1
"92","NULL",14.3162906,44.5759408,1
"93","NULL",14.3927571,44.6935722,1
"94","NULL",14.4132039,44.8367826,1
"95","NULL",15.0728046,44.5277802,1
"96","NULL",15.1840255,44.2430736,1
"97","NULL",15.3220745,43.805438,1
"98","NULL",15.4641845,44.1170532,1
"99","NULL",15.5061682,43.9082968,1
"100","NULL",15.6335444,44.1358546,1
"101","NULL",15.669073,44.0203427,1
"102","NULL",15.6844,44.0103,1
"103","NULL",15.8398106,43.9214921,1
"104","NULL",15.923372,43.8178655,1
"105","NULL",15.9653321,43.9814264,1
"106","NULL",16.032173,43.9743322,1
"107","NULL",16.0454253,43.9559481,1
"108","NULL",16.1966494,43.9386349,1
"109","NULL",16.1994,44.0408,1
"110","NULL",16.2255311,44.6876805,1
"111","NULL",16.3030945,44.296868,1
"112","NULL",16.36568,44.1808174,1
"113","NULL",16.3979316,44.431885,1
"114","NULL",16.4919213,43.5441591,1
"115","NULL",16.4969241,43.5402396,1
"116","NULL",16.603408,43.3546077,1
"117","NULL",16.6534966,43.7425382,1
"118","NULL",16.6582352,44.0718561,1
"119","NULL",16.9737159,43.8406854,1
"120","NULL",17.1125675,43.3369154,1
"121","NULL",17.1746449,44.1539086,1
"122","NULL",17.2179703,43.4471115,1
"123","NULL",17.2766853,45.469965,1
"124","NULL",17.2795401,43.1404702,1
"125","NULL",17.3082922,43.9793723,1
"126","NULL",17.3306923,43.4024187,1
"127","NULL",17.3723608,43.2050358,1
"128","NULL",17.528889,43.182222,1
"129","NULL",17.6897181,42.8566583,1
"130","NULL",17.791462,44.150409,1
"131","NULL",17.8708226,42.8848331,1
"132","NULL",17.8904391,43.2575855,1
"133","NULL",17.9055721,44.2010759,1
"134","NULL",17.958448,43.078729,1
"135","NULL",18.0782775,43.9438172,1
"136","NULL",18.1138889,43.2286111,1
"137","NULL",18.3866868,43.8519774,1
"138","NULL",18.3970392,45.1546005,1
"139","NULL",18.4200399,43.2078027,1
"140","NULL",18.439112,42.6471973,1
"141","NULL",18.4606607,42.7968403,1
"142","NULL",18.6955649,42.5149792,1
"143","NULL",18.9488746,42.7739559,1
"144","NULL",19.0671192,42.1321157,1
"145","NULL",19.2654984,42.4686384,1
"146","NULL",19.437214,42.2112922,1
"147","NULL",19.4471161,43.9677515,1
"148","NULL",19.6496772,43.3891969,1
"149","Nareste",16.6289431,43.4592662,1
"150","Nicopolis ad Istrum",24.8947,43.7009,1
"151","Nigra Corcyra, insula",17.1099,42.945,1
"152","Pelva",16.7779,43.871,1
"153","Pharia, insula",16.4428,43.1725,1
"154","Ris---",18.9996,43.7977,1
"155","Salonae",16.4919213,43.5441591,1
"156","Salviae",16.7894,44.0726,1
"157","Scardona; Tragurium",15.9208,43.8227,1
