"","findspot_ancient_clean","Longitude","Latitude","n"
"1","Salonae",16.4743,43.5384,3362
"2","Narona",17.625,43.0801,222
"3","Iader",15.22378,44.1155,149
"4","Burnum",15.9936,44.0317,136
"5","Asseria",15.6844,44.0103,125
"6","Raetinium",15.9292,44.7885,119
"7","Rider",16.0486,43.7034,116
"8","Doclea",19.2615,42.469,98
"9","Municipium Malvesiatium",19.5333,43.9667,96
"10","Tilurium",16.689,43.6139,96
"11","Municipium S[---]",19.3204,43.3424,94
"12","Aequum",16.6547,43.7423,92
"13","Aenona",15.1842,44.2435,70
"14","Bigeste",17.5271,43.1818,63
"15","Municipium Salvium",16.8281,44.1301,61
"16","NULL",16.39778,43.90967,59
"17","Nedinum",15.5095,44.0721,57
"18","Epetium",16.5235,43.4987,55
"19","Delminium",17.2302,43.7183,52
"20","Tragurium",16.524,43.5594,50
"21","Risinium",18.6969,42.5098,43
"22","Albona",14.1232,45.0949,42
"23","Corinium",15.6256,44.1075,42
"24","Pituntium",16.5681,43.4741,40
"25","Varvaria",15.9051,43.8892,40
"26","Domavium",19.3585,44.1375,38
"27","Epidaurum",18.2137,42.5848,38
"28","Municipium Magnum",16.2988,43.8047,35
"29","Scardona",15.9208,43.8227,35
"30","Novae",17.1968,43.4057,31
"31","Promona",16.2114,43.8955,30
"32","Ninia",16.1994,44.0408,29
"33","Siculi",16.3004,43.5306,29
"34","Acruvium",18.689,42.4438,28
"35","Andetrium",16.5206,43.6922,28
"36","Apsorus",14.3919,44.693,28
"37","Flanona",14.1801,45.1382,23
"38","Arba",14.7596,44.7565,22
"39","Issa, insula",16.1865,43.0655,22
"40","Senia",14.902,44.9931,22
"41","Arupium",15.2789,44.8428,21
"42","NULL",16.654819,43.3239838,21
"43","Brattia, insula",16.5444,43.3436,20
"44","Ansium",15.666,44.179,18
"45","NULL",17.9624801,43.6534733,18
"46","Buthoe",18.8351,42.2789,17
"47","NULL",19.626587,43.3691604,17
"48","Salviae",16.7894,44.0726,17
"49","Curicum",14.7407,44.9742,16
"50","Iader",15.4483,43.9393,16
"51","Nigra Corcyra, insula",17.1099,42.945,16
"52","Pelva",16.7779,43.871,16
"53","Solentia, insula",16.2752,43.3972,16
"54","Cissa",14.914,44.546,15
"55","Pharus",16.6434,43.1661,15
"56","Argyruntum",15.4403,44.2951,14
"57","NULL",17.0042416,43.8259136,14
"58","Oneum",16.7019,43.4422,14
"59","Diluntum",17.8414,43.1138,13
"60","NULL",16.49192,43.54416,13
"61","NULL",17.3482759,43.6566752,13
"62","NULL",17.90557,44.20108,13
"63","Sidrona",15.7481,44.1354,13
"64","Ad Turres",17.751,43.1604,11
"65","Baloie",17.1009,44.285,11
"66","NULL",16.199433,44.04085,11
"67","Crexa",14.3542,45.112,10
"68","Metulum",15.2771,45.2255,10
"69","Narona",17.6884,43.0645,10
"70","NULL",16.36568,44.1808174,9
"71","NULL",17.5341165,44.5634184,9
"72","NULL",18.04027,43.94942,9
"73","Capedunum",19.5333,43.9667,8
"74","Capedunum",19.6639,43.8561,8
"75","Hedum Castellum Daesitiatium",18.2634,44.0184,8
"76","NULL",16.6067817,44.9142151,8
"77","NULL",16.97372,43.84069,8
"78","NULL",17.30829,43.97937,8
"79","NULL",17.540558,43.1904758,8
"80","NULL",17.7496291,44.1742841,8
"81","NULL",18.0640574,44.7072623,8
"82","Alveria",15.8139,43.9937,7
"83","Iader",15.223778,44.115501,7
"84","Lissus",19.6468,41.7797,7
"85","NULL",15.24522,45.61428,7
"86","NULL",17.2179703,43.4471115,7
"87","NULL",18.4200399,43.2078027,7
"88","NULL",19.64968,43.3892,7
"89","Ris---",18.9996,43.7977,7
"90","Tarsatica",14.4444,45.3278,7
"91","Aquae S[---]",18.2991,43.8313,6
"92","Muccurum",17.0178,43.2969,6
"93","NULL",16.60625,43.49361,6
"94","NULL",16.9482271,43.3582543,6
"95","Salonae",16.49192,43.54416,6
"96","Salthua",18.6462,42.7661,6
"97","Scodra",19.5277,42.0743,6
"98","NULL",15.23214,44.11861,5
"99","NULL",15.7403448,44.4509084,5
"100","NULL",15.76624,44.53272,5
"101","NULL",16.0072244,44.0160408,5
"102","NULL",16.6582352,44.0718561,5
"103","NULL",17.2705155,44.3395173,5
"104","NULL",17.43607,43.05243,5
"105","NULL",17.8904391,43.2575855,5
"106","NULL",18.2183333,44.8813889,5
"107","NULL",18.38669,43.85198,5
"108","(Domavium) Ad Drinum",19.1032,44.3869,4
"109","Ancus",15.5014,44.5265,4
"110","Colentum, insula",15.595,43.8257,4
"111","Epidotium - Ancus",15.4557,44.6142,4
"112","NULL",14.4132,44.83678,4
"113","NULL",14.5827323,45.2794773,4
"114","NULL",15.1840255,44.2430736,4
"115","NULL",15.4641845,44.1170532,4
"116","NULL",15.66907,44.02034,4
"117","NULL",15.9208,43.8227,4
"118","NULL",16.2255311,44.6876805,4
"119","NULL",16.6534966,43.7425382,4
"120","NULL",16.69133,43.44471,4
"121","NULL",16.70836,44.97785,4
"122","NULL",16.97372,43.33485,4
"123","NULL",17.1359692,42.9617883,4
"124","NULL",17.2766853,45.469965,4
"125","NULL",17.60768,43.82308,4
"126","NULL",17.62585,43.08041,4
"127","NULL",17.66617,44.22595,4
"128","NULL",17.6962,42.83836,4
"129","NULL",17.79146,44.15041,4
"130","NULL",18.34688,42.7108,4
"131","NULL",18.5324678,43.1681651,4
"132","NULL",19.2654984,42.4686384,4
"133","NULL",19.29335,43.78441,4
