"","findspot_ancient_clean","Longitude","Latitude","n"
"1","Salonae",16.4743,43.5384,117
"2","Municipium Malvesiatium",19.5333,43.9667,49
"3","Varvaria",15.9051,43.8892,24
"4","Burnum",15.9936,44.0317,23
"5","Raetinium",15.9292,44.7885,21
"6","Narona",17.625,43.0801,20
"7","Municipium S[---]",19.3204,43.3424,19
"8","NULL",16.3977809,43.9096687,19
"9","Asseria",15.6844,44.0103,18
"10","Rider",16.0486,43.7034,18
"11","Municipium Salvium",16.8281,44.1301,16
"12","Delminium",17.2302,43.7183,15
"13","Municipium Magnum",16.2988,43.8047,14
"14","Albona",14.1232,45.0949,13
"15","Doclea",19.2615,42.469,13
"16","Scardona",15.9208,43.8227,11
"17","Salviae",16.7894,44.0726,10
"18","Domavium",19.3585,44.1375,9
"19","Nedinum",15.5095,44.0721,9
"20","Tilurium",16.689,43.6139,9
"21","NULL",16.6067817,44.9142151,8
"22","Capedunum",19.6639,43.8561,7
"23","NULL",16.654819,43.3239838,7
"24","Aenona",15.1842,44.2435,6
"25","Aequum",16.6547,43.7423,6
"26","Corinium",15.6256,44.1075,6
"27","Diluntum",17.8414,43.1138,6
"28","Iader",15.223778,44.115501,6
"29","Metulum",15.2771,45.2255,6
"30","NULL",19.626587,43.3691604,6
"31","Ris---",18.9996,43.7977,6
"32","Acruvium",18.689,42.4438,5
"33","Baloie",17.1009,44.285,4
"34","Flanona",14.1801,45.1382,4
"35","NULL",17.2179703,43.4471115,4
"36","NULL",17.9055721,44.2010759,4
"37","Novae",17.1968,43.4057,4
"38","Senia",14.902,44.9931,4
"39","Andetrium",16.5206,43.6922,3
"40","Bigeste",17.5271,43.1818,3
"41","Capedunum",19.5333,43.9667,3
"42","Cissa",14.914,44.546,3
"43","NULL",16.36568,44.1808174,3
"44","NULL",17.0042416,43.8259136,3
"45","NULL",17.2766853,45.469965,3
"46","NULL",18.2183333,44.8813889,3
"47","Sidrona",15.7481,44.1354,3
"48","Tragurium",16.524,43.5594,3
"49","(Domavium) Ad Drinum",19.1032,44.3869,2
"50","Alveria",15.8139,43.9937,2
"51","Ansium",15.666,44.179,2
"52","Aquae S[---]",18.2991,43.8313,2
"53","Arba",14.7596,44.7565,2
"54","Arupium",15.2789,44.8428,2
"55","Brattia, insula",16.5444,43.3436,2
"56","Buthoe",18.8351,42.2789,2
"57","Epidaurum",18.2137,42.5848,2
"58","NULL",14.6927906,45.1737049,2
"59","NULL",16.605865,44.8291443,2
"60","NULL",17.3482759,43.6566752,2
"61","NULL",17.5341165,44.5634184,2
"62","NULL",17.8904391,43.2575855,2
"63","NULL",17.9624801,43.6534733,2
"64","NULL",19.3416603,44.2459418,2
"65","NULL",19.3584715,43.3565611,2
"66","NULL",19.6496772,43.3891969,2
"67","NULL",19.7469527,43.0337081,2
"68","Oneum",16.7019,43.4422,2
"69","Promona",16.2114,43.8955,2
"70","Salonae",16.3977809,43.9096687,2
"71","Ad Turres",17.625,43.0801,1
"72","Apsorus",14.3919,44.693,1
"73","Avendo",15.1447,44.92,1
"74","Castra",17.0998,44.785,1
"75","Epetium",16.5235,43.4987,1
"76","Iader",15.4483,43.9393,1
"77","Issa, insula",16.1865,43.0655,1
"78","Lopsica",14.9201,44.9283,1
"79","Municipium Malvesatium",19.5333,43.9667,1
"80","NULL",14.1379004,45.1754015,1
"81","NULL",14.1801746,45.1380212,1
"82","NULL",14.4132039,44.8367826,1
"83","NULL",15.0315195,44.0211315,1
"84","NULL",15.2356029,44.8688525,1
"85","NULL",15.2452183,45.6142808,1
"86","NULL",15.6125528,44.0333509,1
"87","NULL",15.669073,44.0203427,1
"88","NULL",15.9051,43.8892,1
"89","NULL",15.9415463,43.8521087,1
"90","NULL",15.9653321,43.9814264,1
"91","NULL",15.9936,44.0317,1
"92","NULL",16.1764005,44.6351728,1
"93","NULL",16.4361898,43.9306553,1
"94","NULL",16.4410422,44.9267812,1
"95","NULL",16.4930631,43.6912042,1
"96","NULL",16.6534966,43.7425382,1
"97","NULL",16.6913309,43.4447124,1
"98","NULL",16.708363,44.9778475,1
"99","NULL",16.7779,43.871,1
"100","NULL",16.7852904,44.1102759,1
"101","NULL",16.8628447,44.3205357,1
"102","NULL",16.8945925,42.7675928,1
"103","NULL",17.0630051,44.2826757,1
"104","NULL",17.1125675,43.3369154,1
"105","NULL",17.2304025,43.7644984,1
"106","NULL",17.2354538,43.38889,1
"107","NULL",17.2705155,44.3395173,1
"108","NULL",17.3723608,43.2050358,1
"109","NULL",17.4508821,44.0642198,1
"110","NULL",17.7148646,43.2180292,1
"111","NULL",17.7496291,44.1742841,1
"112","NULL",17.8843332,43.6968033,1
"113","NULL",18.0012121,43.1425604,1
"114","NULL",18.3866868,43.8519774,1
"115","NULL",18.6223041,43.5142306,1
"116","NULL",18.7169444,43.8369444,1
"117","NULL",18.9882097,44.7073901,1
"118","NULL",19.0039015,43.7985694,1
"119","NULL",19.2654984,42.4686384,1
"120","NULL",19.3209528,43.6511643,1
"121","NULL",19.3698163,44.1867893,1
"122","NULL",19.7028344,44.2443848,1
"123","NULL",19.7803537,43.792561,1
"124","NULL",19.7819,43.0028,1
"125","NULL",20.4155347,43.1282224,1
"126","Narona",17.6884,43.0645,1
"127","Nigra Corcyra, insula",17.1099,42.945,1
"128","Pelva",16.7779,43.871,1
"129","Pituntium",16.5681,43.4741,1
"130","Scodra",19.5277,42.0743,1
"131","Siculi",16.3004,43.5306,1
"132","Tarsatica",14.4444,45.3278,1
