"","findspot_ancient_clean","Longitude","Latitude","n"
"1","Salonae",16.4743,43.5384,334
"2","Iader",15.223778,44.115501,81
"3","Rider",16.0486,43.7034,73
"4","Burnum",15.9936,44.0317,67
"5","Narona",17.625,43.0801,63
"6","Asseria",15.6844,44.0103,57
"7","Tilurium",16.689,43.6139,49
"8","Aenona",15.1842,44.2435,37
"9","Bigeste",17.5271,43.1818,37
"10","Nedinum",15.5095,44.0721,28
"11","Corinium",15.6256,44.1075,24
"12","Aequum",16.6547,43.7423,22
"13","Albona",14.1232,45.0949,22
"14","Risinium",18.6969,42.5098,17
"15","Apsorus",14.3919,44.693,16
"16","Flanona",14.1801,45.1382,14
"17","Epidaurum",18.2137,42.5848,12
"18","Ninia",16.1994,44.0408,12
"19","Raetinium",15.9292,44.7885,12
"20","Tragurium",16.524,43.5594,12
"21","Doclea",19.2615,42.469,11
"22","Varvaria",15.9051,43.8892,11
"23","Acruvium",18.689,42.4438,10
"24","Issa, insula",16.1865,43.0655,10
"25","Andetrium",16.5206,43.6922,9
"26","Iader",15.4483,43.9393,9
"27","Ansium",15.666,44.179,8
"28","Siculi",16.3004,43.5306,8
"29","Crexa",14.3542,45.112,7
"30","Municipium Magnum",16.2988,43.8047,7
"31","Senia",14.902,44.9931,7
"32","Sidrona",15.7481,44.1354,7
"33","Buthoe",18.8351,42.2789,6
"34","Curicum",14.7407,44.9742,6
"35","Scardona",15.9208,43.8227,6
"36","Solentia, insula",16.2752,43.3972,6
"37","Arba",14.7596,44.7565,5
"38","Cissa",14.914,44.546,5
"39","Municipium Salvium",16.8281,44.1301,5
"40","Narona",17.6884,43.0645,5
"41","Alveria",15.8139,43.9937,4
"42","Argyruntum",15.4403,44.2951,4
"43","Epetium",16.5235,43.4987,4
"44","NULL",15.9208,43.8227,4
"45","NULL",16.9737189,43.3348513,4
"46","Brattia, insula",16.5444,43.3436,3
"47","Delminium",17.2302,43.7183,3
"48","Hedum Castellum Daesitiatium",18.2634,44.0184,3
"49","Municipium Malvesiatium",19.5333,43.9667,3
"50","NULL",17.0042416,43.8259136,3
"51","Pituntium",16.5681,43.4741,3
"52","Tarsatica",14.4444,45.3278,3
"53","Ansium",15.6655,44.1788,2
"54","Arupium",15.2789,44.8428,2
"55","Cissa, insula",15.207,44.3262,2
"56","Colentum, insula",15.595,43.8257,2
"57","NULL",15.0315195,44.0211315,2
"58","NULL",15.2452183,45.6142808,2
"59","NULL",16.654819,43.3239838,2
"60","NULL",17.2354538,43.38889,2
"61","NULL",17.4288843,42.925148,2
"62","NULL",17.540558,43.1904758,2
"63","NULL",19.626587,43.3691604,2
"64","NULL",19.7176308,43.2309869,2
"65","NULL",20.0772378,42.3723673,2
"66","Promona",16.2114,43.8955,2
"67","Scodra",19.5277,42.0743,2
"68","Aquae S(---)",18.3426533,43.9016526,1
"69","Aufustianis",17.3588,43.3203,1
"70","Boa, insula",16.3388,43.4995,1
"71","Diluntum",17.8414,43.1138,1
"72","Domavium",19.3585,44.1375,1
"73","Epidotium - Ancus",15.4557,44.6142,1
"74","Fulfinum",14.5441,45.204,1
"75","Hedum Castellum Daesitiatium",18.2782592,43.9902346,1
"76","Lissus",19.6468,41.7797,1
"77","Lopsica",14.9201,44.9283,1
"78","Municipium S[---]",19.3204,43.3424,1
"79","NULL",14.1801746,45.1380212,1
"80","NULL",14.3162906,44.5759408,1
"81","NULL",14.3927571,44.6935722,1
"82","NULL",14.4132039,44.8367826,1
"83","NULL",15.0728046,44.5277802,1
"84","NULL",15.1840255,44.2430736,1
"85","NULL",15.3220745,43.805438,1
"86","NULL",15.4641845,44.1170532,1
"87","NULL",15.6335444,44.1358546,1
"88","NULL",15.669073,44.0203427,1
"89","NULL",15.923372,43.8178655,1
"90","NULL",15.9653321,43.9814264,1
"91","NULL",16.0072244,44.0160408,1
"92","NULL",16.032173,43.9743322,1
"93","NULL",16.0454253,43.9559481,1
"94","NULL",16.1994,44.0408,1
"95","NULL",16.2255311,44.6876805,1
"96","NULL",16.36568,44.1808174,1
"97","NULL",16.3977809,43.9096687,1
"98","NULL",16.4919213,43.5441591,1
"99","NULL",16.4969241,43.5402396,1
"100","NULL",16.603408,43.3546077,1
"101","NULL",16.6534966,43.7425382,1
"102","NULL",16.6582352,44.0718561,1
"103","NULL",16.9737159,43.8406854,1
"104","NULL",17.1125675,43.3369154,1
"105","NULL",17.2179703,43.4471115,1
"106","NULL",17.2766853,45.469965,1
"107","NULL",17.2795401,43.1404702,1
"108","NULL",17.3082922,43.9793723,1
"109","NULL",17.3306923,43.4024187,1
"110","NULL",17.3723608,43.2050358,1
"111","NULL",17.6897181,42.8566583,1
"112","NULL",17.791462,44.150409,1
"113","NULL",17.8708226,42.8848331,1
"114","NULL",17.8904391,43.2575855,1
"115","NULL",18.0782775,43.9438172,1
"116","NULL",18.1138889,43.2286111,1
"117","NULL",18.3866868,43.8519774,1
"118","NULL",18.9488746,42.7739559,1
"119","NULL",19.0671192,42.1321157,1
"120","NULL",19.2654984,42.4686384,1
"121","NULL",19.437214,42.2112922,1
"122","NULL",19.6496772,43.3891969,1
"123","Nicopolis ad Istrum",24.8947,43.7009,1
"124","Oneum",16.7019,43.4422,1
"125","Pelva",16.7779,43.871,1
"126","Pharia, insula",16.4428,43.1725,1
"127","Pharus",16.6434,43.1661,1
"128","Ris---",18.9996,43.7977,1
"129","Salonae",16.4919213,43.5441591,1
"130","Salviae",16.7894,44.0726,1
"131","Scardona; Tragurium",15.9208,43.8227,1
