"","findspot_ancient_clean","Longitude","Latitude","n"
"1","Salonae",16.4743,43.5384,377
"2","Iader",15.223778,44.115501,82
"3","Rider",16.0486,43.7034,61
"4","Burnum",15.9936,44.0317,60
"5","Asseria",15.6844,44.0103,52
"6","Tilurium",16.689,43.6139,45
"7","Narona",17.625,43.0801,43
"8","Bigeste",17.5271,43.1818,39
"9","Aenona",15.1842,44.2435,24
"10","Aequum",16.6547,43.7423,23
"11","Risinium",18.6969,42.5098,19
"12","Corinium",15.6256,44.1075,17
"13","Doclea",19.2615,42.469,17
"14","Albona",14.1232,45.0949,15
"15","Nedinum",15.5095,44.0721,15
"16","Ninia",16.1994,44.0408,15
"17","Acruvium",18.689,42.4438,14
"18","Raetinium",15.9292,44.7885,13
"19","Apsorus",14.3919,44.693,11
"20","Epidaurum",18.2137,42.5848,10
"21","Tragurium",16.524,43.5594,10
"22","Ansium",15.666,44.179,9
"23","Crexa",14.3542,45.112,8
"24","Curicum",14.7407,44.9742,8
"25","Flanona",14.1801,45.1382,8
"26","Siculi",16.3004,43.5306,8
"27","Iader",15.4483,43.9393,7
"28","Issa, insula",16.1865,43.0655,7
"29","Municipium S[---]",19.3204,43.3424,7
"30","Municipium Salvium",16.8281,44.1301,7
"31","Andetrium",16.5206,43.6922,6
"32","Arba",14.7596,44.7565,6
"33","Buthoe",18.8351,42.2789,6
"34","Delminium",17.2302,43.7183,6
"35","Municipium Magnum",16.2988,43.8047,6
"36","Municipium Malvesiatium",19.5333,43.9667,6
"37","NULL",16.9737159,43.8406854,6
"38","Pelva",16.7779,43.871,6
"39","Senia",14.902,44.9931,6
"40","Solentia, insula",16.2752,43.3972,6
"41","Argyruntum",15.4403,44.2951,5
"42","Hedum Castellum Daesitiatium",18.2634,44.0184,5
"43","Narona",17.6884,43.0645,5
"44","Sidrona",15.7481,44.1354,5
"45","Epetium",16.5235,43.4987,4
"46","NULL",16.36568,44.1808174,4
"47","NULL",16.9737189,43.3348513,4
"48","NULL",17.540558,43.1904758,4
"49","Pituntium",16.5681,43.4741,4
"50","Alveria",15.8139,43.9937,3
"51","Brattia, insula",16.5444,43.3436,3
"52","NULL",15.9208,43.8227,3
"53","NULL",17.6076793,43.8230831,3
"54","Promona",16.2114,43.8955,3
"55","Scardona",15.9208,43.8227,3
"56","Varvaria",15.9051,43.8892,3
"57","Ad Turres",17.751,43.1604,2
"58","Ansium",15.6655,44.1788,2
"59","Cissa",14.914,44.546,2
"60","Colentum, insula",15.595,43.8257,2
"61","Diluntum",17.8414,43.1138,2
"62","Epidotium - Ancus",15.4557,44.6142,2
"63","Lissus",19.6468,41.7797,2
"64","NULL",16.2255311,44.6876805,2
"65","NULL",17.0042416,43.8259136,2
"66","NULL",17.2354538,43.38889,2
"67","NULL",17.3082922,43.9793723,2
"68","NULL",17.4288843,42.925148,2
"69","NULL",18.0402685,43.9494237,2
"70","NULL",19.2654984,42.4686384,2
