"","findspot_ancient_clean","Longitude","Latitude","n"
"1","Salonae",16.4743,43.5384,89
"2","Burnum",15.9936,44.0317,37
"3","Tilurium",16.689,43.6139,26
"4","Bigeste",17.5271,43.1818,17
"5","Narona",17.625,43.0801,11
"6","Rider",16.0486,43.7034,9
"7","Aequum",16.6547,43.7423,8
"8","Iader",15.223778,44.115501,6
"9","Asseria",15.6844,44.0103,5
"10","Municipium S[---]",19.3204,43.3424,5
"11","Aenona",15.1842,44.2435,4
"12","Nedinum",15.5095,44.0721,4
"13","Ninia",16.1994,44.0408,3
"14","Siculi",16.3004,43.5306,3
"15","Solentia, insula",16.2752,43.3972,3
"16","Varvaria",15.9051,43.8892,3
"17","Andetrium",16.5206,43.6922,2
"18","Curicum",14.7407,44.9742,2
"19","Delminium",17.2302,43.7183,2
"20","Doclea",19.2615,42.469,2
"21","Epidaurum",18.2137,42.5848,2
"22","Municipium Salvium",16.8281,44.1301,2
"23","NULL",17.540558,43.1904758,2
"24","NULL",19.7176308,43.2309869,2
"25","Alveria",15.8139,43.9937,1
"26","Apsorus",14.3919,44.693,1
"27","Cissa",14.914,44.546,1
"28","Corinium",15.6256,44.1075,1
"29","Diluntum",17.8414,43.1138,1
"30","Flanona",14.1801,45.1382,1
"31","Laurento",17.0580946,43.2651336,1
"32","Lissus",19.6468,41.7797,1
"33","Municipium Magnum",16.2988,43.8047,1
"34","NULL",15.669073,44.0203427,1
"35","NULL",15.8964835,43.7337065,1
"36","NULL",16.2255311,44.6876805,1
"37","NULL",16.5206,43.6922,1
"38","NULL",17.2733543,43.0080442,1
"39","NULL",17.3306923,43.4024187,1
"40","NULL",17.4773288,43.2403439,1
"41","NULL",17.5341165,44.5634184,1
"42","NULL",17.6076793,43.8230831,1
"43","NULL",17.7534084,44.1661984,1
"44","NULL",17.82552,43.6850325,1
"45","NULL",17.9624801,43.6534733,1
"46","NULL",18.0402685,43.9494237,1
"47","NULL",18.0782775,43.9438172,1
"48","NULL",18.1138889,43.2286111,1
"49","NULL",18.1189478,44.1301029,1
"50","NULL",18.3866868,43.8519774,1
"51","NULL",18.5324678,43.1681651,1
"52","NULL",19.0671192,42.1321157,1
"53","NULL",19.2654984,42.4686384,1
"54","NULL",19.4107265,42.2043216,1
"55","NULL",19.8154494,43.4597045,1
"56","NULL",20.0772378,42.3723673,1
"57","NULL",21.3558995,44.9899459,1
"58","Nicopolis ad Istrum",24.8947,43.7009,1
"59","Pelva",16.7779,43.871,1
"60","Pituntium",16.5681,43.4741,1
"61","Promona",16.2114,43.8955,1
"62","Scardona",15.9208,43.8227,1
"63","Senia",14.902,44.9931,1
"64","Sidrona",15.7481,44.1354,1
"65","Tarsatica",14.4444,45.3278,1
"66","Tragurium",16.524,43.5594,1
