"","findspot_ancient_clean","Longitude","Latitude","n"
"1","Salonae",16.4743,43.5384,402
"2","Burnum",15.9936,44.0317,46
"3","Municipium S[---]",19.3204,43.3424,34
"4","Tilurium",16.689,43.6139,31
"5","Narona",17.625,43.0801,25
"6","Bigeste",17.5271,43.1818,20
"7","Asseria",15.6844,44.0103,15
"8","Aequum",16.6547,43.7423,14
"9","Municipium Salvium",16.8281,44.1301,13
"10","Raetinium",15.9292,44.7885,13
"11","Iader",15.223778,44.115501,12
"12","Rider",16.0486,43.7034,12
"13","Municipium Malvesiatium",19.5333,43.9667,10
"14","Solentia, insula",16.2752,43.3972,9
"15","NULL",17.9624801,43.6534733,8
"16","NULL",19.626587,43.3691604,8
"17","NULL",17.9055721,44.2010759,7
"18","Pituntium",16.5681,43.4741,7
"19","Delminium",17.2302,43.7183,6
"20","Pharus",16.6434,43.1661,6
"21","Siculi",16.3004,43.5306,6
"22","Aenona",15.1842,44.2435,5
"23","Doclea",19.2615,42.469,5
"24","Domavium",19.3585,44.1375,5
"25","Nedinum",15.5095,44.0721,5
"26","Tragurium",16.524,43.5594,5
"27","Epidaurum",18.2137,42.5848,4
"28","Varvaria",15.9051,43.8892,4
"29","Diluntum",17.8414,43.1138,3
"30","Epetium",16.5235,43.4987,3
"31","NULL",16.2255311,44.6876805,3
"32","NULL",16.4919213,43.5441591,3
"33","NULL",16.9482271,43.3582543,3
"34","NULL",17.1534312,43.4703365,3
"35","NULL",19.2933519,43.7844137,3
"36","NULL",19.3209528,43.6511643,3
"37","Ninia",16.1994,44.0408,3
"38","Salviae",16.7894,44.0726,3
"39","Scardona",15.9208,43.8227,3
"40","Andetrium",16.5206,43.6922,2
"41","Capedunum",19.5333,43.9667,2
"42","Cissa",14.914,44.546,2
"43","Curicum",14.7407,44.9742,2
"44","Issa, insula",16.1865,43.0655,2
"45","Laurento",16.6913309,43.4447124,2
"46","NULL",15.1840255,44.2430736,2
"47","NULL",15.4641845,44.1170532,2
"48","NULL",15.669073,44.0203427,2
"49","NULL",16.708363,44.9778475,2
"50","NULL",17.2733543,43.0080442,2
"51","NULL",17.4360676,43.0524293,2
"52","NULL",17.540558,43.1904758,2
"53","NULL",17.6962001,42.8383616,2
"54","NULL",17.8904391,43.2575855,2
"55","NULL",18.0402685,43.9494237,2
"56","NULL",18.0486381,43.8683908,2
"57","NULL",18.0782775,43.9438172,2
"58","NULL",18.1520712,43.7874012,2
"59","NULL",19.5230742,43.5839721,2
"60","NULL",19.7176308,43.2309869,2
"61","NULL",20.0772378,42.3723673,2
"62","Novae",17.1968,43.4057,2
"63","Pelva",16.7779,43.871,2
"64","Promona",16.2114,43.8955,2
"65","Alveria",15.8139,43.9937,1
"66","Apsorus",14.3919,44.693,1
"67","Aquae S[---]",18.2991,43.8313,1
"68","Arba",14.7596,44.7565,1
"69","Argyruntum",15.4403,44.2951,1
"70","Arupium",15.2789,44.8428,1
"71","Bersellum",17.5765,44.241,1
"72","Brattia, insula",16.8377033,43.3331922,1
"73","Buthoe",18.8351,42.2789,1
"74","Corinium",15.6256,44.1075,1
"75","Decimin",16.6534966,43.7425382,1
"76","Flanona",14.1801,45.1382,1
"77","Hedum Castellum Daesitiatium",18.2634,44.0184,1
"78","Laurento",17.0580946,43.2651336,1
"79","Lissus",19.6468,41.7797,1
"80","Municipium Magnum",16.2988,43.8047,1
"81","NULL",15.2789,44.8428,1
"82","NULL",15.5486303,45.4892522,1
"83","NULL",15.8964835,43.7337065,1
"84","NULL",16.2605765,43.3996977,1
"85","NULL",16.3359971,43.6416336,1
"86","NULL",16.5206,43.6922,1
"87","NULL",16.603408,43.3546077,1
"88","NULL",16.6062547,43.4936069,1
"89","NULL",16.6534966,43.7425382,1
"90","NULL",16.654819,43.3239838,1
"91","NULL",16.8178684,44.4195055,1
"92","NULL",16.9171227,43.409082,1
"93","NULL",17.0042416,43.8259136,1
"94","NULL",17.2705155,44.3395173,1
"95","NULL",17.3306923,43.4024187,1
"96","NULL",17.4288843,42.925148,1
"97","NULL",17.4773288,43.2403439,1
"98","NULL",17.5341165,44.5634184,1
"99","NULL",17.583559,43.9385698,1
"100","NULL",17.5889536,45.3250365,1
"101","NULL",17.6076793,43.8230831,1
"102","NULL",17.6258524,43.0804139,1
"103","NULL",17.6661738,44.2259454,1
"104","NULL",17.7534084,44.1661984,1
"105","NULL",17.82552,43.6850325,1
"106","NULL",17.838256,44.2311276,1
"107","NULL",17.9507753,42.6858671,1
"108","NULL",18.0235889,44.0038431,1
"109","NULL",18.0640574,44.7072623,1
"110","NULL",18.1138889,43.2286111,1
"111","NULL",18.1189478,44.1301029,1
"112","NULL",18.2025181,43.8226456,1
"113","NULL",18.3229637,43.0283751,1
"114","NULL",18.346882,42.7107972,1
"115","NULL",18.3866868,43.8519774,1
"116","NULL",18.4410799,42.7968707,1
"117","NULL",18.5324678,43.1681651,1
"118","NULL",18.9702316,45.3601825,1
"119","NULL",18.976111,43.568889,1
"120","NULL",19.0671192,42.1321157,1
"121","NULL",19.2654984,42.4686384,1
"122","NULL",19.3584715,43.3565611,1
"123","NULL",19.4107265,42.2043216,1
"124","NULL",19.5922106,43.3716225,1
"125","NULL",19.6252327,43.4596534,1
"126","NULL",19.6496772,43.3891969,1
"127","NULL",19.8154494,43.4597045,1
"128","NULL",19.9564933,43.9733296,1
"129","NULL",21.3558995,44.9899459,1
"130","NULL",22.0825,42.3641667,1
"131","Nareste",16.4919213,43.5441591,1
"132","Nicopolis ad Istrum",24.8947,43.7009,1
"133","Nigra Corcyra, insula",17.1099,42.945,1
"134","Oneum",16.7019,43.4422,1
"135","Salonae; Salonae",16.4743,43.5384,1
"136","Senia",14.902,44.9931,1
"137","Sidrona",15.7481,44.1354,1
"138","Tarsatica",14.4444,45.3278,1
