"","findspot_ancient_clean","Longitude","Latitude","n"
"1","Salonae",16.4743,43.5384,166
"2","Narona",17.625,43.0801,55
"3","Municipium Malvesiatium",19.5333,43.9667,45
"4","Burnum",15.9936,44.0317,29
"5","Raetinium",15.9292,44.7885,24
"6","Rider",16.0486,43.7034,24
"7","Varvaria",15.9051,43.8892,24
"8","Delminium",17.2302,43.7183,18
"9","Municipium Magnum",16.2988,43.8047,18
"10","NULL",16.3977809,43.9096687,18
"11","Aequum",16.6547,43.7423,17
"12","Asseria",15.6844,44.0103,17
"13","Doclea",19.2615,42.469,17
"14","Municipium Salvium",16.8281,44.1301,17
"15","Nedinum",15.5095,44.0721,17
"16","Scardona",15.9208,43.8227,16
"17","Tilurium",16.689,43.6139,16
"18","Municipium S[---]",19.3204,43.3424,15
"19","Albona",14.1232,45.0949,14
"20","Novae",17.1968,43.4057,14
"21","Aenona",15.1842,44.2435,13
"22","NULL",16.654819,43.3239838,12
"23","Iader",15.223778,44.115501,10
"24","Salviae",16.7894,44.0726,10
"25","Domavium",19.3585,44.1375,9
"26","Flanona",14.1801,45.1382,9
"27","Corinium",15.6256,44.1075,8
"28","Metulum",15.2771,45.2255,8
"29","NULL",16.6067817,44.9142151,8
"30","Capedunum",19.6639,43.8561,7
"31","NULL",17.0042416,43.8259136,7
"32","Senia",14.902,44.9931,7
"33","NULL",19.626587,43.3691604,6
"34","Andetrium",16.5206,43.6922,5
"35","Arupium",15.2789,44.8428,5
"36","Baloie",17.1009,44.285,5
"37","Diluntum",17.8414,43.1138,5
"38","Epetium",16.5235,43.4987,5
"39","NULL",17.9055721,44.2010759,5
"40","Ris---",18.9996,43.7977,5
"41","Apsorus",14.3919,44.693,4
"42","Bigeste",17.5271,43.1818,4
"43","Epidaurum",18.2137,42.5848,4
"44","Muccurum",17.0178,43.2969,4
"45","NULL",17.2179703,43.4471115,4
"46","NULL",17.2766853,45.469965,4
"47","Promona",16.2114,43.8955,4
"48","Tragurium",16.524,43.5594,4
"49","Alveria",15.8139,43.9937,3
"50","Cissa",14.914,44.546,3
"51","Iader",15.4483,43.9393,3
"52","NULL",16.36568,44.1808174,3
"53","NULL",16.605865,44.8291443,3
"54","NULL",17.9624801,43.6534733,3
"55","NULL",18.2183333,44.8813889,3
"56","Oneum",16.7019,43.4422,3
"57","Sidrona",15.7481,44.1354,3
"58","Aquae S[---]",18.2991,43.8313,2
"59","Arba",14.7596,44.7565,2
"60","Brattia, insula",16.5444,43.3436,2
"61","Capedunum",19.5333,43.9667,2
"62","Issa, insula",16.1865,43.0655,2
"63","NULL",15.0315195,44.0211315,2
"64","NULL",16.0072244,44.0160408,2
"65","NULL",16.708363,44.9778475,2
"66","NULL",17.3482759,43.6566752,2
"67","NULL",17.3723608,43.2050358,2
"68","NULL",17.8904391,43.2575855,2
"69","NULL",18.0640574,44.7072623,2
"70","NULL",18.9765501,43.6673112,2
"71","NULL",19.3416603,44.2459418,2
"72","NULL",19.3584715,43.3565611,2
"73","NULL",19.6496772,43.3891969,2
"74","NULL",19.7469527,43.0337081,2
"75","Narona",17.6884,43.0645,2
"76","Pituntium",16.5681,43.4741,2
"77","Salonae",16.3977809,43.9096687,2
"78","Siculi",16.3004,43.5306,2
"79","(Domavium) Ad Drinum",19.1032,44.3869,1
"80","Acruvium",18.689,42.4438,1
"81","Aquae S[...]",18.2991,43.8313,1
"82","Aufustianis",17.3588,43.3203,1
"83","Avendo",15.1447,44.92,1
"84","Castra",17.0998,44.785,1
"85","Cissa, insula",15.207,44.3262,1
"86","Colentum, insula",15.595,43.8257,1
"87","Lissus",19.6468,41.7797,1
"88","Municipium Malvesatium",19.5333,43.9667,1
"89","NULL",14.1379004,45.1754015,1
"90","NULL",14.1801746,45.1380212,1
"91","NULL",14.4132039,44.8367826,1
"92","NULL",14.6927906,45.1737049,1
"93","NULL",15.2452183,45.6142808,1
"94","NULL",15.6125528,44.0333509,1
"95","NULL",15.669073,44.0203427,1
"96","NULL",15.9051,43.8892,1
"97","NULL",15.9208,43.8227,1
"98","NULL",15.923372,43.8178655,1
"99","NULL",15.9415463,43.8521087,1
"100","NULL",15.9653321,43.9814264,1
"101","NULL",15.9936,44.0317,1
"102","NULL",16.1764005,44.6351728,1
"103","NULL",16.1834976,43.0599322,1
"104","NULL",16.2085222,43.8933717,1
"105","NULL",16.4361898,43.9306553,1
"106","NULL",16.4410422,44.9267812,1
"107","NULL",16.4919213,43.5441591,1
"108","NULL",16.4930631,43.6912042,1
"109","NULL",16.603408,43.3546077,1
"110","NULL",16.6534966,43.7425382,1
"111","NULL",16.6913309,43.4447124,1
"112","NULL",16.7852904,44.1102759,1
"113","NULL",16.8628447,44.3205357,1
"114","NULL",16.8945925,42.7675928,1
"115","NULL",17.0630051,44.2826757,1
"116","NULL",17.1125675,43.3369154,1
"117","NULL",17.2304025,43.7644984,1
"118","NULL",17.254913,43.4295821,1
