"","findspot_ancient_clean","Longitude","Latitude","n"
"1","Salonae",16.4743,43.5384,270
"2","Burnum",15.9936,44.0317,122
"3","Tilurium",16.689,43.6139,90
"4","Bigeste",17.5271,43.1818,55
"5","Andetrium",16.5206,43.6922,26
"6","Narona",17.625,43.0801,25
"7","Municipium Malvesiatium",19.5333,43.9667,22
"8","Iader",15.4483,43.9393,17
"9","Municipium Magnum",16.2988,43.8047,12
"10","Novae",17.1968,43.4057,10
"11","Municipium S[---]",19.3204,43.3424,9
"12","Ninia",16.1994,44.0408,9
"13","Raetinium",15.9292,44.7885,8
"14","Siculi",16.3004,43.5306,8
"15","Aequum",16.6547,43.7423,7
"16","Doclea",19.2615,42.469,7
"17","Pituntium",16.5681,43.4741,5
"18","Corinium",15.6256,44.1075,4
"19","Diluntum",17.8414,43.1138,4
"20","Domavium",19.3585,44.1375,4
"21","Epidaurum",18.2137,42.5848,4
"22","Metulum",15.2771,45.2255,4
"23","NULL",15.9208,43.8227,4
"24","NULL",17.540558,43.1904758,4
"25","NULL",18.0640574,44.7072623,4
"26","Rider",16.0486,43.7034,4
"27","Salviae",16.7894,44.0726,4
"28","Tragurium",16.524,43.5594,4
"29","Albona",14.1232,45.0949,3
"30","Arba",14.7596,44.7565,3
"31","Delminium",17.2302,43.7183,3
"32","Municipium Salvium",16.8281,44.1301,3
"33","NULL",16.654819,43.3239838,3
"34","NULL",19.626587,43.3691604,3
"35","Nedinum",15.5095,44.0721,3
"36","Promona",16.2114,43.8955,3
"37","Ansium",15.666,44.179,2
"38","Argyruntum",15.4403,44.2951,2
"39","Asseria",15.6844,44.0103,2
"40","NULL",16.3977809,43.9096687,2
"41","NULL",16.6062547,43.4936069,2
"42","NULL",17.2354538,43.38889,2
"43","NULL",17.5172138,43.2253241,2
"44","NULL",18.9765501,43.6673112,2
"45","Ris---",18.9996,43.7977,2
"46","Senia",14.902,44.9931,2
"47","(Domavium) Ad Drinum",19.1032,44.3869,1
"48","Ad Turres",17.751,43.1604,1
"49","Aenona",15.1842,44.2435,1
"50","Alveria",15.8139,43.9937,1
"51","Apsorus",14.3919,44.693,1
"52","Arupium",15.2789,44.8428,1
"53","Aufustianis",17.3588,43.3203,1
"54","Avendo",15.1447,44.92,1
"55","Baloie",17.1009,44.285,1
"56","Bersellum",17.5765,44.241,1
"57","Capedunum",19.6639,43.8561,1
"58","Castra",17.0998,44.785,1
"59","Colentum, insula",15.595,43.8257,1
"60","Epetium",16.5235,43.4987,1
"61","Flanona",14.1801,45.1382,1
"62","Fulfinum",14.5441,45.204,1
"63","Laurento",17.0580946,43.2651336,1
"64","Muccurum",17.0178,43.2969,1
"65","Municipium Malvesatium",19.5333,43.9667,1
"66","NULL",15.0315195,44.0211315,1
"67","NULL",15.2452183,45.6142808,1
"68","NULL",15.44778,44.44889,1
"69","NULL",15.923372,43.8178655,1
"70","NULL",16.0454253,43.9559481,1
"71","NULL",16.1994,44.0408,1
"72","NULL",16.199433,44.04085,1
"73","NULL",16.2226592,44.0169772,1
"74","NULL",16.2605765,43.3996977,1
"75","NULL",16.36568,44.1808174,1
"76","NULL",16.3760681,45.0492984,1
"77","NULL",16.4919213,43.5441591,1
"78","NULL",16.605865,44.8291443,1
"79","NULL",16.6534966,43.7425382,1
"80","NULL",16.6913309,43.4447124,1
"81","NULL",16.708363,44.9778475,1
"82","NULL",16.7779,43.871,1
"83","NULL",16.9737159,43.8406854,1
"84","NULL",17.3082922,43.9793723,1
"85","NULL",17.3723608,43.2050358,1
"86","NULL",17.4288843,42.925148,1
"87","NULL",17.4773288,43.2403439,1
"88","NULL",17.5120379,43.2007125,1
"89","NULL",17.528889,43.182222,1
"90","NULL",17.583559,43.9385698,1
"91","NULL",17.9055721,44.2010759,1
"92","NULL",18.0402685,43.9494237,1
"93","NULL",18.1041299,43.5040612,1
"94","NULL",18.1520712,43.7874012,1
"95","NULL",18.2177461,42.5814314,1
"96","NULL",18.3866868,43.8519774,1
"97","NULL",19.3584715,43.3565611,1
"98","NULL",20.0772378,42.3723673,1
"99","Narona",17.6884,43.0645,1
"100","Nigra Corcyra, insula",17.1099,42.945,1
"101","Oneum",16.7019,43.4422,1
"102","Pharia, insula",16.4428,43.1725,1
"103","Salonae",16.3977809,43.9096687,1
"104","Scardona",15.9208,43.8227,1
"105","Scodra",19.5277,42.0743,1
"106","Solentia, insula",16.2752,43.3972,1
"107","Tarsatica",14.4444,45.3278,1
