"","findspot_ancient_clean","Longitude","Latitude","n"
"1","Salonae",16.4743,43.5384,3203
"2","Narona",17.625,43.0801,187
"3","Iader",15.223778,44.115501,130
"4","Burnum",15.9936,44.0317,122
"5","Raetinium",15.9292,44.7885,117
"6","Rider",16.0486,43.7034,112
"7","Asseria",15.6844,44.0103,105
"8","Tilurium",16.689,43.6139,90
"9","Municipium Malvesiatium",19.5333,43.9667,89
"10","Municipium S[---]",19.3204,43.3424,87
"11","Doclea",19.2615,42.469,78
"12","Aequum",16.6547,43.7423,77
"13","Aenona",15.1842,44.2435,59
"14","Municipium Salvium",16.8281,44.1301,59
"15","Bigeste",17.5271,43.1818,55
"16","Epetium",16.5235,43.4987,52
"17","Nedinum",15.5095,44.0721,49
"18","Tragurium",16.524,43.5594,47
"19","Delminium",17.2302,43.7183,43
"20","Albona",14.1232,45.0949,39
"21","Pituntium",16.5681,43.4741,39
"22","Risinium",18.6969,42.5098,39
"23","Corinium",15.6256,44.1075,35
"24","Municipium Magnum",16.2988,43.8047,34
"25","Varvaria",15.9051,43.8892,34
"26","Ninia",16.1994,44.0408,29
"27","Epidaurum",18.2137,42.5848,28
"28","Domavium",19.3585,44.1375,27
"29","Novae",17.1968,43.4057,27
"30","Acruvium",18.689,42.4438,26
"31","Andetrium",16.5206,43.6922,26
"32","Promona",16.2114,43.8955,26
"33","Siculi",16.3004,43.5306,26
"34","Scardona",15.9208,43.8227,25
"35","Apsorus",14.3919,44.693,24
"36","Flanona",14.1801,45.1382,22
"37","Brattia, insula",16.5444,43.3436,20
"38","Ansium",15.666,44.179,18
"39","Buthoe",18.8351,42.2789,17
"40","Issa, insula",16.1865,43.0655,16
"41","Pelva",16.7779,43.871,16
"42","Solentia, insula",16.2752,43.3972,16
"43","Cissa",14.914,44.546,15
"44","Iader",15.4483,43.9393,15
"45","Nigra Corcyra, insula",17.1099,42.945,15
"46","Salviae",16.7894,44.0726,15
"47","Arupium",15.2789,44.8428,14
"48","Pharus",16.6434,43.1661,14
"49","Senia",14.902,44.9931,14
"50","Arba",14.7596,44.7565,12
"51","Diluntum",17.8414,43.1138,12
"52","Oneum",16.7019,43.4422,11
"53","Argyruntum",15.4403,44.2951,10
"54","Curicum",14.7407,44.9742,10
"55","Narona",17.6884,43.0645,10
"56","Sidrona",15.7481,44.1354,10
"57","Crexa",14.3542,45.112,9
"58","Capedunum",19.5333,43.9667,8
"59","Capedunum",19.6639,43.8561,8
"60","Hedum Castellum Daesitiatium",18.2634,44.0184,8
"61","Metulum",15.2771,45.2255,8
"62","Baloie",17.1009,44.285,7
"63","Ris---",18.9996,43.7977,7
"64","Ad Turres",17.751,43.1604,6
"65","Alveria",15.8139,43.9937,6
"66","Aquae S[---]",18.2991,43.8313,5
"67","Salonae",16.4919213,43.5441591,5
"68","Scodra",19.5277,42.0743,5
"69","Ancus",15.5014,44.5265,4
"70","Colentum, insula",15.595,43.8257,4
"71","Lissus",19.6468,41.7797,4
"72","Muccurum",17.0178,43.2969,4
"73","Tarsatica",14.4444,45.3278,4
"74","(Domavium) Ad Drinum",19.1032,44.3869,3
"75","Cissa, insula",15.207,44.3262,3
"76","Epidotium - Ancus",15.4557,44.6142,3
"77","Pharia, insula",16.4428,43.1725,3
"78","Salthua",18.6462,42.7661,3
"79","Ansium",15.6655,44.1788,2
"80","Avendo",15.1447,44.92,2
"81","Bersellum",17.5765,44.241,2
"82","Boa, insula",16.3388,43.4995,2
"83","Castra",17.0998,44.785,2
"84","Laurento",16.6913309,43.4447124,2
"85","Nareste",14.0623337,46.4323791,2
"86","Nareste",17.6258524,43.0804139,2
"87","Risinium",18.6945,42.5164,2
"88","Salonae",16.3977809,43.9096687,2
"89","Ad Dianam (Salonae)",16.3891,43.5085,1
"90","Ad Turres",14.6942,45.1716,1
"91","Ad Turres",17.625,43.0801,1
"92","Aequum - Tilurium, bei",16.6547,43.7423,1
"93","Aquae S[...]",18.2991,43.8313,1
"94","Aufustianis",17.3588,43.3203,1
"95","Brattia, insula",16.8377033,43.3331922,1
"96","Decimin",16.6534966,43.7425382,1
"97","Delminium",17.0825198,43.6908323,1
"98","Fulfinum",14.5441,45.204,1
"99","Hedum Castellum Daesitiatium",18.2782592,43.9902346,1
"100","Laurento",17.0580946,43.2651336,1
"101","Lopsica",14.9201,44.9283,1
"102","Melite, insula",17.5463244,42.7459754,1
"103","Municipium Malvesatium",19.5333,43.9667,1
"104","Nareste",16.4919213,43.5441591,1
"105","Nareste",16.6913309,43.4447124,1
"106","Risinum",18.6945,42.5164,1
"107","Salonae",15.6844,44.0103,1
"108","Salonae",16.447,43.5223,1
"109","Salonae",16.524,43.5594,1
"110","Salonae bei",16.4743,43.5384,1
"111","Salonae; Salonae",16.4743,43.5384,1
"112","Salonae; Salonae bei",16.4743,43.5384,1
"113","Scardona; Tragurium",15.9208,43.8227,1
