"","findspot_ancient_clean","Longitude","Latitude","n"
"1","Salonae",16.4743,43.5384,134
"2","Burnum",15.9936,44.0317,58
"3","Tilurium",16.689,43.6139,42
"4","Bigeste",17.5271,43.1818,40
"5","Iader",15.223778,44.115501,15
"6","Narona",17.625,43.0801,12
"7","Aequum",16.6547,43.7423,9
"8","Ninia",16.1994,44.0408,9
"9","Andetrium",16.5206,43.6922,8
"10","Asseria",15.6844,44.0103,8
"11","Corinium",15.6256,44.1075,7
"12","Doclea",19.2615,42.469,6
"13","Municipium Magnum",16.2988,43.8047,5
"14","Municipium Malvesiatium",19.5333,43.9667,5
"15","Raetinium",15.9292,44.7885,5
"16","Siculi",16.3004,43.5306,5
"17","Epidaurum",18.2137,42.5848,4
"18","NULL",15.9208,43.8227,4
"19","Nedinum",15.5095,44.0721,4
"20","Albona",14.1232,45.0949,3
"21","NULL",17.540558,43.1904758,3
"22","Rider",16.0486,43.7034,3
"23","Tragurium",16.524,43.5594,3
"24","Ansium",15.666,44.179,2
"25","Arba",14.7596,44.7565,2
"26","Argyruntum",15.4403,44.2951,2
"27","Baloie",17.1009,44.285,2
"28","Fulfinum",14.5441,45.204,2
"29","Iader",15.4483,43.9393,2
"30","NULL",17.2354538,43.38889,2
"31","Promona",16.2114,43.8955,2
"32","Senia",14.902,44.9931,2
"33","Aenona",15.1842,44.2435,1
"34","Alveria",15.8139,43.9937,1
"35","Apsorus",14.3919,44.693,1
"36","Asseria - Corinium",15.6844,44.0103,1
"37","Aufustianis",17.3588,43.3203,1
"38","Colentum, insula",15.595,43.8257,1
"39","Diluntum",17.8414,43.1138,1
"40","Flanona",14.1801,45.1382,1
"41","Laurento",17.0580946,43.2651336,1
"42","Municipium S[---]",19.3204,43.3424,1
"43","Municipium Salvium",16.8281,44.1301,1
"44","NULL",16.0072244,44.0160408,1
"45","NULL",16.0454253,43.9559481,1
"46","NULL",16.1966494,43.9386349,1
"47","NULL",16.1994,44.0408,1
"48","NULL",16.3977809,43.9096687,1
"49","NULL",16.6534966,43.7425382,1
"50","NULL",16.654819,43.3239838,1
"51","NULL",16.7779,43.871,1
"52","NULL",16.9737159,43.8406854,1
"53","NULL",17.1746449,44.1539086,1
"54","NULL",17.3723608,43.2050358,1
"55","NULL",17.4773288,43.2403439,1
"56","NULL",17.5120379,43.2007125,1
"57","NULL",17.528889,43.182222,1
"58","NULL",17.958448,43.078729,1
"59","NULL",18.0640574,44.7072623,1
"60","NULL",18.4606607,42.7968403,1
"61","NULL",18.9765501,43.6673112,1
"62","NULL",20.0772378,42.3723673,1
"63","Nareste",16.6289431,43.4592662,1
"64","Narona",17.6884,43.0645,1
"65","Oneum",16.7019,43.4422,1
"66","Pharia, insula",16.4428,43.1725,1
"67","Pituntium",16.5681,43.4741,1
"68","Ris---",18.9996,43.7977,1
"69","Risinium",18.6969,42.5098,1
"70","Scardona",15.9208,43.8227,1
"71","Sidrona",15.7481,44.1354,1
"72","Solentia, insula",16.2752,43.3972,1
"73","Tarsatica",14.4444,45.3278,1
"74","Varvaria",15.9051,43.8892,1
