,findspot_ancient_clean,Longitude,Latitude,n
1,Salonae,16.4743,43.5384,102
2,Burnum,15.9936,44.0317,50
3,Tilurium,16.689,43.6139,36
4,Bigeste,17.5271,43.1818,33
5,Iader,15.223778,44.115501,10
6,Narona,17.625,43.0801,9
7,Ninia,16.1994,44.0408,9
8,Aequum,16.6547,43.7423,6
9,Andetrium,16.5206,43.6922,5
10,Siculi,16.3004,43.5306,5
11,Albona,14.1232,45.0949,3
12,Corinium,15.6256,44.1075,3
13,Municipium Magnum,16.2988,43.8047,3
14,NULL,15.9208,43.8227,3
15,Rider,16.0486,43.7034,3
16,Ansium,15.666,44.179,2
17,Asseria,15.6844,44.0103,2
18,Epidaurum,18.2137,42.5848,2
19,NULL,17.2354538,43.38889,2
20,NULL,17.540558,43.1904758,2
21,Raetinium,15.9292,44.7885,2
22,Tragurium,16.524,43.5594,2
23,Apsorus,14.3919,44.693,1
24,Argyruntum,15.4403,44.2951,1
25,"Colentum, insula",15.595,43.8257,1
26,Diluntum,17.8414,43.1138,1
27,Doclea,19.2615,42.469,1
28,Flanona,14.1801,45.1382,1
29,Fulfinum,14.5441,45.204,1
30,Iader,15.4483,43.9393,1
31,Laurento,17.0580946,43.2651336,1
32,NULL,16.0454253,43.9559481,1
33,NULL,16.1994,44.0408,1
34,NULL,16.6534966,43.7425382,1
35,NULL,16.7779,43.871,1
36,NULL,16.9737159,43.8406854,1
37,NULL,17.4773288,43.2403439,1
38,NULL,17.5120379,43.2007125,1
39,NULL,20.0772378,42.3723673,1
40,Narona,17.6884,43.0645,1
41,Nedinum,15.5095,44.0721,1
42,Pituntium,16.5681,43.4741,1
43,Promona,16.2114,43.8955,1
44,Scardona,15.9208,43.8227,1
45,Senia,14.902,44.9931,1
46,"Solentia, insula",16.2752,43.3972,1
47,Tarsatica,14.4444,45.3278,1
