"","findspot_ancient_clean","Longitude","Latitude","n"
"1","Burnum",15.9936,44.0317,33
"2","Salonae",16.4743,43.5384,29
"3","Tilurium",16.689,43.6139,22
"4","Bigeste",17.5271,43.1818,16
"5","Aequum",16.6547,43.7423,2
"6","Iader",15.223778,44.115501,2
"7","Siculi",16.3004,43.5306,2
"8","Andetrium",16.5206,43.6922,1
"9","Apsorus",14.3919,44.693,1
"10","Doclea",19.2615,42.469,1
"11","Municipium Magnum",16.2988,43.8047,1
"12","NULL",17.540558,43.1904758,1
"13","Narona",17.625,43.0801,1
"14","Ninia",16.1994,44.0408,1
"15","Promona",16.2114,43.8955,1
"16","Solentia, insula",16.2752,43.3972,1
