"","findspot_ancient_clean","Longitude","Latitude","n"
"1","Salonae",16.4743,43.5384,56
"2","Burnum",15.9936,44.0317,34
"3","Tilurium",16.689,43.6139,23
"4","Bigeste",17.5271,43.1818,17
"5","Municipium S[---]",19.3204,43.3424,5
"6","Iader",15.223778,44.115501,3
"7","Aequum",16.6547,43.7423,2
"8","Ninia",16.1994,44.0408,2
"9","Pituntium",16.5681,43.4741,2
"10","Siculi",16.3004,43.5306,2
"11","Andetrium",16.5206,43.6922,1
"12","Apsorus",14.3919,44.693,1
"13","Bersellum",17.5765,44.241,1
"14","Delminium",17.2302,43.7183,1
"15","Diluntum",17.8414,43.1138,1
"16","Doclea",19.2615,42.469,1
"17","Domavium",19.3585,44.1375,1
"18","Laurento",17.0580946,43.2651336,1
"19","Municipium Magnum",16.2988,43.8047,1
"20","NULL",16.2605765,43.3996977,1
"21","NULL",16.708363,44.9778475,1
"22","NULL",17.4773288,43.2403439,1
"23","NULL",17.540558,43.1904758,1
"24","NULL",17.583559,43.9385698,1
"25","NULL",17.9055721,44.2010759,1
"26","NULL",18.0640574,44.7072623,1
"27","NULL",18.1520712,43.7874012,1
"28","Narona",17.625,43.0801,1
"29","Promona",16.2114,43.8955,1
"30","Raetinium",15.9292,44.7885,1
"31","Senia",14.902,44.9931,1
"32","Solentia, insula",16.2752,43.3972,1
