"","findspot_ancient_clean","Longitude","Latitude","n"
"1","Salonae",16.4743,43.5384,267
"2","Burnum",15.9936,44.0317,123
"3","Tilurium",16.689,43.6139,89
"4","Bigeste",17.5271,43.1818,55
"5","Narona",17.625,43.0801,25
"6","Municipium Malvesiatium",19.5333,43.9667,21
"7","Andetrium",16.5206,43.6922,20
"8","Iader",15.4483,43.9393,17
"9","Municipium Magnum",16.2988,43.8047,12
"10","Municipium S[---]",19.3204,43.3424,9
"11","Ninia",16.1994,44.0408,9
"12","Novae",17.1968,43.4057,9
"13","Raetinium",15.9292,44.7885,8
"14","Siculi",16.3004,43.5306,8
"15","Aequum",16.6547,43.7423,7
"16","Doclea",19.2615,42.469,7
"17","Pituntium",16.5681,43.4741,5
"18","Corinium",15.6256,44.1075,4
"19","Diluntum",17.8414,43.1138,4
"20","Domavium",19.3585,44.1375,4
"21","Epidaurum",18.2137,42.5848,4
"22","Metulum",15.2771,45.2255,4
"23","Rider",16.0486,43.7034,4
"24","Salviae",16.7894,44.0726,4
"25","Tragurium",16.524,43.5594,4
"26","Albona",14.1232,45.0949,3
"27","Arba",14.7596,44.7565,3
"28","Delminium",17.2302,43.7183,3
"29","Municipium Salvium",16.8281,44.1301,3
"30","Nedinum",15.5095,44.0721,3
"31","Promona",16.2114,43.8955,3
"32","Ansium",15.666,44.179,2
"33","Argyruntum",15.4403,44.2951,2
"34","Asseria",15.6844,44.0103,2
"35","Ris---",18.9996,43.7977,2
"36","Senia",14.902,44.9931,2
"37","(Domavium) Ad Drinum",19.1032,44.3869,1
"38","Ad Turres",17.751,43.1604,1
"39","Aenona",15.1842,44.2435,1
"40","Alveria",15.8139,43.9937,1
"41","Apsorus",14.3919,44.693,1
"42","Arupium",15.2789,44.8428,1
"43","Aufustianis",17.3588,43.3203,1
"44","Avendo",15.1447,44.92,1
"45","Baloie",17.1009,44.285,1
"46","Bersellum",17.5765,44.241,1
"47","Capedunum",19.6639,43.8561,1
"48","Castra",17.0998,44.785,1
"49","Colentum, insula",15.595,43.8257,1
"50","Epetium",16.5235,43.4987,1
"51","Flanona",14.1801,45.1382,1
"52","Fulfinum",14.5441,45.204,1
"53","Laurento",17.0580946,43.2651336,1
"54","Muccurum",17.0178,43.2969,1
"55","Municipium Malvesatium",19.5333,43.9667,1
"56","Narona",17.6884,43.0645,1
"57","Nigra Corcyra, insula",17.1099,42.945,1
"58","Oneum",16.7019,43.4422,1
"59","Pharia, insula",16.4428,43.1725,1
"60","Salonae",16.3977809,43.9096687,1
"61","Scardona",15.9208,43.8227,1
"62","Scodra",19.5277,42.0743,1
"63","Solentia, insula",16.2752,43.3972,1
"64","Tarsatica",14.4444,45.3278,1
