"","X","LIST.ID","EDCS.ID","EDH.ID","not_before","not_after","transcription","clean_text_interpretive_word","type_of_inscription_clean","type_of_inscription_auto","type_of_monument_clean","province","province_label_clean","place","findspot_ancient_clean","findspot_modern_clean","status_notation","Latitude","Longitude","count"
"1",2,446811,"EDCS-24600965","HD062044",42,100,"T(itus) Curtiacus / T(iti) f(ilius) Lem(onia) Bon(onia) / vet(eranus) leg(ionis) VII C(laudiae) p(iae) f(idelis) / h(ic) s(itus) e(st) t(estamento) f(ieri) i(ussit)","Titus Curtiacus Titi filius Lemonia Bononia veteranus legionis VII Claudiae piae fidelis hic situs est testamento fieri iussit","epitaph","epitaph","NULL","Aemilia / Regio VIII","Dalmatia","Ravenna","Salonae","Solin","milites, tria nomina, viri",43.5384,16.4743,1
"2",3,446813,"EDCS-24600963","HD062045",151,300,"Iulius Martianus / sibi vivo posuit et / coniugi obsequentissimae suae / Aeliae Cassiae / si qui vero post mortem / nostram eandem arcam / aperire voluerit inferet / convibio(!) veteranorum sive / Martensium |(denarios) |C(centummilia)","Iulius Martianus sibi vivo posuit et coniugi obsequentissimae suae Aeliae Cassiae si qui vero post mortem nostram eandem arcam aperire voluerit inferet convibio veteranorum sive Martensium denarios Ccentummilia","epitaph","epitaph","NULL","Aemilia / Regio VIII","Dalmatia","Ravenna","Salonae","Solin","milites, mulieres, tria nomina, viri",43.5384,16.4743,1
"3",5,467865,"EDCS-28600117","HD051915",179,179,"Her(culi) Aug(usto) [s]ac(rum) // Val(erius) Valens v[et(ereranus)] // ex |(centurione) li//mite[m] / pub(licum) // prae/clus(um) // ob / dec(essum) // Aur(eli) / Gall(i) // leg(ati) / suo inp//[endio] / aperuit [---] / Im[p(eratore)] Com(m)o//[do II] / et Mar//[tio] / Vero // [II] / co(n)s(ulibus) VI // [Kal(endas)] // Ma[ias]","Herculi Augusto sacrum Valerius Valens vetereranus ex centurione limitem publicum praeclusum ob decessum Aureli Galli legati suo inpendio aperuit Imperatore Commodo II et Martio Vero II consulibus VI Kalendas Maias","building/dedicatory inscription","building/dedicatory inscription","altar","Dalmatia","Dalmatia","?","Salonae","Solin","milites, ordo senatorius, tria nomina, viri",43.5384,16.4743,1
"4",6,467866,"EDCS-28600118","HD062306",14,37,"Iano Patri / Aug(usto) sacrum / C(aius) Iulius C(ai) f(ilius) Ser(gia) / Aetor aed(ilis) / donatus ab Ti(berio) Caes(are) / Aug(usti) f(ilio) Augusto torq(ue) / maiore bello Delma/tico ob honorem / IIviratus cum liberis / suis posuit","Iano Patri Augusto sacrum Caius Iulius Cai filius Sergia Aetor aedilis donatus ab Tiberio Caesare Augusti filio Augusto tor que maiore bello Delmatico ob honorem II viratus cum liberis suis posuit","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","?","Aenona","Nin","Augusti/Augustae, ordo decurionum, tria nomina, viri",44.2435,15.1842,1
"5",7,467868,"EDCS-28600120","HD062304",151,300,"D(eo) S(oli) I(nvicto) o(mnipotenti) M(ithrae) / aeterno / sacrum / [A]tilius Tert/[iu]s ex voto / lib{i}ens / posuit","Deo Soli Invicto omnipotenti Mithrae aeterno sacrum Atilius Tertius ex voto libiens posuit","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","?","Narona","Metković","tria nomina, viri",43.0801,17.625,1
"6",8,467869,"EDCS-28600121","HD060162",1,150,"Trivis / C(aius) Aristius / Clemens // ex vot[o l(ibens) s(olvit)] m(erito)","Trivis Caius Aristius Clemens ex voto libens solvit merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","?","Iader","Zadar","tria nomina, viri",44.115501,15.223778,1
"7",9,467876,"EDCS-28600128","HD062295",51,150,"Surus Sparuci f(ilius) / dom(o) Tribocus / eques alae Claud/iae novae ann(orum) XXX / stip(endiorum) XIII h(ic) s(itus) e(st) t(estamento) f(ieri) i(ussit) / arbitratu Celati ses/quiplicari(i) heredis","Surus Sparuci filius domo Tribocus eques alae Claudiae novae annorum XXX stipendiorum XIII hic situs est testamento fieri iussit arbitratu Celati sesquiplicarii heredis","epitaph","epitaph","NULL","Dalmatia","Dalmatia","?","Municipium Magnum","Drniš","milites, nomen singulare, viri",43.8047,16.2988,1
"8",10,467885,"EDCS-28600138","HD063251",151,300,"D(is) M(anibus) / Antoniae Fa/lern(a)e nepot(i)l(la)e / [e]t Cl(audio) Proculo / filio eius d(e)f(uncto) an(norum) VIII / [et] Antoni(a)e Clucer(a)e(!) / [fi]liae et Octavio Papiri/ano nepoti d(e)f(uncto) an(norum) VII / Antonia Fencis(!) mater / infelicissima ob pietatem / posuit","Dis Manibus Antoniae Falernae nepotillae et Claudio Proculo filio eius defuncto annorum VIII et Antoniae Clucerae filiae et Octavio Papiriano nepoti defuncto annorum VII Antonia Fencis mater infelicissima ob pietatem posuit","epitaph","epitaph","NULL","Dalmatia","Dalmatia","?","Salonae","Solin","mulieres, tria nomina, viri",43.5384,16.4743,1
"9",12,467896,"EDCS-28600149","HD063250",151,300,"D(is) M(anibus) / M(arco) Flavio / Primo / Flavius Epic/tetus patro/no b(ene) m(erenti)","Dis Manibus Marco Flavio Primo Flavius Epictetus patrono bene merenti","epitaph","epitaph","NULL","Dalmatia","Dalmatia","?","Salonae","Split","liberti/libertae, tria nomina, viri",43.5384,16.4743,1
"10",14,467911,"EDCS-28600168","HD062148",1,150,"M(arcus) Poblicius / M(arci) f(ilius) Aquila an(norum) II","Marcus Poblicius Marci filius Aquila annorum II","epitaph","epitaph","NULL","Dalmatia","Dalmatia","?","Scardona","Skradin","tria nomina, viri",43.8227,15.9208,1
