"","X","LIST.ID","EDCS.ID","EDH.ID","not_before","not_after","transcription","clean_text_interpretive_word","type_of_inscription_clean","type_of_inscription_auto","type_of_monument_clean","province","province_label_clean","place","findspot_ancient_clean","findspot_modern_clean","status_notation","Latitude","Longitude","count"
"1",9,467876,"EDCS-28600128","HD062295",51,150,"Surus Sparuci f(ilius) / dom(o) Tribocus / eques alae Claud/iae novae ann(orum) XXX / stip(endiorum) XIII h(ic) s(itus) e(st) t(estamento) f(ieri) i(ussit) / arbitratu Celati ses/quiplicari(i) heredis","Surus Sparuci filius domo Tribocus eques alae Claudiae novae annorum XXX stipendiorum XIII hic situs est testamento fieri iussit arbitratu Celati sesquiplicarii heredis","epitaph","epitaph","NULL","Dalmatia","Dalmatia","?","Municipium Magnum","Drniš","milites, nomen singulare, viri",43.8047,16.2988,1
"2",11,467895,"EDCS-28600148","HD060173",101,200,"[------] / [---]I(?)I(?) pientissimae / L(ucius) Epidius Rufi/nianus maritus","II pientissimae Lucius Epidius Rufinianus maritus","epitaph","epitaph","tabula","Dalmatia","Dalmatia","?","Iader","Zadar","mulieres, tria nomina, viri",44.115501,15.223778,1
"3",13,467901,"EDCS-28600156","HD060175",151,300,"D(is) M(anibus) / Iulio Claudia/no fil(io) an(norum) V[--] / [------] / [------","Dis Manibus Iulio Claudiano filio annorum V","epitaph","epitaph","stele","Dalmatia","Dalmatia","?","Iader","Zadar","tria nomina, viri",44.115501,15.223778,1
"4",14,467911,"EDCS-28600168","HD062148",1,150,"M(arcus) Poblicius / M(arci) f(ilius) Aquila an(norum) II","Marcus Poblicius Marci filius Aquila annorum II","epitaph","epitaph","NULL","Dalmatia","Dalmatia","?","Scardona","Skradin","tria nomina, viri",43.8227,15.9208,1
"5",15,467916,"EDCS-28600173","HD060187",1,150,"M(arco) Servenio / Punico posuit / M(arcus) Servenius / Doctus fil(ius)","Marco Servenio Punico posuit Marcus Servenius Doctus filius","epitaph","epitaph","stele","Dalmatia","Dalmatia","?","Iader","Zadar","tria nomina, viri",44.115501,15.223778,1
"6",16,467919,"EDCS-28600177","HD060188",171,300,"D(is) M(anibus) / Toria Sec/unda Publ/icio Meno/filo con(iugi) su/o b(ene) m(erenti) titu/lum posuit","Dis Manibus Toria Secunda Publicio Menofilo coniugi suo bene merenti titulum posuit","epitaph","epitaph","stele","Dalmatia","Dalmatia","?","Iader","Zadar","mulieres, tria nomina, viri",44.115501,15.223778,1
"7",20,467931,"EDCS-30600011","HD061998",151,300,"D(is) M(anibus) / Fortunatae / quae vixit ann(os) XVIII / Maximus Ianua/ri TITVSLAT suae / delicatae et sibi / p(osuit) l(ibens)(?)","Dis Manibus Fortunatae quae vixit annos XVIII Maximus Ianuari TITVSLAT suae delicatae et sibi posuit libens","epitaph","epitaph","NULL","Dalmatia","Dalmatia","?","Oneum","Omiš","mulieres, nomen singulare, viri",43.4422,16.7019,1
"8",21,467932,"EDCS-30600012","HD061999",151,300,"D(is) M(anibus) / Maximinae filiae infelici / Domitia mater / b(ene) m(erenti)","Dis Manibus Maximinae filiae infelici Domitia mater bene merenti","epitaph","epitaph","NULL","Dalmatia","Dalmatia","?","Oneum","Omiš","mulieres, nomen singulare",43.4422,16.7019,1
"9",22,467933,"EDCS-30600013","HD061997",151,300,"Petronius et / mater Maximilla / Titivillae / defunctae ann(orum) XXX / filiae infelicissimae / titulum posuerunt","Petronius et mater Maximilla Titivillae defunctae annorum XXX filiae infelicissimae titulum posuerunt","epitaph","epitaph","NULL","Dalmatia","Dalmatia","?","Oneum","Omiš","mulieres, nomen singulare, tria nomina, viri",43.4422,16.7019,1
"10",25,467946,"EDCS-00380791","HD039984",171,230,"D(is) M(anibus) / Cl(audius) Eutyches / [C]l(audii) Catul(l)i Galli c(larissimi) / v(iri) / lib(ertus) sibi et Rosulae / [------","Dis Manibus Claudius Eutyches Claudii Catulli Galli clarissimi viri libertus sibi et Rosulae","epitaph","epitaph","stele","Dalmatia","Dalmatia","Arilje","Municipium Malvesiatium","Arilje","liberti/libertae, servi/servae, tria nomina",43.9667,19.5333,1
