"","X","LIST.ID","EDCS.ID","EDH.ID","not_before","not_after","transcription","clean_text_interpretive_word","type_of_inscription_clean","type_of_inscription_auto","type_of_monument_clean","province","province_label_clean","place","findspot_ancient_clean","findspot_modern_clean","status_notation","Latitude","Longitude","count"
"1",13,467901,"EDCS-28600156","HD060175",151,300,"D(is) M(anibus) / Iulio Claudia/no fil(io) an(norum) V[--] / [------] / [------","Dis Manibus Iulio Claudiano filio annorum V","epitaph","epitaph","stele","Dalmatia","Dalmatia","?","Iader","Zadar","tria nomina, viri",44.115501,15.223778,1
"2",15,467916,"EDCS-28600173","HD060187",1,150,"M(arco) Servenio / Punico posuit / M(arcus) Servenius / Doctus fil(ius)","Marco Servenio Punico posuit Marcus Servenius Doctus filius","epitaph","epitaph","stele","Dalmatia","Dalmatia","?","Iader","Zadar","tria nomina, viri",44.115501,15.223778,1
"3",16,467919,"EDCS-28600177","HD060188",171,300,"D(is) M(anibus) / Toria Sec/unda Publ/icio Meno/filo con(iugi) su/o b(ene) m(erenti) titu/lum posuit","Dis Manibus Toria Secunda Publicio Menofilo coniugi suo bene merenti titulum posuit","epitaph","epitaph","stele","Dalmatia","Dalmatia","?","Iader","Zadar","mulieres, tria nomina, viri",44.115501,15.223778,1
"4",25,467946,"EDCS-00380791","HD039984",171,230,"D(is) M(anibus) / Cl(audius) Eutyches / [C]l(audii) Catul(l)i Galli c(larissimi) / v(iri) / lib(ertus) sibi et Rosulae / [------","Dis Manibus Claudius Eutyches Claudii Catulli Galli clarissimi viri libertus sibi et Rosulae","epitaph","epitaph","stele","Dalmatia","Dalmatia","Arilje","Municipium Malvesiatium","Arilje","liberti/libertae, servi/servae, tria nomina",43.9667,19.5333,1
"5",43,467964,"EDCS-27500182","HD053675",201,300,"D(is) M(anibus) // Aur(elia) Messilla / filio infelicis/simo suo qui / vixxit(!) p(lus) m(inus) / an(nos) III Aur(elia) Mes/soria titulu/m posuit","Dis Manibus Aurelia Messilla filio infelicissimo suo qui vixxit plus minus annos III Aurelia Messoria titulum posuit","epitaph","epitaph","stele","Dalmatia","Dalmatia","Baska Voda","NULL","Baška Voda","mulieres, tria nomina, viri",43.3582543,16.9482271,1
"6",45,467966,"EDCS-27500184","HD053677",201,300,"D(is) M(anibus) / V(alerius) Max(imus) et C(ornelia?) Vera / cum dolum tantum / haberent de Valerio / delicato quam ut fi/lio infelicissimo iu/veni d(ulcissimo) ann(orum) XXIIII / dunc(!) dolum habe/rit(!) C(ornelia?) Vende/mia de marito Vale/rio et socero p(uero) p(ientissimo) / titulum posuit","Dis Manibus Valerius Maximus et Cornelia Vera cum dolum tantum haberent de Valerio delicato quam ut filio infelicissimo iuveni dulcissimo annorum XXIIII dunc dolum haberit Cornelia Vendemia de marito Valerio et socero puero pientissimo titulum posuit","epitaph","epitaph","stele","Dalmatia","Dalmatia","Baska Voda","NULL","Baška Voda","mulieres, nomen singulare, tria nomina, viri",43.3582543,16.9482271,1
"7",46,467967,"EDCS-20601173","HD039803",271,330,"D(is) [M(anibus)] // Vet(tio) Iunian[o] / qui vixit an[n(os) --] / Allia Messia [ma]/rito bene mere(nti) [p(osuit)]","Dis Manibus Vettio Iuniano qui vixit annos Allia Messia marito bene merenti posuit","epitaph","epitaph","stele","Dalmatia","Dalmatia","Baska Voda","NULL","Baška Voda","mulieres, tria nomina, viri",43.3582543,16.9482271,1
"8",53,467976,"EDCS-27800515","HD042090",131,170,"D(is) M(anibus) / M(arcus) Lusius Ce/rdo sibi et / co(n)iugi suae / vivis pos(uit)","Dis Manibus Marcus Lusius Cerdo sibi et coniugi suae vivis posuit","epitaph","epitaph","stele","Dalmatia","Moesia inferior","Beli / Caisole / Crexa","Nicopolis ad Istrum","Polski Trâmbeš","mulieres, tria nomina, viri",43.7009,24.8947,1
"9",67,467991,"EDCS-20601178","HD039812",1,100,"Tures Alburi / f(ilius) eq(ues) coh(ortis) I / Bracaraugus(tanorum) / ann(orum) XXV stip(endiorum) VII / h(ic) s(itus) est h(eres) p(osuit)","Tures Alburi filius eques cohortis I Bracaraugustanorum annorum XXV stipendiorum VII hic situs est heres posuit","epitaph","epitaph","stele","Dalmatia","Dalmatia","Bigeste","Bigeste","Ljubuški","milites, nomen singulare, viri",43.1818,17.5271,1
"10",68,467992,"EDCS-20601179","HD039821",1,100,"Veranus Caturonis / f(ilius) eq(ues) coh(ortis) I Bracaraug(ustanorum) / turma Tironis ann(norum) / XXXIIX stipendiorum / XVIII h(ic) s(itus) e(st) t(estamento) f(ieri) i(ussit) / h(eredes) p(osuerunt) / Tiro dec(urio) et Crispus / Caturonis","Veranus Caturonis filius eques cohortis I Bracaraugustanorum turma Tironis annnorum XXXIIX stipendiorum XVIII hic situs est testamento fieri iussit heredes posuerunt Tiro decurio et Crispus Caturonis","epitaph","epitaph","stele","Dalmatia","Dalmatia","Bigeste","Bigeste","Ljubuški","milites, nomen singulare, viri",43.1818,17.5271,1
