"","X","LIST.ID","EDCS.ID","EDH.ID","not_before","not_after","transcription","clean_text_interpretive_word","type_of_inscription_clean","type_of_inscription_auto","type_of_monument_clean","province","province_label_clean","place","findspot_ancient_clean","findspot_modern_clean","status_notation","Latitude","Longitude","count"
"1",11,467895,"EDCS-28600148","HD060173",101,200,"[------] / [---]I(?)I(?) pientissimae / L(ucius) Epidius Rufi/nianus maritus","II pientissimae Lucius Epidius Rufinianus maritus","epitaph","epitaph","tabula","Dalmatia","Dalmatia","?","Iader","Zadar","mulieres, tria nomina, viri",44.115501,15.223778,1
"2",54,467977,"EDCS-10101962","HD035315",1,70,"Campiae [---] / co(n)iugi ka[rissimae ---] / [------","Campiae coniugi karissimae","epitaph","epitaph","tabula","Dalmatia","Dalmatia","Beli / Caisole / Crexa","Crexa","Cres","mulieres, viri",45.112,14.3542,1
"3",66,467990,"EDCS-20601177","HD039811",1,300,"------] / [---]AG[---]A / [--- e]q(ues?) coh(ortis) I Bel(garum) / [ar]m(orum) custos / [tur(ma)?] Maximi / [an(norum)? ---] stip(endiorum) XXIII / [------","AG A eques cohortis I Belgarum armorum custos turma Maximi annorum stipendiorum XXIII","epitaph","epitaph","tabula","Dalmatia","Dalmatia","Bigeste","Bigeste","Ljubuški","milites, nomen singulare, viri",43.1818,17.5271,1
"4",77,468001,"EDCS-20601176","HD039810",1,300,"------] / [---]elius Ma[---] / [---]P domo R[---] / [ve]t(eranus) leg(ionis) VII [---] / [--- s]tip(endiorum) XXVIII [---?] / [an]n(os) LXII fili[o] / [--- e]t Patrono V(?) / [--- p]osuit matri","elius Ma P domo R veteranus legionis VII stipendiorum XXVIII annos LXII filio et Patrono V posuit matri","epitaph","epitaph","tabula","Dalmatia","Dalmatia","Bigeste","NULL","Ljubuški","liberti/libertae, milites, tria nomina, viri",43.182222,17.528889,1
"5",86,468010,"EDCS-30000210","HD058609",151,300,"------] / qui vixs[it! ann(os)] / XXII me(n)s(es) I[---] / INFICIN(?)[---] / Romae M[---] / co(n)ius(!) a[mantis]/sima mar[ito cum] / co(!) vixsi[t! ---] / benem(!) m[eren]/ti po&lt;s&gt;iv[it](!)","qui vixsit annos XXII menses I INFICIN Romae M conius amantissima marito cum co vixsit benem merenti po lt s gt ivit","epitaph","epitaph","tabula","Dalmatia","Dalmatia","Bihac / Raetinium","Siculi","Kaštela","mulieres, viri",43.5306,16.3004,1
"6",96,468020,"EDCS-32300073","HD058042",101,300,"------ Bi]ndi N[eptuni aedem ---]/[---]liu[s? ---] / [---] faciu[ndam cu]r[avit ------","Bindi Neptuni aedem lius faciundam curavit","building/dedicatory inscription","building/dedicatory inscription","tabula","Dalmatia","Dalmatia","Bihac / Raetinium","Raetinium","Bihać",NA,44.7885,15.9292,1
"7",98,468022,"EDCS-32300075","HD058874",71,150,"------]ANE[---?] / [--- Fabi?]a Luc[a? ---?] / [--- leg(ionis) IIII] F(laviae) f(elicis) [------","ANE Fabia Luca legionis IIII Flaviae felicis","epitaph","epitaph","tabula","Dalmatia","Dalmatia","Bihac / Raetinium","Raetinium","Bihać","milites, viri",44.7885,15.9292,1
"8",99,468023,"EDCS-32300076","HD058880",301,600,"Martinus / qui / [Fel]icissim/us {s} v(ixit) m(enses) VIII / memoriam(?) / Loc(h?)u(s) f(ecit)","Martinus qui Felicissimus s vixit menses VIII memoriam Lochus fecit","epitaph","epitaph","tabula","Dalmatia","Dalmatia","Bihac / Raetinium","Raetinium","Bihać","nomen singulare, viri",44.7885,15.9292,1
"9",100,468024,"EDCS-32300078","HD058876",101,600,"------ vi]vu[s? ---?] / [--- pat]ri(?) p[ientissimo? ---?] / [---]I(?)[------","vivus patri pientissimo I","epitaph","epitaph","tabula","Dalmatia","Dalmatia","Bihac / Raetinium","Raetinium","Bihać",NA,44.7885,15.9292,1
"10",104,468028,"EDCS-32200025","HD052275",201,300,"Bi[ndo Neptun]o / s[acrum] / [--- Li?]cin[ius?] / Galba / mil(es) leg(ionis) I ad(iutricis) / b(ene)[f(iciarius)] co(n)s(ularis) v(otum) [s(olvit)]","Bindo Neptuno sacrum Licinius Galba miles legionis I adiutricis beneficiarius consularis votum solvit","votive inscription","votive inscription","tabula","Dalmatia","Dalmatia","Bihac / Raetinium","Raetinium","Bihać","milites, tria nomina, viri",44.7885,15.9292,1
"11",106,468030,"EDCS-32200027","HD052272",201,300,"Bindo N(eptuno) s(acrum) / ob [h]onor(em) / [---]I(?)V[-](?)sti PRO/[---]G amici / p(osuerunt)","Bindo Neptuno sacrum ob honorem IV sti PRO G amici posuerunt","votive inscription","votive inscription","tabula","Dalmatia","Dalmatia","Bihac / Raetinium","Raetinium","Bihać","tria nomina, viri",44.7885,15.9292,1
"12",119,468043,"EDCS-10000327","HD009464",201,600,"------]STEN[------","STEN","NULL",NA,"tabula","Dalmatia","Dalmatia","Bihac / Raetinium","Raetinium","Bihać",NA,44.7885,15.9292,1
"13",124,468048,"EDCS-10100660","HD033984",1,300,"------] / [--- I]ulio / [--- I]ucun/[---]da / [------","Iulio Iucun da","epitaph","epitaph","tabula","Dalmatia","Dalmatia","Bihac / Raetinium","Raetinium","Bihać","viri",44.7885,15.9292,1
"14",143,468069,"EDCS-56900043","HD058386",1,600,"------ Anton?]in(i)(?) [---] / [---] nep(os)(?) [---] / [--- trib(unicia)? pot]es[t(ate)? ---] / [---]ON[------","Antonini nepos tribunicia potestate ON","epitaph","epitaph","tabula","Dalmatia","Dalmatia","Biskupija","NULL","Biskupija","Augusti/Augustae, viri",44.0169772,16.2226592,1
"15",144,468070,"EDCS-56900044","HD058388",1,300,"------] A(?) [---?] / [------?] / [---?] m(iles)(?) / [leg(ionis)?] X[I------","A miles legionis XI","epitaph","epitaph","tabula","Dalmatia","Dalmatia","Biskupija","NULL","Biskupija","milites, viri",44.0169772,16.2226592,1
"16",145,468071,"EDCS-31400202","HD055956",171,300,"D(is) M(anibus) / Salviae Her[---]e / NIM Aur(elius) Fl[---] / DE[---]ONI co(n)iug[i -]A(?)[-] / I(?)[---]I(?)[---]MI(?)[---]","Dis Manibus Salviae Her e NIM Aurelius Fl DE ONI coniugi A I I MI","epitaph","epitaph","tabula","Dalmatia","Dalmatia","Bjelovac / Domavium","Domavium","Bratunac","mulieres, tria nomina, viri",44.1375,19.3585,1
