"","X","LIST.ID","EDCS.ID","EDH.ID","not_before","not_after","transcription","clean_text_interpretive_word","type_of_inscription_clean","type_of_inscription_auto","type_of_monument_clean","province","province_label_clean","place","findspot_ancient_clean","findspot_modern_clean","status_notation","Latitude","Longitude","count"
"1",2,446811,"EDCS-24600965","HD062044",42,100,"T(itus) Curtiacus / T(iti) f(ilius) Lem(onia) Bon(onia) / vet(eranus) leg(ionis) VII C(laudiae) p(iae) f(idelis) / h(ic) s(itus) e(st) t(estamento) f(ieri) i(ussit)","Titus Curtiacus Titi filius Lemonia Bononia veteranus legionis VII Claudiae piae fidelis hic situs est testamento fieri iussit","epitaph","epitaph","NULL","Aemilia / Regio VIII","Dalmatia","Ravenna","Salonae","Solin","milites, tria nomina, viri",43.5384,16.4743,1
"2",3,446813,"EDCS-24600963","HD062045",151,300,"Iulius Martianus / sibi vivo posuit et / coniugi obsequentissimae suae / Aeliae Cassiae / si qui vero post mortem / nostram eandem arcam / aperire voluerit inferet / convibio(!) veteranorum sive / Martensium |(denarios) |C(centummilia)","Iulius Martianus sibi vivo posuit et coniugi obsequentissimae suae Aeliae Cassiae si qui vero post mortem nostram eandem arcam aperire voluerit inferet convibio veteranorum sive Martensium denarios Ccentummilia","epitaph","epitaph","NULL","Aemilia / Regio VIII","Dalmatia","Ravenna","Salonae","Solin","milites, mulieres, tria nomina, viri",43.5384,16.4743,1
"3",5,467865,"EDCS-28600117","HD051915",179,179,"Her(culi) Aug(usto) [s]ac(rum) // Val(erius) Valens v[et(ereranus)] // ex |(centurione) li//mite[m] / pub(licum) // prae/clus(um) // ob / dec(essum) // Aur(eli) / Gall(i) // leg(ati) / suo inp//[endio] / aperuit [---] / Im[p(eratore)] Com(m)o//[do II] / et Mar//[tio] / Vero // [II] / co(n)s(ulibus) VI // [Kal(endas)] // Ma[ias]","Herculi Augusto sacrum Valerius Valens vetereranus ex centurione limitem publicum praeclusum ob decessum Aureli Galli legati suo inpendio aperuit Imperatore Commodo II et Martio Vero II consulibus VI Kalendas Maias","building/dedicatory inscription","building/dedicatory inscription","altar","Dalmatia","Dalmatia","?","Salonae","Solin","milites, ordo senatorius, tria nomina, viri",43.5384,16.4743,1
"4",9,467876,"EDCS-28600128","HD062295",51,150,"Surus Sparuci f(ilius) / dom(o) Tribocus / eques alae Claud/iae novae ann(orum) XXX / stip(endiorum) XIII h(ic) s(itus) e(st) t(estamento) f(ieri) i(ussit) / arbitratu Celati ses/quiplicari(i) heredis","Surus Sparuci filius domo Tribocus eques alae Claudiae novae annorum XXX stipendiorum XIII hic situs est testamento fieri iussit arbitratu Celati sesquiplicarii heredis","epitaph","epitaph","NULL","Dalmatia","Dalmatia","?","Municipium Magnum","Drniš","milites, nomen singulare, viri",43.8047,16.2988,1
"5",30,467951,"EDCS-06100486","HD018339",151,230,"I(ovi) O(ptimo) M(aximo) / C(aius) Billianius / Severus / b(ene)f(iciarius) co(n)s(ularis) / v(otum) s(olvit) l(ibens) m(erito)","Iovi Optimo Maximo Caius Billianius Severus beneficiarius consularis votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bajina Basta","Municipium Malvesiatium","Bajina Bašta","milites, tria nomina, viri",43.9667,19.5333,1
"6",33,467954,"EDCS-10100514","HD033777",151,300,"I(ovi) O(ptimo) [M(aximo)] / [I]uno[ni] / Minerv[ae] / [-] Ael(ius) Apri[lis] / [b(ene)]f(iciarius) co(n)s(ularis) [v(otum)? s(olvit)?] / l(ibens) m(erito)","Iovi Optimo Maximo Iunoni Minervae Aelius Aprilis beneficiarius consularis votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bajina Basta","Municipium Malvesiatium","Bajina Bašta","milites, tria nomina, viri",43.9667,19.5333,1
"7",40,467961,"EDCS-32201030","HD052469",151,300,"I(ovi) O(ptimo) M(aximo) / et Genio / loci L(ucius) / Sicinius / Macrinus / b(ene)f(iciarius) co(n)s(ularis) P(annoniae) / s(uperioris) v(otum) s(olvit) l(ibens) m(erito)","Iovi Optimo Maximo et Genio loci Lucius Sicinius Macrinus beneficiarius consularis Pannoniae superioris votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Banja Luka / Castra","Castra","Banja Luka","milites, tria nomina, viri",44.785,17.0998,1
"8",60,467983,"EDCS-72200021","HD059931",63,68,"Fin[i]s inter Neditas et Corinienses / derectus mensuris actis iussu / [A(uli) Du]ceni Gemini leg(ati) per A(ulum) Resium / Maximum |(centurionem) leg(ionis) XI principem / posteriorem co(ho)[r(tis)] I et per [Q(uintum)] A[e]butium / Liberalem |(centurionem) eiusdem leg(ionis) (h)astatum / posteriorem c(o)hor(tis) I","Finis inter Neditas et Corinienses derectus mensuris actis iussu Auli Duceni Gemini legati per Aulum Resium Maximum centurionem legionis XI principem posteriorem cohortis I et per Quintum Aebutium Liberalem centurionem eiusdem legionis hastatum posteriorem cohortis I","boundary inscription","boundary inscription","NULL","Dalmatia","Dalmatia","Benkovac / Asseria","Corinium","Novigrad","milites, ordo senatorius, tria nomina, viri",44.1075,15.6256,1
"9",66,467990,"EDCS-20601177","HD039811",1,300,"------] / [---]AG[---]A / [--- e]q(ues?) coh(ortis) I Bel(garum) / [ar]m(orum) custos / [tur(ma)?] Maximi / [an(norum)? ---] stip(endiorum) XXIII / [------","AG A eques cohortis I Belgarum armorum custos turma Maximi annorum stipendiorum XXIII","epitaph","epitaph","tabula","Dalmatia","Dalmatia","Bigeste","Bigeste","Ljubuški","milites, nomen singulare, viri",43.1818,17.5271,1
"10",67,467991,"EDCS-20601178","HD039812",1,100,"Tures Alburi / f(ilius) eq(ues) coh(ortis) I / Bracaraugus(tanorum) / ann(orum) XXV stip(endiorum) VII / h(ic) s(itus) est h(eres) p(osuit)","Tures Alburi filius eques cohortis I Bracaraugustanorum annorum XXV stipendiorum VII hic situs est heres posuit","epitaph","epitaph","stele","Dalmatia","Dalmatia","Bigeste","Bigeste","Ljubuški","milites, nomen singulare, viri",43.1818,17.5271,1
