"","X","LIST.ID","EDCS.ID","EDH.ID","not_before","not_after","transcription","clean_text_interpretive_word","type_of_inscription_clean","type_of_inscription_auto","type_of_monument_clean","province","province_label_clean","place","findspot_ancient_clean","findspot_modern_clean","status_notation","Latitude","Longitude","count"
"1",5,467865,"EDCS-28600117","HD051915",179,179,"Her(culi) Aug(usto) [s]ac(rum) // Val(erius) Valens v[et(ereranus)] // ex |(centurione) li//mite[m] / pub(licum) // prae/clus(um) // ob / dec(essum) // Aur(eli) / Gall(i) // leg(ati) / suo inp//[endio] / aperuit [---] / Im[p(eratore)] Com(m)o//[do II] / et Mar//[tio] / Vero // [II] / co(n)s(ulibus) VI // [Kal(endas)] // Ma[ias]","Herculi Augusto sacrum Valerius Valens vetereranus ex centurione limitem publicum praeclusum ob decessum Aureli Galli legati suo inpendio aperuit Imperatore Commodo II et Martio Vero II consulibus VI Kalendas Maias","building/dedicatory inscription","building/dedicatory inscription","altar","Dalmatia","Dalmatia","?","Salonae","Solin","milites, ordo senatorius, tria nomina, viri",43.5384,16.4743,1
"2",30,467951,"EDCS-06100486","HD018339",151,230,"I(ovi) O(ptimo) M(aximo) / C(aius) Billianius / Severus / b(ene)f(iciarius) co(n)s(ularis) / v(otum) s(olvit) l(ibens) m(erito)","Iovi Optimo Maximo Caius Billianius Severus beneficiarius consularis votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bajina Basta","Municipium Malvesiatium","Bajina Bašta","milites, tria nomina, viri",43.9667,19.5333,1
"3",33,467954,"EDCS-10100514","HD033777",151,300,"I(ovi) O(ptimo) [M(aximo)] / [I]uno[ni] / Minerv[ae] / [-] Ael(ius) Apri[lis] / [b(ene)]f(iciarius) co(n)s(ularis) [v(otum)? s(olvit)?] / l(ibens) m(erito)","Iovi Optimo Maximo Iunoni Minervae Aelius Aprilis beneficiarius consularis votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bajina Basta","Municipium Malvesiatium","Bajina Bašta","milites, tria nomina, viri",43.9667,19.5333,1
"4",40,467961,"EDCS-32201030","HD052469",151,300,"I(ovi) O(ptimo) M(aximo) / et Genio / loci L(ucius) / Sicinius / Macrinus / b(ene)f(iciarius) co(n)s(ularis) P(annoniae) / s(uperioris) v(otum) s(olvit) l(ibens) m(erito)","Iovi Optimo Maximo et Genio loci Lucius Sicinius Macrinus beneficiarius consularis Pannoniae superioris votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Banja Luka / Castra","Castra","Banja Luka","milites, tria nomina, viri",44.785,17.0998,1
"5",92,468016,"EDCS-32300071","HD052240",69,79,"[T(itus) F]lavius / [---]ditanus / [civ(itate?) d]on(atus) ab / [Imp(eratore)] Vespasiano / Ca[e]sare Aug(usto) / pra[e]positu[s] / et p[rin]cep[s] / Iapo[d]um / [v(otum) s(olvit) l(ibens) m(erito)]","Titus Flavius ditanus civitate donatus ab Imperatore Vespasiano Caesare Augusto praepositus et princeps Iapodum votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bihac / Raetinium","Raetinium","Bihać","Augusti/Augustae, milites, ordo decurionum, tria nomina, viri",44.7885,15.9292,1
"6",93,468017,"EDCS-31300291","HD052235",101,200,"Bindo Neptuno / sacrum / Proculus Parm/anic(us) praepos(itus) / v(otum) s(olvit) l(ibens) m(erito)","Bindo Neptuno sacrum Proculus Parmanicus praepositus votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bihac / Raetinium","Raetinium","Bihać","milites, tria nomina, viri",44.7885,15.9292,1
"7",167,468093,"EDCS-08901081","HD008209",211,222,"I(ovi) O(ptimo) M(aximo) // T(itus) Fl(avius) Pompeius / |(centurio) coh(ortis) III / Alpinorum / Antoninianae / curam agens / FAB(---) AMP(---) MEN(---) et / Vibius Vibianus // protector / co(n)s(ularis)","Iovi Optimo Maximo Titus Flavius Pompeius centurio cohortis III Alpinorum Antoninianae curam agens FAB AMP MEN et Vibius Vibianus protector consularis","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Brac, Otok / Brattia","NULL","Supetar","milites, tria nomina, viri",43.3239838,16.654819,1
"8",210,468137,"EDCS-10100544","HD033814",1,300,"I(ovi) O(ptimo) M(aximo) // pro [s]alut[e] / [------] / [---]NICICI / [---]NI / III[--- le]g(ionis) XI C[l](audiae) / [------] / IVIIV(?) XI K(alendas) Oc(tobres)","Iovi Optimo Maximo pro salute NICICI NI III legionis XI Claudiae IVIIV XI Kalendas Octobres","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bratunac / Domavium","Domavium","Bratunac","milites, viri",44.1375,19.3585,1
"9",347,468288,"EDCS-30600089","HD043583",151,300,"Dianae / Aug(ustae) / T(itus) Statius / Crispinus / dec(urio) eq(uitum) / cohor(tis) II Del(matarum)","Dianae Augustae Titus Statius Crispinus decurio equitum cohortis II Delmatarum","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Cacak / Malvesiatium","Municipium Malvesiatium","Lučani","milites, tria nomina, viri",43.9667,19.5333,1
"10",348,468289,"EDCS-30600090","HD042956",197,197,"I(ovi) O(ptimo) M(aximo) / et Genio loci / sacro(!) dica/vit Iul(ius) Mater/nus |(centurio) coh(ortis) VIII / vol(untariorum) / Laterano et Ruf(ino) co(n)s(ulibus)","Iovi Optimo Maximo et Genio loci sacro dicavit Iulius Maternus centurio cohortis VIII voluntariorum Laterano et Rufino consulibus","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Cacak / Malvesiatium","Municipium Malvesiatium","Lučani","milites, tria nomina, viri",43.9667,19.5333,1
