"","X","LIST.ID","EDCS.ID","EDH.ID","not_before","not_after","transcription","clean_text_interpretive_word","type_of_inscription_clean","type_of_inscription_auto","type_of_monument_clean","province","province_label_clean","place","findspot_ancient_clean","findspot_modern_clean","status_notation","Latitude","Longitude","count"
"1",66,467990,"EDCS-20601177","HD039811",1,300,"------] / [---]AG[---]A / [--- e]q(ues?) coh(ortis) I Bel(garum) / [ar]m(orum) custos / [tur(ma)?] Maximi / [an(norum)? ---] stip(endiorum) XXIII / [------","AG A eques cohortis I Belgarum armorum custos turma Maximi annorum stipendiorum XXIII","epitaph","epitaph","tabula","Dalmatia","Dalmatia","Bigeste","Bigeste","Ljubuški","milites, nomen singulare, viri",43.1818,17.5271,1
"2",77,468001,"EDCS-20601176","HD039810",1,300,"------] / [---]elius Ma[---] / [---]P domo R[---] / [ve]t(eranus) leg(ionis) VII [---] / [--- s]tip(endiorum) XXVIII [---?] / [an]n(os) LXII fili[o] / [--- e]t Patrono V(?) / [--- p]osuit matri","elius Ma P domo R veteranus legionis VII stipendiorum XXVIII annos LXII filio et Patrono V posuit matri","epitaph","epitaph","tabula","Dalmatia","Dalmatia","Bigeste","NULL","Ljubuški","liberti/libertae, milites, tria nomina, viri",43.182222,17.528889,1
"3",98,468022,"EDCS-32300075","HD058874",71,150,"------]ANE[---?] / [--- Fabi?]a Luc[a? ---?] / [--- leg(ionis) IIII] F(laviae) f(elicis) [------","ANE Fabia Luca legionis IIII Flaviae felicis","epitaph","epitaph","tabula","Dalmatia","Dalmatia","Bihac / Raetinium","Raetinium","Bihać","milites, viri",44.7885,15.9292,1
"4",104,468028,"EDCS-32200025","HD052275",201,300,"Bi[ndo Neptun]o / s[acrum] / [--- Li?]cin[ius?] / Galba / mil(es) leg(ionis) I ad(iutricis) / b(ene)[f(iciarius)] co(n)s(ularis) v(otum) [s(olvit)]","Bindo Neptuno sacrum Licinius Galba miles legionis I adiutricis beneficiarius consularis votum solvit","votive inscription","votive inscription","tabula","Dalmatia","Dalmatia","Bihac / Raetinium","Raetinium","Bihać","milites, tria nomina, viri",44.7885,15.9292,1
"5",144,468070,"EDCS-56900044","HD058388",1,300,"------] A(?) [---?] / [------?] / [---?] m(iles)(?) / [leg(ionis)?] X[I------","A miles legionis XI","epitaph","epitaph","tabula","Dalmatia","Dalmatia","Biskupija","NULL","Biskupija","milites, viri",44.0169772,16.2226592,1
"6",164,468090,"EDCS-10100769","HD027058",201,400,"Valen[t---] / militi legion[is II] / a(d)iutricis defun[c]/to an(norum) XXX memori/am posuit / Tata pi/entissima co(n)iux","Valent militi legionis II adiutricis defuncto annorum XXX memoriam posuit Tata pientissima coniux","epitaph","epitaph","tabula","Dalmatia","Dalmatia","Bosansko Grahovo / Municipium Salvium","NULL","Bosansko Grahovo","milites, mulieres, nomen singulare, viri",44.1808174,16.36568,1
"7",211,468138,"EDCS-10100553","HD033823",1,300,"------]I[---] / [---]aet[------ // ------]io[---] / [---]I[------ // ------] d(ies) XX[---] / [---] vixi[t? ---] / [---]ssim[---] / [---]se[------ // ------]ll[---] / [--- Te]rtia co(n)iuci(!) [---?] / [--- v]iva sibi et su[is ------","I aet io I dies XX vixit ssim se ll Tertia coniuci viva sibi et suis","epitaph","epitaph","tabula","Dalmatia","Dalmatia","Bratunac / Domavium","Domavium","Bratunac","milites, mulieres, viri",44.1375,19.3585,1
"8",217,468144,"EDCS-30400554","HD056469",151,200,"D(is) M(anibus) / L(uci) Lentidi / Saturnini / vet(erani) leg(ionis) p(rimae) M(inerviae)(?) / p(iae) f(idelis) vi(v)us p(osuit) sib(i) / [--]AV(?)G(?) et co/ni(ugi) Ul(piae) Cris/pinae an(norum) LX / h(ic) s(ita) e(st)","Dis Manibus Luci Lentidi Saturnini veterani legionis primae Minerviae piae fidelis vivus posuit sibi AVG et coniugi Ulpiae Crispinae annorum LX hic sita est","epitaph","epitaph","tabula","Dalmatia","Dalmatia","Brekovica","Raetinium","Bihać","milites, mulieres, tria nomina, viri",44.7885,15.9292,1
"9",294,468224,"EDCS-30200436","HD035397",42,69,"[L(uci)? V?]iri L(uci) f(ili) Pob(lilia) / Novici Vero(na) / mil(itis) leg(ionis) XI C(laudiae) p(iae) f(idelis) / |(centuria) Aquili Fro(ntonis) / stip(endiorum) XXII / h(eres) f(aciendum) c(uravit)","Luci Viri Luci fili Poblilia Novici Verona militis legionis XI Claudiae piae fidelis centuria Aquili Frontonis stipendiorum XXII heres faciendum curavit","epitaph","epitaph","tabula","Dalmatia","Dalmatia","Burnum","Burnum","Kistanje","milites, tria nomina, viri",44.0317,15.9936,1
"10",297,468227,"EDCS-31200497","HD061382",171,300,"Aur(eli-) [---] / [---]MS[---] / [------","Aureli MS","NULL",NA,"tabula","Dalmatia","Dalmatia","Burnum","Burnum","Kistanje",NA,44.0317,15.9936,1
"11",302,468232,"EDCS-31200502","HD061391",151,300,"Septimi[a ---]/L(?)ina [---] / VI[---] / [------?","Septimia Lina VI","NULL",NA,"tabula","Dalmatia","Dalmatia","Burnum","Burnum","Kistanje",NA,44.0317,15.9936,1
