"EDCS-ID","publication","province","place","dating_from","dating_to","date_not_before","date_not_after","status","inscription","inscription_conservative_cleaning","inscription_interpretive_cleaning","material","comment","latitude","longitude","language","photo","partner_link","extra_text","extra_html","raw_dating","cleaned_place"
"EDCS-64100417","AE 2011, 00888","Dalmatia","?","","","","","milites;  sigilla impressa;  tituli fabricationis","Leg(ionis) VII C(laudiae) P(iae) F(idelis)","Leg VII C P F","Legionis VII Claudiae Piae Fidelis","opus figlinae",NA,NA,NA,"",NA,"","","",NA,"?"
"EDCS-31200692","CIL 03, 14022 (p 2328,179)","Dalmatia","?","","","","","milites;  sigilla impressa;  tituli fabricationis","Leg(io) XI C(laudia) P(ia) F(idelis)","Leg XI C P F","Legio XI Claudia Pia Fidelis","opus figlinae",NA,NA,NA,"",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0055501","","",NA,"?"
"EDCS-55300299","Legio-VII 00076","Dalmatia","?","","","","","milites;  tituli sepulcrales;  viri","] / mil(es) leg(ionis) V[II 3] / an(n)or(um) XXIV stip(endiorum) / V h(ic) s(itus) e(st) / frater pos(u)it","mil leg V anor XXIV stip V h s e frater posit","miles legionis VII annorum XXIV stipendiorum V hic situs est frater posuit",NA,NA,NA,NA,"","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00076.jpg","","","",NA,"?"
"EDCS-55300300","Legio-VII 00100","Dalmatia","?","","","","","milites;  sigilla impressa;  tituli fabricationis","Leg(ionis) VII [C(laudiae) P(iae) F(idelis)]","Leg VII","Legionis VII Claudiae Piae Fidelis","opus figlinae",NA,NA,NA,"","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00100.jpg","","","",NA,"?"
"EDCS-55300301","Legio-VII 00101","Dalmatia","?","","","","","milites;  sigilla impressa;  tituli fabricationis","[Leg(ionis)] VII C(laudiae) P(iae) F(idelis)","VII C P F","Legionis VII Claudiae Piae Fidelis","opus figlinae",NA,NA,NA,"","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00101.jpg","","","",NA,"?"
"EDCS-55300302","Legio-VII 00102","Dalmatia","?","","","","","milites;  sigilla impressa;  tituli fabricationis","[L]eg(ionis) VII C(laudiae) P(iae) F(idelis)","eg VII C P F","Legionis VII Claudiae Piae Fidelis","opus figlinae",NA,NA,NA,"","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00102.jpg","","","",NA,"?"
"EDCS-55300303","Legio-VII 00103","Dalmatia","?","","","","","milites;  sigilla impressa;  tituli fabricationis","[L]eg(ionis) VII C(laudiae) P(iae) F(idelis)","eg VII C P F","Legionis VII Claudiae Piae Fidelis","opus figlinae",NA,NA,NA,"","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00103.jpg","","","",NA,"?"
"EDCS-55300304","Legio-VII 00104","Dalmatia","?","","","","","milites;  sigilla impressa;  tituli fabricationis","Leg(ionis) VII C(laudiae) P(iae) F(idelis)","Leg VII C P F","Legionis VII Claudiae Piae Fidelis","opus figlinae",NA,NA,NA,"","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00104.jpg","","","",NA,"?"
"EDCS-55300305","Legio-VII 00105","Dalmatia","?","","","","","milites;  sigilla impressa;  tituli fabricationis","Leg(ionis) VII C(laudiae) P(iae) F(idelis)","Leg VII C P F","Legionis VII Claudiae Piae Fidelis","opus figlinae",NA,NA,NA,"","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00105.jpg","","","",NA,"?"
"EDCS-55300306","Legio-VII 00106","Dalmatia","?","","","","","milites;  sigilla impressa;  tituli fabricationis","[Leg(ionis)] VII C(laudiae) P(iae) F(idelis)","VII C P F","Legionis VII Claudiae Piae Fidelis","opus figlinae",NA,NA,NA,"","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00106.jpg","","","",NA,"?"
"EDCS-71400059","REMCacak 00002","Dalmatia","?","","","","","milites;  tituli sacri;  tria nomina;  viri","[Di]anae / [3 I]ul(ius) Capito / [b(ene)f(iciarius)] co(n)s(ularis) ex / [le]g(ione) XI Cl(audia) / [v(otum)] s(olvit) l(ibens) m(erito)","anae ul Capito cos ex g XI Cl s l m","Dianae Iulius Capito beneficiarius consularis ex legione XI Claudia votum solvit libens merito",NA,NA,NA,NA,"","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$REMCacak_00002_1.jpg;$REMCacak_00002_2.jpg","","","",NA,"?"
"EDCS-31200493","CIL 03, 15007a","Dalmatia","Burnum","","","","","milites;  tituli sepulcrales;  viri","m]il(es) coh(ortis) [3] / [3]e ann(orum) [","mil coh e ann","miles cohortis e annorum",NA,NA,"44.0183606","16.0181762","",NA,"","","",NA,"Burnum"
"EDCS-31200494","CIL 03, 15007b","Dalmatia","Burnum","","","","","tituli sepulcrales;  viri","] fratr[i et] / sibi posu[it","fratr sibi posuit","fratri et sibi posuit",NA,NA,"44.0183606","16.0181762","",NA,"","","",NA,"Burnum"
"EDCS-31200495","CIL 03, 15007c","Dalmatia","Burnum","","","","","ordo equester;  viri","]us eque[s(?)","us eques","us eques","lapis",NA,"44.0183606","16.0181762","",NA,"","","",NA,"Burnum"
"EDCS-31200496","CIL 03, 15007d","Dalmatia","Burnum","","","","","tituli sepulcrales;  tria nomina;  viri","L(ucius) Voconius / Constans L(uci) f(ilius) / dom(o) Ani(ensi) C[re(mona)] / [3]III[","L Voconius Constans L f dom Ani C III","Lucius Voconius Constans Luci filius domo Aniensi Cremona III","lapis",NA,"44.0183606","16.0181762","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0044655","","",NA,"Burnum"
"EDCS-31200541","CIL 03, 15036d","Dalmatia","Burnum","","","","",NA,"]A[3] / [3]SP[","A SP","A SP",NA,NA,"44.0183606","16.0181762","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD041616","","",NA,"Burnum"
"EDCS-31200542","CIL 03, 15036e","Dalmatia","Burnum","","","","",NA,"]LO[","LO","LO",NA,NA,"44.0183606","16.0181762","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD041699","","",NA,"Burnum"
"EDCS-31200546","CIL 03, 15040","Dalmatia","Burnum","","","","","milites;  tituli sepulcrales;  viri","a]nn(orum) [3] / [stip(endiorum?)] XX[","ann XX","annorum stipendiorum XX",NA,NA,"44.0183606","16.0181762","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD044424","","",NA,"Burnum"
"EDCS-31200547","CIL 03, 15041a","Dalmatia","Burnum","","","","",NA,"]A[","A","A",NA,NA,"44.0183606","16.0181762","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD048867","","",NA,"Burnum"
"EDCS-31200548","CIL 03, 15041b","Dalmatia","Burnum","","","","",NA,"[3]MC[3] [3]IS[","MC IS","MC IS",NA,NA,"44.0183606","16.0181762","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD052335","","",NA,"Burnum"
"EDCS-31200549","CIL 03, 15041c","Dalmatia","Burnum","","","","",NA,"]I E[3] / [3]O[","I E O","I E O",NA,NA,"44.0183606","16.0181762","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD054746","","",NA,"Burnum"
"EDCS-31200550","CIL 03, 15041d","Dalmatia","Burnum","","","","",NA,"]I[3] / [3]G[3] / [3]DI[","I G DI","I G DI",NA,NA,"44.0183606","16.0181762","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD054684","","",NA,"Burnum"
"EDCS-31200552","CIL 03, 15041f","Dalmatia","Burnum","","","","",NA,"]DA[3]LV[3] / [3]NO[","DA LV NO","DA LV NO",NA,NA,"44.0183606","16.0181762","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD057143","","",NA,"Burnum"
"EDCS-31200553","CIL 03, 15041g","Dalmatia","Burnum","","","","",NA,"]CL[3] / [3]I[","CL I","CL I",NA,NA,"44.0183606","16.0181762","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD057694","","",NA,"Burnum"
"EDCS-31200554","CIL 03, 15041h","Dalmatia","Burnum","","","","",NA,"]I[3] / [3]MAT[","I MAT","I MAT",NA,NA,"44.0183606","16.0181762","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD057695","","",NA,"Burnum"
"EDCS-31200555","CIL 03, 15041i","Dalmatia","Burnum","","","","",NA,"]IA[","IA","IA",NA,NA,"44.0183606","16.0181762","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD057696","","",NA,"Burnum"
"EDCS-71400032","REMCacak 00007","Dalmatia","Cacak / Malvesiatium","","","","","milites;  tituli sacri;  tria nomina;  viri","[I(ovi)] O(ptimo) M(aximo) / [Au]rel(ius?) O[3] / [3] b(ene)f(iciarius) c[o(n)s(ularis)] / [leg(ionis)] XI Cl(audiae) [P(iae) F(idelis?)] / [v(otum)] s(olvit)","O M rel O bf c XI Cl s","Iovi Optimo Maximo Aurelius O beneficiarius consularis legionis XI Claudiae Piae Fidelis votum solvit",NA,NA,"43.8913319","20.3501125","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$REMCacak_00007.jpg","","","",NA,"Municipium Malvesatium"
"EDCS-71400034","REMCacak 00009","Dalmatia","Cacak / Malvesiatium","","","","","milites;  tituli sacri;  viri","[I(ovi)] O(ptimo) M(aximo) [3] / [3 Di]ana[e(?) 3] / [3]L() Aug(ustis?) [3] / [3 Gen(io?) l]oci(?) [3] / [3 c]oh(ors) [3] / [3]nius [3] / [3]us [3] / [3]I[","O M ana L Aug oci oh nius us I","Iovi Optimo Maximo Dianae L Augustis Genio loci cohors nius us I",NA,NA,"43.8913319","20.3501125","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$REMCacak_00009.jpg","","","",NA,"Municipium Malvesatium"
"EDCS-71400035","REMCacak 00011","Dalmatia","Cacak / Malvesiatium","","","","","milites;  tituli sacri;  viri","Marti / Militari / Cn(aeus) Pomp(eius?) / [","Marti Militari Cn Pomp","Marti Militari Cnaeus Pompeius",NA,NA,"43.8913319","20.3501125","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$REMCacak_00011.jpg","","","",NA,"Municipium Malvesatium"
"EDCS-71400037","REMCacak 00018","Dalmatia","Cacak / Malvesiatium","","","","","milites;  mulieres;  tituli sepulcrales;  viri","]RCEL/[3] con(iugi?) / [3 vix(it) a]nn(os) XIIII / [3]CTO / [3] coh(ortis) / [3 A]urelia / [3]REN/[","RCEL con nn XIIII CTO coh urelia REN","RCEL coniugi vixit annos XIIII CTO cohortis Aurelia REN",NA,NA,"43.8913319","20.3501125","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$REMCacak_00018.jpg","","","",NA,"Municipium Malvesatium"
"EDCS-71400031","REMCacak 00044","Dalmatia","Cacak / Malvesiatium","","","","","milites;  sigilla impressa;  tituli fabricationis","Coh(ors) II |(miliaria)","Coh II","Cohors II miliaria","opus figlinae",NA,"43.8913319","20.3501125","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$REMCacak_00044.jpg","","","",NA,"Municipium Malvesatium"
"EDCS-73700314","ZPE-207-279,1 = AE 2018, 01262","Dalmatia","Cacak / Malvesiatium","","","","","milites;  tituli sacri;  tria nomina;  viri","Iul(ius)] Lon/[ginus] b(ene)f(iciarius) co(n)s(ularis) / [ex le(gione) V] Maced(onica) / [v(otum) s(olvit)] l(ibens) m(erito)","Iul Lon bf cos Maced l m","Iulius Longinus beneficiarius consularis ex legione V Macedonica votum solvit libens merito","lapis",NA,"43.8913319","20.3501125","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ZPE-207-279.jpg","","","",NA,"Municipium Malvesatium"
"EDCS-55300311","Legio-VII 00111","Dalmatia","Citluk / Aequum","","","","","milites;  sigilla impressa;  tituli fabricationis","Leg(ionis) VII C(laudiae) P(iae) F(idelis)","Leg VII C P F","Legionis VII Claudiae Piae Fidelis","opus figlinae",NA,"43.7425382","16.6534966","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00111.jpg","","","",NA,"Aequum"
"EDCS-55300312","Legio-VII 00113","Dalmatia","Citluk / Aequum","","","","","milites;  sigilla impressa;  tituli fabricationis","Leg(ionis) VII C(laudiae) P(iae) F(idelis)","Leg VII C P F","Legionis VII Claudiae Piae Fidelis","opus figlinae",NA,"43.7425382","16.6534966","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00113.jpg","","","",NA,"Aequum"
"EDCS-79100133","AE 1940, 00178","Dalmatia","Gardun / Tilurium","","","","","milites;  viri","Signifer // legio XI Claudia","Signifer legio XI Claudia","Signifer legio XI Claudia","lapis",NA,"43.6099573","16.7139587","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1940-57","","",NA,"Tilurium"
"EDCS-59500032","AE 2010, 01216","Dalmatia","Gardun / Tilurium","","","","","tituli sacri;  viri","I(ovi) O(ptimo) M(aximo) / [C]laudius / [3 v(ixit) ann]is(?) VIII","I O M laudius is VIII","Iovi Optimo Maximo Claudius vixit annis VIII",NA,NA,"43.6099573","16.7139587","",NA,"","","",NA,"Tilurium"
"EDCS-68300240","Bulic 01567","Dalmatia","Gardun / Tilurium","","","","","tituli sepulcrales;  viri","L(ucius?) V[3]is / EIA[3]VI / EM[","L V is EIA VI EM","Lucius V is EIA VI EM",NA,NA,"43.6099573","16.7139587","",NA,"","","",NA,"Tilurium"
"EDCS-68300242","Bulic 01568","Dalmatia","Gardun / Tilurium","","","","","tituli sepulcrales","p]ridie prid[","pridie prid","pridie prid",NA,NA,"43.6099573","16.7139587","",NA,"","","",NA,"Tilurium"
"EDCS-68300241","Bulic 01570","Dalmatia","Gardun / Tilurium","","","","","tituli sepulcrales","]atui mat[","atui mat","atui mat",NA,NA,"43.6099573","16.7139587","",NA,"","","",NA,"Tilurium"
"EDCS-31300510","CIL 03, 10188,12","Dalmatia","Gardun / Tilurium","","","","","mulieres;  nomen singulare;  tituli possessionis","Dama","Dama","Dama","gemma",NA,"43.6099573","16.7139587","",NA,"","","",NA,"Tilurium"
"EDCS-31400473","CIL 03, 13344,8","Dalmatia","Gardun / Tilurium","","","","","tituli possessionis","XVII","XVII","XVII","gemma",NA,"43.6099573","16.7139587","",NA,"","","",NA,"Tilurium"
"EDCS-31400474","CIL 03, 13348","Dalmatia","Gardun / Tilurium","","","","","tituli possessionis;  tria nomina;  viri","Octavi Optati Cava","Octavi Optati Cava","Octavi Optati Cava","aes",NA,"43.6099573","16.7139587","",NA,"","","",NA,"Tilurium"
"EDCS-31400475","CIL 03, 13350 (p 2328,181)","Dalmatia","Gardun / Tilurium","","","","","milites;  tituli possessionis","Leg(io) XI","Leg XI","Legio XI","plumbum",NA,"43.6099573","16.7139587","",NA,"","","",NA,"Tilurium"
"EDCS-31200709","CIL 03, 14035,2","Dalmatia","Gardun / Tilurium","","","","","sigilla impressa;  tituli fabricationis;  tria nomina;  viri","Iuli / Marcel(li)","Iuli Marcel","Iuli Marcelli","opus figlinae",NA,"43.6099573","16.7139587","",NA,"","","",NA,"Tilurium"
"EDCS-32300092","CIL 03, 14336,1","Dalmatia","Gardun / Tilurium","","","","","milites;  sigilla impressa;  tituli fabricationis","C(o)hor(s) VIII vo(luntariorum)","Chor VIII vo","Cohors VIII voluntariorum","opus figlinae",NA,"43.6099573","16.7139587","",NA,"","","",NA,"Tilurium"
"EDCS-32701045","CIL 03, 15131,2","Dalmatia","Gardun / Tilurium","","","","","tituli possessionis;  tria nomina;  viri","D(ecimi) B() S()","D B S","Decimi B S",NA,NA,"43.6099573","16.7139587","",NA,"","","",NA,"Tilurium"
"EDCS-35200314","CLE 02123","Dalmatia","Gardun / Tilurium","","","","","carmina;  tituli sepulcrales;  tria nomina;  viri","]nius C(ai) f(ilius) [3] / [3]s ann(os) V h(ic) s(itus) e(st) [3] / [3]ECI[3]SINE[3]PVS / [3] annus cui scidi / [3] miseris ipse patrem / [ut decuit digno tumulasset honore n]i mihi natura / [heu esset iniqua nimis]","nius C f s ann V h s e ECI SINE PVS annus cui scidi miseris ipse patrem i mihi natura","nius Cai filius s annos V hic situs est ECI SINE PVS annus cui scidi miseris ipse patrem ut decuit digno tumulasset honore ni mihi natura heu esset iniqua nimis",NA,NA,"43.6099573","16.7139587","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=m|ce|2123","","",NA,"Tilurium"
"EDCS-55100681","FRMEC p 106","Dalmatia","Gardun / Tilurium","","","","",NA,"[3]O / [","O","O","lapis",NA,"43.6099573","16.7139587","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$PF_FRMEC-106.jpg;$M_FRMEC-106.jpg;pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=lu_24970","","",NA,"Tilurium"
"EDCS-55300313","Legio-VII 00112","Dalmatia","Gardun / Tilurium","","","","","milites;  sigilla impressa;  tituli fabricationis","Leg(ionis) VII C(laudiae) P(iae) F(idelis)","Leg VII C P F","Legionis VII Claudiae Piae Fidelis","opus figlinae",NA,"43.6099573","16.7139587","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00112.jpg","","","",NA,"Tilurium"
"EDCS-55300314","Legio-VII 00114","Dalmatia","Gardun / Tilurium","","","","","milites;  sigilla impressa;  tituli fabricationis","[L]eg(ionis) VII [C(laudiae) P(iae) F(idelis)]","eg VII","Legionis VII Claudiae Piae Fidelis","opus figlinae",NA,"43.6099573","16.7139587","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00114.jpg","","","",NA,"Tilurium"
