"EDCS-ID","publication","province","place","cleaned_place","dating_from","dating_to","status","inscription","inscription_interpretive_cleaning","latitude","longitude","photo"
"EDCS-28600125","CIL 03, 03162a (p 1650) = CIL 05, *00333 = CIL 11, *00123a4 = Legio-VII 00003","Dalmatia","?","?","42","100","milites;  mulieres;  tituli sepulcrales;  tria nomina;  viri","M(arco) Antonio Celeri / eq(uiti) leg(ionis) VII C(laudiae) P(iae) F(idelis) Iulia / Maxsima(!) heres fecit / sibi et coniugi caro suo st(ipendiorum) XXX / [in] f(ronte) p(edes) XII in ag(ro) (!) XVII","Marco Antonio Celeri equiti legionis VII Claudiae Piae Fidelis Iulia Maxsima heres fecit sibi et coniugi caro suo stipendiorum XXX in fronte pedes XII in agro XVII",NA,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_03_03162a.jpg"
"EDCS-28600128","CIL 03, 03164 (p 1038, 1650) = CIL 03, 09816 = D 02505","Dalmatia","?","?","51","150","milites;  nomen singulare;  tituli sepulcrales;  viri","Surus Sparuci f(ilius) / dom(o) Tribocus / eques alae Claud/iae Novae ann(orum) XXX / stip(endiorum) XIII h(ic) s(itus) e(st) t(estamento) f(ieri) i(ussit) / arbitratu Celati ses/quiplicari(i) heredis","Surus Sparuci filius domo Tribocus eques alae Claudiae Novae annorum XXX stipendiorum XIII hic situs est testamento fieri iussit arbitratu Celati sesquiplicarii heredis",NA,NA,NA
"EDCS-04201550","CIL 05, 02498 = MHM-2018-104 = Tozzi-2017, 00051","Dalmatia","Asseria","Asseria","1","100","milites;  mulieres;  tituli sepulcrales;  tria nomina;  viri","Appuleia / Aretusa / C(aio) Trosio / Liberali mater / ponit mil(iti) prae/toriae cohortis VI / ann(orum) XVIIII","Appuleia Aretusa Caio Trosio Liberali mater ponit militi praetoriae cohortis VI annorum XVIIII","44.0099747","15.6690296","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_05_02498.jpg;$Tozzi-2017_00051.jpg;pp"
"EDCS-72200021","CIL 03, 02883 (p 1634, 2273) = D 05953a","Dalmatia","Benkovac / Asseria","Asseria","63","68","milites;  ordo senatorius;  termini;  tria nomina;  viri","Fin[i]s inter Neditas et Corinienses / derectus mensuris actis iussu / [A(uli) Du]ceni Gemini leg(ati) per A(ulum) Resium / Maximum |(centurionem) leg(ionis) XI principem / posteriorem co(ho)[r(tis)] I et per [Q(uintum)] A[e]butium / Liberalem |(centurionem) eiusdem leg(ionis) (h)astatum / posteriorem c(o)hor(tis) I","Finis inter Neditas et Corinienses derectus mensuris actis iussu Auli Duceni Gemini legati per Aulum Resium Maximum centurionem legionis XI principem posteriorem cohortis I et per Quintum Aebutium Liberalem centurionem eiusdem legionis hastatum posteriorem cohortis I","44.0333509","15.6125528",NA
"EDCS-20601178","AE 2000, 01178","Dalmatia","Bigeste","Bigeste","1","100","milites;  nomen singulare;  tituli sepulcrales;  viri","Tures Alburi / f(ilius) eq(ues) coh(ortis) I / Bracaraugus(tanorum) / ann(orum) XXV stip(endiorum) VII / h(ic) s(itus) e(st) h(eres) p(osuit)","Tures Alburi filius eques cohortis I Bracaraugustanorum annorum XXV stipendiorum VII hic situs est heres posuit","43.182222","17.528889",NA
"EDCS-20601179","AE 2000, 01179","Dalmatia","Bigeste","Bigeste","1","100","milites;  nomen singulare;  tituli sepulcrales;  viri","Veranus Caturonis / f(ilius) eq(ues) coh(ortis) I Bracaraug(ustanorum) / turma Tironis ann(orum) / XXXIIX stipendiorum / XVIII h(ic) s(itus) e(st) t(estamento) f(ieri) i(ussit) / h(eredes) p(osuerunt) Tiro dec(urio) et Crispus / Caturonis","Veranus Caturonis filius eques cohortis I Bracaraugustanorum turma Tironis annorum XXXIIX stipendiorum XVIII hic situs est testamento fieri iussit heredes posuerunt Tiro decurio et Crispus Caturonis","43.182222","17.528889",NA
"EDCS-20601180","AE 2000, 01180a","Dalmatia","Bigeste","Bigeste","70","86","milites;  sigilla impressa;  tituli fabricationis","Leg(ionis) IIII F(laviae) [F(elicis)]","Legionis IIII Flaviae Felicis","43.182222","17.528889",NA
"EDCS-20601181","AE 2000, 01180b","Dalmatia","Bigeste","Bigeste","1","70","milites;  sigilla impressa;  tituli fabricationis","Leg(ionis) VIII Aug(ustae)","Legionis VIII Augustae","43.182222","17.528889",NA
"EDCS-20601183","AE 2000, 01180d","Dalmatia","Bigeste","Bigeste","70","86","milites;  sigilla impressa;  tituli fabricationis","[L]eg(ionis) IIII F(laviae) F(elicis)","Legionis IIII Flaviae Felicis","43.182222","17.528889",NA
"EDCS-20601184","AE 2000, 01180e","Dalmatia","Bigeste","Bigeste","1","70","milites;  sigilla impressa;  tituli fabricationis","[Leg(ionis)] VIII Aug(ustae)","Legionis VIII Augustae","43.182222","17.528889",NA
"EDCS-20601174","Legio-VII 00031 = AE 2000, 01174","Dalmatia","Bigeste","Bigeste","1","100","milites;  praenomen et nomen;  tituli sepulcrales;  viri","C(aius) Licinius C(ai) f(ilius) / Fab(ia) dom(o) Sinope / vete(ranus) leg(ionis) VII an(norum) L / stip(endiorum) XXVII / h(ic) s(itus) e(st) / heredes posuer(unt)","Caius Licinius Cai filius Fabia domo Sinope veteranus legionis VII annorum L stipendiorum XXVII hic situs est heredes posuerunt","43.182222","17.528889","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00031.jpg;pp"
"EDCS-20601175","Legio-XV-Apo 00183 = AE 1979, 00445 = AE 2000, 01175","Dalmatia","Bigeste","Bigeste","14","37","milites;  tituli sepulcrales;  tria nomina;  viri","L(ucius) Luc[3] / C(ai) f(ilius) Prim[us] / vete(ranus) leg(ionis) / XV Apolli/naris / h(ic) s(itus) e(st) / t(estamento) f(ieri) i(ussit)","Lucius Luc Cai filius Primus veteranus legionis XV Apollinaris hic situs est testamento fieri iussit","43.182222","17.528889","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-XV-Apo_00183.jpg"
"EDCS-30000207","CIL 03, 09709","Dalmatia","Bihac / Raetinium","Raetinium","42","100","milites;  nomen singulare;  tituli sepulcrales;  tria nomina;  viri","T(itus?) Octavius T(iti) f(ilius) / Vel(ina) Hister vet(eranus) / leg(ionis) XI C(laudiae) P(iae) F(idelis) t(estamento) f(ieri) i(ussit) et / Acrini contuber/nali / in f(ronte) ped(es) X / in agr(o) ped(es) XI","Titus Octavius Titi filius Velina Hister veteranus legionis XI Claudiae Piae Fidelis testamento fieri iussit et Acrini contubernali in fronte pedes X in agro pedes XI","44.8146409","15.8690863",NA
"EDCS-30000208","CIL 03, 09710 (p 1475)","Dalmatia","Bihac / Raetinium","Raetinium","42","150","milites;  mulieres;  tituli sepulcrales;  tria nomina;  viri","L(ucius) Pescennius / L(uci) f(ilius) Fal(erna) Satur/ninus vet(eranus) leg(ionis) / XI C(laudiae) P(iae) F(idelis) v(ivus) f(ecit) sibi et / Mariae Sp(uri) f(iliae) Quin/tae con[iugi] / be[ne merenti","Lucius Pescennius Luci filius Falerna Saturninus veteranus legionis XI Claudiae Piae Fidelis vivus fecit sibi et Mariae Spuri filiae Quintae coniugi bene merenti","44.8146409","15.8690863",NA
"EDCS-32300075","CIL 03, 14329 = AHB p 438","Dalmatia","Bihac / Raetinium","Raetinium","71","150","milites;  tituli sepulcrales;  viri","]ANE[3] / [3]a Luc[3] / [3 leg(ionis) III] F(laviae) F(elicis) [","ANE a Luc legionis III Flaviae Felicis","44.8146409","15.8690863","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_03_14329.jpg;pp"
"EDCS-10000837","ILJug-02, 00825","Dalmatia","Bribir / Bribirska Glavica / Varvaria","Varvaria","1","100","milites;  ordo equester;  tituli honorarii;  tria nomina;  viri","] Cl(audia) Liburno / [3 pr]aef(ecto) coh(ortis) IIII / [3 praef(ecto)] coh(ortis) III Thrac(um) / [3]m trib(uno) mil(itum) leg(ionis) XXII / [3]m Aug(usta) P[r]aet(oria?)","Claudia Liburno praefecto cohortis IIII praefecto cohortis III Thracum m tribuno militum legionis XXII m Augusta Praetoria","43.9214921","15.8398106","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ILJug-02_00825.jpg"
