"","place","findspot_ancient_clean","findspot_modern_clean","Longitude","Latitude"
"1","Jesenice / Assling / Nareste","Nareste","Dugi Rat",14.0623337,46.4323791
"2","Drenova","NULL","Prijepolje",16.1809387,45.9353692
"3","Gradac","NULL","Posušje",15.2452183,45.6142808
"4","Gradac","NULL","Kiseljak",15.2452183,45.6142808
"5","Karlovac / Karlstadt / Burnum","NULL","Čitluk",15.5486303,45.4892522
"6","Dragovic","NULL","Vrlika",17.2766853,45.469965
"7","Padova / Patavium","NULL","NULL",11.8734455,45.4077172
"8","Luzac","NULL","Berane",18.9702316,45.3601825
"9","Rijeka / Tarsatica","Tarsatica","Rijeka",14.4444,45.3278
"10","Trsat / Tersatto / Tarsatica","Tarsatica","Rijeka",14.4444,45.3278
"11","Aquileia","Tarsatica","Rijeka",14.4444,45.3278
"12","Dolac","NULL","Omiš",17.5889536,45.3250365
"13","Dolac","NULL","Travnik",17.5889536,45.3250365
"14","Bakarac","NULL","Kraljevica",14.5827323,45.2794773
"15","Carevo Polje","Metulum","Josipdol",15.2771,45.2255
"16","Josipdol / Metulum","Metulum","Josipdol",15.2771,45.2255
"17","Munjava / Metulum","Metulum","Josipdol",15.2771,45.2255
"18","Krk, Otok / Curictae","Fulfinum","Omišalj",14.5441,45.204
"19","Omisalj / Fulfinum","Fulfinum","Omišalj",14.5441,45.204
"20","Velika Kladusa","NULL","Velika Kladuša",15.8070634,45.1854105
"21","Krsan / Chersano / Flanona","NULL","Kršan",14.1379004,45.1754015
"22","Crikvenica / Ad Turres","NULL","Konjic",14.6927906,45.1737049
"23","Crikvenica / Ad Turres","NULL","Doboj",14.6927906,45.1737049
"24","Senj / Segna / Zengg / Senia","Ad Turres","Crikvenica",14.6942,45.1716
"25","Luzani","NULL","Zenica",17.7023171,45.1670752
"26","Gornje Primislje / Primislje","NULL","Slunj",15.5074982,45.1620908
"27","Velika Kopanica / Kopjenica","NULL","Ključ",18.3970392,45.1546005
"28","Plomin / Flanona","Flanona","Kršan",14.1801,45.1382
"29","Plomin / Flanona","NULL","Kršan",14.1801746,45.1380212
"30","Beli / Caisole / Crexa","Crexa","Cres",14.3542,45.112
"31","Mali Losinj / Apsorus","Crexa","Cres",14.3542,45.112
"32","Osor / Opsorus","Crexa","Cres",14.3542,45.112
"33","Labin / Alvona","Albona","Labin",14.1232,45.0949
"34","Labin / Alvona","Albona","Raša",14.1232,45.0949
"35","Labin / Alvona","Albona","Labin, bei",14.1232,45.0949
"36","Labin / Alvona","Albona","S. Nedelja",14.1232,45.0949
"37","Labin / Alvona","Albona","Labin - Raša, zwischen",14.1232,45.0949
"38","Labin / Alvona","Albona","Raša, bei",14.1232,45.0949
"39",NA,"Albona","Labin",14.1232,45.0949
"40","Novi Grad","NULL","Novi Grad",16.3760681,45.0492984
"41","Novi Vinodolski","Senia","Novi Vinodolski",14.902,44.9931
"42","Senj / Segna / Zengg / Senia","Senia","Senj",14.902,44.9931
"43","Sinj / Osinium","Senia","Senj",14.902,44.9931
"44","Vratnik","Senia","Senj",14.902,44.9931
"45","Dobricevo","NULL","Bileća",21.3558995,44.9899459
"46","Prijedor","NULL","Prijedor",16.708363,44.9778475
"47","Jurandvor","Curicum","Baška",14.7407,44.9742
"48","Krk, Otok / Curictae","Curicum","Krk",14.7407,44.9742
"49","Krk, Otok / Curictae","Curicum","Baška",14.7407,44.9742
"50","Ljusina","NULL","Bosanska Krupa",16.1509087,44.9416614
"51","Sveti Juraj / Lopsica","Lopsica","Senj",14.9201,44.9283
"52","Gornji Agici / Agici Gornji","NULL","Novi Grad",16.4410422,44.9267812
"53","Otocac / Ottoschatz / Avendo","Avendo","Otočac",15.1447,44.92
"54","Ljubija","NULL","Prijedor",16.6067817,44.9142151
"55","Celija / Municipium Splonistarum","NULL","Foča-Ustikolina",18.2183333,44.8813889
"56","Otocac / Ottoschatz / Avendo","NULL","Perusić",15.2356029,44.8688525
"57","Prozor / Arupium","NULL","Proložac",15.2647929,44.8499897
"58","Licko Lesce","Arupium","Otočac",15.2789,44.8428
"59","Pecina","Arupium","Otočac",15.2789,44.8428
"60","Prozor / Arupium","Arupium","Otočac",15.2789,44.8428
"61","Prozor / Prozor-Rama / Bistua Vetus","NULL","Prozor-Rama",15.2789,44.8428
"62","Vitalj, Otocac / Arupium","Arupium","Otočac",15.2789,44.8428
"63","Vrana","NULL","Pakoštane",14.4132039,44.8367826
"64","Stari Majdan","NULL","Sanski Most",16.605865,44.8291443
"65","Bihac / Raetinium","Raetinium","Bihać",15.9292,44.7885
"66","Brekovica","Raetinium","Bihać",15.9292,44.7885
