"cleaned_place","place","longitude","latitude","group","n"
"Salona","Solin / Salona","16.4919213","43.5441591","Dated",97
"Burnum","Ivosevci / Burnum","16.0072244","44.0160408","Dated",61
"Tilurium","Gardun / Tilurium","16.7139587","43.6099573","Dated",37
"Burnum","Burnum","16.0181762","44.0183606","Dated",25
"Iader","Zadar / Iader","15.232136","44.1186078","Dated",19
"Tilurium","Gardun / Tilurium","16.7139587","43.6099573","Undated",17
"Bigeste","Hardomilje / Bigeste","17.5493918","43.1575578","Dated",15
"Burnum","Burnum","16.0181762","44.0183606","Undated",15
"Burnum","Knin / Burnum","16.199433","44.040850","Dated",14
"Iader","Zadar / Iader","15.232136","44.1186078","Undated",14
"Narona","Vid / Narona","17.6258524","43.0804139","Dated",14
"Salona","Solin / Salona","16.4919213","43.5441591","Undated",12
"Bigeste","Ljubuski / Mlade / Bigeste","17.540558","43.1904758","Dated",11
"Tilurium","Trilj / Tilurium","16.7286894","43.617857","Dated",10
"Burnum","Ivosevci / Burnum","16.0072244","44.0160408","Undated",9
"Aequum","Citluk / Aequum","16.6534966","43.7425382","Dated",8
"Bigeste","Bigeste","17.528889","43.182222","Dated",8
"Bigeste","Humac / Bigeste","17.5296549","43.1878539","Dated",8
"Corinium","Karin Gornji / Corinium","15.6335444","44.1358546","Dated",8
"Doclea","Duklja / Duklje / Rusevine / Doclea","19.2654984","42.4686384","Dated",8
"Andetrium","Gornji Muc / Andetrium","16.4940794","43.6871481","Dated",7
"Andetrium","Gornji Muc / Andetrium","16.4940794","43.6871481","Undated",6
"Burnum","Knin / Burnum","16.199433","44.040850","Undated",6
"Municipium Malvesatium","Cacak / Malvesiatium","20.3501125","43.8913319","Undated",6
"Asseria","Podgrade / Asseria","15.669073","44.0203427","Dated",5
"Scardona","Skradin / Scardona","15.923372","43.8178655","Dated",5
"Epidaurum","Cavtat / Epidaurum","18.2177461","42.5814314","Dated",4
"Osinium","Sinj / Osinium","16.6365238","43.7015963","Undated",4
"Raetinium","Bihac / Raetinium","15.8690863","44.8146409","Dated",4
"Salona","Dugopolje / Salona","16.5954344","43.5825155","Dated",4
