"","findspot_ancient_clean","Longitude","Latitude","n"
"1","Salonae",16.4743,43.5384,116
"2","Burnum",15.9936,44.0317,69
"3","Tilurium",16.689,43.6139,50
"4","Bigeste",17.5271,43.1818,41
"5","Narona",17.625,43.0801,12
"6","Andetrium",16.5206,43.6922,10
"7","Iader",15.223778,44.115501,10
"8","Ninia",16.1994,44.0408,9
"9","Aequum",16.6547,43.7423,6
"10","Municipium Magnum",16.2988,43.8047,5
"11","Municipium Malvesiatium",19.5333,43.9667,5
"12","Raetinium",15.9292,44.7885,5
"13","Siculi",16.3004,43.5306,5
"14","Corinium",15.6256,44.1075,4
"15","Albona",14.1232,45.0949,3
"16","Doclea",19.2615,42.469,3
"17","Epidaurum",18.2137,42.5848,3
"18","Nedinum",15.5095,44.0721,3
"19","Rider",16.0486,43.7034,3
"20","Tragurium",16.524,43.5594,3
"21","Ansium",15.666,44.179,2
"22","Arba",14.7596,44.7565,2
"23","Asseria",15.6844,44.0103,2
"24","Iader",15.4483,43.9393,2
"25","Senia",14.902,44.9931,2
"26","Aenona",15.1842,44.2435,1
"27","Alveria",15.8139,43.9937,1
"28","Apsorus",14.3919,44.693,1
"29","Argyruntum",15.4403,44.2951,1
"30","Aufustianis",17.3588,43.3203,1
"31","Baloie",17.1009,44.285,1
"32","Colentum, insula",15.595,43.8257,1
"33","Diluntum",17.8414,43.1138,1
"34","Flanona",14.1801,45.1382,1
"35","Fulfinum",14.5441,45.204,1
"36","Laurento",17.0580946,43.2651336,1
"37","Municipium S[---]",19.3204,43.3424,1
"38","Municipium Salvium",16.8281,44.1301,1
"39","Narona",17.6884,43.0645,1
"40","Oneum",16.7019,43.4422,1
"41","Pharia, insula",16.4428,43.1725,1
"42","Pituntium",16.5681,43.4741,1
"43","Promona",16.2114,43.8955,1
"44","Ris---",18.9996,43.7977,1
"45","Scardona",15.9208,43.8227,1
"46","Solentia, insula",16.2752,43.3972,1
"47","Tarsatica",14.4444,45.3278,1
