Column1,X,LIST.ID,EDCS.ID,EDH.ID,not_before,not_after,changed?,source,note,delete?,transcription,clean_text_interpretive_word,type_of_inscription_clean,type_of_inscription_auto,type_of_monument_clean,changed_type?,source,note,province,province_label_clean,place,findspot_ancient_clean,findspot_modern_clean,status_notation,Latitude,Longitude,count
491,6735,475194,EDCS-28400166,HD060146,-30,9,"yes, not_before","Cesarik p.19, Radman",,,L(ucius) Fadienus L(uci) f(ilius) Pomp(tina) / Fuscus dom(o) Dert(ona) / vet(eranus) speculator v(ivus) f(ecit) sibi / et Camuriae Pollae uxori / L(ucio) Fadieno patri Vibiae Primae matri / Fadienae Pollae sorori Fadieno / Tertio fratri signifero leg(ionis) X&lt;I=V&gt;III g(eminae) / suisque omnibus ossibus infer(re) / in fr(onte) p(edes) XV in agr(o) p(edes) XXXI ,Lucius Fadienus Luci filius Pomptina Fuscus domo Dertona veteranus speculator vivus fecit sibi et Camuriae Pollae uxori Lucio Fadieno patri Vibiae Primae matri Fadienae Pollae sorori Fadieno Tertio fratri signifero legionis X lt I gt III geminae suis que omnibus ossibus inferre in fronte pedes XV in agro pedes XXXI,epitaph,epitaph,NULL,,,,Dalmatia,Dalmatia,Zadar / Iader,Iader,Zadar,"milites, mulieres, tria nomina, viri",44.115501,15.223778,1
124,1178,469141,EDCS-28300165,HD061408,-13,9,"yes,not_before","Cesarik (1), Cesarik 2019, Radman",,,Sal(vius) Frebranus T(iti) f(ilius) / Quir(ina) Baculus has(tatus) / pri(or) leg(ionis) XX,Salvius Frebranus Titi filius Quirina Baculus hastatus prior legionis XX,epitaph,epitaph,NULL,,,,Dalmatia,Dalmatia,Ivosevci / Burnum,Burnum,Kistanje,"milites, tria nomina, viri",44.0317,15.9936,1
163,1396,469365,EDCS-28800885,HD050401,1,30,,,,,[Ti(berius)?] Iul(ius) Max[i]m[us] / C(ai) Iul(i) Thiridatis f(ilius) / dec(urio) ala(e) P{h}artho(rum) / an(norum) XXVI dom(o) / Roma h(ic) s(itus) e(st) / Sex(tus) Coelius / [---]NAVIB(?),Tiberius Iulius Maximus Cai Iuli Thiridatis filius decurio alae Pharthorum annorum XXVI domo Roma hic situs est Sextus Coelius NAVIB,epitaph,epitaph,NULL,,,,Dalmatia,Dalmatia,Klis / Clissa,Salonae,Klis,"milites, nomen singulare, praenomen et nomen, viri",43.5384,16.4743,1
104,1105,469063,EDCS-30101161,HD045055,21,30,,,,,Q(uintus) Valerius / Q(uinti) f(ilius) Qui(rina) dom(o) / Icon(io) vet(eranus) leg(ionis) / VII an(norum) LV stip(endiorum) / XXVIII h(ic) s(itus) e(st) / Q(uintus) Portorius et Q(uintus) Va/lerius Anteros posuer(unt),Quintus Valerius Quinti filius Quirina domo Iconio veteranus legionis VII annorum LV stipendiorum XXVIII hic situs est Quintus Portorius et Quintus Valerius Anteros posuerunt,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Hardomilje / Bigeste,Bigeste,Ljubuški,"milites, praenomen et nomen, tria nomina, viri",43.1818,17.5271,1
9,78,468002,EDCS-20601175,HD004491,14,37,no,Mosser 2003 283,,,------](?) / L(ucius) Luc[---](?) / C(ai) f(ilius) Prim[us] / vete(ranus) leg(ionis) / XV Apolli/naris / h(ic) s(itus) e(st) // t(estamento) f(ieri) i(ussit),Lucius Luc Cai filius Primus veteranus legionis XV Apollinaris hic situs est testamento fieri iussit,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Bigeste,Bigeste,Ljubuški,"milites, tria nomina, viri",43.1818,17.5271,1
190,1750,469728,EDCS-08901077,HD004479,14,37,no,Mosser 2003 133,,,L(ucius) Gavius L(uci) f(ilius) Pub(lilia) Ve/rona vet(eranus) leg(ionis) XV se / vivo fecit / et M(arco) Gavio fratri / et liberto Hilaro,Lucius Gavius Luci filius Publilia Verona veteranus legionis XV se vivo fecit et Marco Gavio fratri et liberto Hilaro,epitaph,epitaph,tabula,,,,Dalmatia,Dalmatia,Ljubuski / Mlade / Bigeste,Bigeste,Ljubuški,"liberti/libertae, milites, nomen singulare, praenomen et nomen, viri",43.1818,17.5271,1
479,6473,474930,EDCS-31500392,HD060635,14,37,"yes, both",Marsic 2015,,,------](?) / [--- dom]o Arimin(o) / mil(es) leg(ionis) XIII donat(us) torq(uibus) / armil(lis) phal(eris) et |(centurio) coh(ortis) I / Camp(estris) an(norum) LX t(estamento) f(ieri) i(ussit) Posidonius / et Prunicus lib(erti) posuer(unt) / et ali ne(mini) h(ic) s(itus) e(st),domo Arimino miles legionis XIII donatus torquibus armillis phaleris et centurio cohortis I Campestris annorum LX testamento fieri iussit Posidonius et Prunicus liberti posuerunt et ali nemini hic situs est,epitaph,epitaph,altar,yes,Marsic 2015,,Dalmatia,Dalmatia,Vid / Narona,Narona,Metković,"liberti/libertae, milites, nomen singulare, viri",43.0801,17.625,1
51,799,468751,EDCS-28300036,HD058819,1,41,,,,,Cn(aeus) Domiti/us Cn(aei) f(ilius) Vel(ina) / Pessinunte / an(norum) XLIV stip(endiorum) / XXV veteran(us) / [ex leg(ione) VII h(ic) s(itus) e(st)] / [testam]en[to] / [fieri] iussit,Cnaeus Domitius Cnaei filius Velina Pessinunte annorum XLIV stipendiorum XXV veteranus ex legione VII hic situs est testamento fieri iussit,epitaph,epitaph,stele,,,,Dalmatia,Dalmatia,Gardun / Tilurium,Tilurium,Trilj,"milites, tria nomina, viri",43.6139,16.689,1
184,1734,469712,EDCS-30600566,HD058381,1,41,,,,,L(ucius) Herenni/us L(uci) f(ilius) Pap(iria) / Muliade(!) / vet(eranus) leg(ionis) VII / an(norum) LX sti(pendiorum) / XXX h(ic) s(itus) e(st),Lucius Herennius Luci filius Papiria Muliade veteranus legionis VII annorum LX stipendiorum XXX hic situs est,epitaph,epitaph,cliff,,,,Dalmatia,Dalmatia,Ljubuski / Mlade / Bigeste,Bigeste,"Ljubuški, bei","milites, praenomen et nomen, viri",43.1818,17.5271,1
187,1741,469719,EDCS-31900305,HD058380,1,41,,,,,L(ucius) Domitius L(uci) f(ilius) Ann(iensi) / Aquila vet(eranus) leg(ionis) VII / domo Myliada(!) / stip(endiorum) XXXIII vi(vus) fe[cit] sib(i) / et C(aio) Domitio [---] An(iensi) / [A]qui[l]ino(?) mil(iti) [l]eg(ionis) V[II] / [s]tip(endiorum) XX h(onesta) m(issione) [---] / [------] / [------] / [---]A[---] / [---]V[---],Lucius Domitius Luci filius Anniensi Aquila veteranus legionis VII domo Myliada stipendiorum XXXIII vivus fecit sibi et Caio Domitio Aniensi Aquilino militi legionis VII stipendiorum XX honesta missione A V,epitaph,epitaph,cliff,,,,Dalmatia,Dalmatia,Ljubuski / Mlade / Bigeste,Bigeste,Ljubuški,"milites, tria nomina, viri",43.1818,17.5271,1
